term,coef
const,154.57060591748868
g_beta,864.8540903956228
g_center,-8484.592267032125
g_half_width,-3821.909170552176
g_beta2,-2225.9154512178256
g_center2,86100.82440938971
g_half_width2,6086.192592765296
g_beta:g_center,-1203.3673661650223
g_beta:g_half_width,11325.535998800344
g_center:g_half_width,14854.672095685604
