width_peak,refamp_peak,p95_abs_delta_mu,max_abs_delta_mu,acceptance_mismatch,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,joint_objective,guard_objective
1.0,1.0,20.815049608623905,20.815113797979002,0.0,0.460187962467856,0.2634416414482388,0.9700556799941324,6.286647227777031,20.815113797979002,0.9700556799941324,20.815113797979002
1.0,0.75,20.81508216601041,20.815146355719655,0.0,0.0674047599504135,2.6249555645628675,2.309579689412871,6.226855005139775,20.815146355719655,2.6249555645628675,20.815146355719655
1.0,0.5,20.815114723066454,20.81517891312985,0.0,0.3255560923494727,5.421766216052731,3.628233869776537,6.167122903634159,20.81517891312985,5.421766216052731,20.81517891312985
0.75,1.0,20.8150453289788,20.81510951690497,0.0,0.9275817074952712,5.9799745510261175,3.3791225376531884,6.196138863599245,20.81510951690497,5.9799745510261175,20.81510951690497
1.0,0.25,20.815147279792072,20.815211470209604,0.0,0.7126593014064113,8.12989437931519,4.926343373722418,6.107450862809166,20.815211470209604,8.12989437931519,20.815211470209604
0.75,0.75,20.815077886408744,20.81514207468907,0.0,0.5316370139754909,8.669390486121912,4.681113204519804,6.136437647201177,20.81514207468907,8.669390486121912,20.81514207468907
1.0,0.0,20.815179836187244,20.815244026958915,0.0,1.097144111468019,10.752152037246944,6.204228287999129,6.047838822273313,20.815244026958915,10.752152037246944,20.815244026958915
0.75,0.5,20.815110443508228,20.815174632142714,0.0,0.13837052400316452,11.273529251354304,5.962818813068878,6.0767964604279,20.815174632142714,11.273529251354304,20.815174632142714
0.5,1.0,20.81504104932799,20.815105235825218,0.0,1.398737479793688,11.79524050088905,5.72068755811955,6.105768256900227,20.815105235825218,11.79524050088905,20.815105235825218
0.75,0.25,20.815143000277278,20.81520718926592,0.0,0.25566110300695044,13.795094852304999,7.224555405189989,6.017215242920415,20.81520718926592,13.795094852304999,20.81520718926592
0.5,0.75,20.81507360680137,20.815137793652774,0.0,0.9996058485994723,14.300263454692598,6.9861965633246115,6.046157908226093,20.815137793652774,14.300263454692598,20.815137793652774
0.75,0.0,20.81517555671589,20.815239746058683,0.0,0.6432370877102755,16.23670555477065,8.466634098829758,5.957693934379137,20.815239746058683,16.23670555477065,20.815239746058683
0.5,0.5,20.81510616394429,20.815170351149867,0.0,0.6031739776699183,16.725856051460042,8.231988895726047,5.986607497809175,20.815170351149867,16.725856051460042,20.815170351149867
0.25,1.0,20.815036769671465,20.815100954739755,0.0,1.8736855597194761,17.211797492606266,7.9966421368146285,6.01553519800737,20.815100954739755,17.211797492606266,20.815100954739755
0.5,0.25,20.815138720756778,20.815202908316525,0.0,0.20942360559718054,19.074536903489715,9.458371741748067,5.927116965382332,20.815202908316525,19.074536903489715,20.815202908316525
0.25,0.75,20.815069327188283,20.815133512610764,0.0,1.4713413393598387,19.545069902126343,9.226691693244476,5.9560155787527265,20.815133512610764,19.545069902126343,20.815133512610764
0.5,0.0,21.345384989752965,21.348744761825685,0.0,0.18568074974081128,21.348744761825685,10.66564750184034,5.867686250737776,20.815235465152735,21.348744761825685,20.815235465152735
0.25,0.5,21.798436040132128,21.804357895547852,0.0,1.0717186094909223,21.804357895547852,10.437577036273538,5.896555806526784,20.815166070151307,21.804357895547852,20.815166070151307
0.0,1.0,22.24853207372732,22.25698199447973,0.0,2.352456471354067,22.25698199447973,10.208824672429799,5.92543947756721,20.81509667364858,22.25698199447973,20.81509667364858
0.25,0.25,23.98653655432596,23.992007402905912,0.0,0.6747989617197874,23.992007402905912,11.629596744989968,5.837155821154148,20.815198627361415,23.992007402905912,20.815198627361415
0.0,0.75,24.422360747180228,24.430279500101932,0.0,1.946873803870524,24.430279500101932,11.404408350657434,5.866010449638125,20.815129231563038,24.430279500101932,20.815129231563038
0.25,0.0,26.105255826000644,26.11028996846568,0.0,0.2805641121695075,26.11028996846568,12.803044746609984,5.777815562518647,20.815231184241078,26.11028996846568,20.815231184241078
0.0,0.5,26.52726071584603,26.534665143437564,0.0,1.5440345320091993,26.534665143437564,12.581364795024228,5.806641177648082,20.815161789147034,26.534665143437564,20.815161789147034
0.0,0.25,28.565417601067256,28.572324011779834,0.0,1.1439200992089766,28.572324011779834,13.739984218459057,5.747331601513274,20.81519434640059,28.572324011779834,20.81519434640059
0.0,0.0,30.538947721554287,30.545371906723638,0.0,0.746512074426974,30.545371906723638,14.880552312363946,5.68808166120904,20.815226903323705,30.545371906723638,20.815226903323705
