feature,label,value_D4p814,value_D5p627,value_D6p169,value_D6p4,value_D6p441,value_D6p712,high_trigger_separation,low_trigger_separation,best_monotone_separation
projected_logdet_part_kernel,logdet_part_kernel,1.3864131390232495,1.375234091717754,1.3987625544852902,1.4087620893442474,1.4116418559976516,1.4308403003536787,0.9775811836859365,0.9742089226632011,0.9775811836859365
projected_logdet_schur_response_weight,logdet_schur_weight,0.6371912549071741,0.5948058962999607,0.6099425033221904,0.6163755215376414,0.620733322930257,0.6497853322143602,0.938683089757671,0.9582309734752079,0.9582309734752079
projected_logdet_part_action,logdet_part_action,0.3267192446759959,0.31861369783835536,0.3355243747046463,0.34271136794274065,0.34471552907393177,0.35807660328187246,0.9370184246316887,0.9242800830421007,0.9370184246316887
eymh_parented_prefactor_diag,eymh_prefactor_diag,0.03931666358428664,0.045048342703650414,0.04808117525582041,0.049370121122213693,0.04962549262714233,0.05132796932666655,0.9367441550203833,0.7922674718755871,0.9367441550203833
parent_blockdet_det_ratio,blockdet_det_ratio,2.463617768443789,2.826876920601592,2.6902202390172385,2.6321415083873045,2.601460480765671,2.39692029662145,0.9202595492597713,0.8909754903550448,0.9202595492597713
parent_blockdet_action,blockdet_action,0.9014535836006703,1.0390853961650166,0.9890589042359195,0.9677977766026018,0.9545581694962944,0.8662941221209117,0.9186522811496636,0.8758771782052277,0.9186522811496636
projected_logdet_schur_response_action,logdet_schur_action,0.9014535836006703,1.039085396165017,0.9890589042359198,0.967797776602602,0.9545581694962945,0.8662941221209118,0.9186522811496632,0.8758771782052276,0.9186522811496632
projected_schur_share,schur_share,0.6374098426696896,0.6932569829361234,0.6600136726290106,0.6458853530899302,0.6364249039495697,0.5733552430138337,0.9180216277867769,0.86870206904958,0.9180216277867769
projected_schur_gain,schur_gain,1.7770161676636604,2.0557207665828554,1.9242725455997443,1.8684073970409472,1.8437986441704493,1.6797402917004653,0.8969110368210775,0.8729222352319823,0.8969110368210775
parent_blockdet_schur_norm,blockdet_schur_norm,1.7770161676636604,2.0557207665828554,1.9242725455997443,1.8684073970409472,1.8437986441704493,1.6797402917004651,0.8969110368210775,0.8729222352319822,0.8969110368210775
projected_schur_action,schur_action,0.5747343389246745,0.7204716983266615,0.6535345295312733,0.6250864086598612,0.6098426404223626,0.5082175188390393,0.84644912747962,0.7776444791731847,0.84644912747962
projected_logdet_part_share,logdet_part_share,0.36259015733031047,0.3067430170638766,0.3399863273709893,0.3541146469100697,0.3635750960504302,0.42664475698616633,0.7968838754111612,0.8436854459947096,0.8436854459947096
