observable_mode,layer,ref_D,ref_eta,amp_ref
eft_wilson_uv_rge,1,9.6,1.0,1.1035886408390427e-05
eft_wilson_uv_rge,2,9.6,1.0,4.3821020360683625e-05
eft_wilson_uv_rge,3,9.6,1.0,3.977923286492469e-06
