D,p95_abs_delta_mu,max_abs_delta_mu,p95_abs_delta_log_partial,p95_abs_delta_log_width,p95_abs_amp_point_component,p95_abs_amp_ref_component,dominant_fraction_width,dominant_fraction_partial,dominant_fraction_pointamp,dominant_fraction_refamp,mean_width_alpha,mean_refamp_beta,mean_pointamp_beta,mean_partial_beta,acceptance_mismatch,p95_abs_delta_mu_width_anchor,p95_abs_delta_mu_partial_anchor,p95_abs_delta_mu_refamp_anchor,p95_abs_delta_mu_pointamp_anchor,p95_abs_delta_mu_width_refamp_anchor,p95_abs_delta_mu_width_pointamp_anchor,max_abs_path_closure_residual
4.0,0.9136772062228937,0.9244091557313041,0.2128837962475365,0.13147444327088645,2.2495338925081432e-11,0.2128837962250412,0.0,1.0,0.0,1.0,0.8250003072106175,1.2664165549094354e-14,1.3131172951534883e-160,0.0,0.9024390243902439,0.6026250866940583,0.3848463952480694,0.3848463953101078,0.9136772061727516,7.069544949445117e-11,0.6026250866369192,2.220446049250313e-16
4.8,0.11569959688341491,0.1157724743636912,0.09935529766222216,0.09106503436010685,0.11345708400510422,0.2128123816673245,0.0,1.0,0.0,1.0,0.825549604145587,0.00033546262790251305,2.7586709610002703e-80,0.0,0.0,1.3215406202981406,1.3318015384999828,3.170563108479586,1.6019848727481314,1.6787538512897928,2.6784904128701523,2.636779683484747e-16
5.6,0.3524325004012425,0.3524486098968822,0.0016176116131959976,0.0044745206262665795,0.0016176116131945589,1.3322676295501875e-15,1.0,0.0,0.0,0.0,0.997326233679174,1.0,9.295001053988138e-28,0.0,0.0,0.0937914239748352,0.2590597958066496,0.35243250040114305,0.2590597958067278,0.09379142397473572,9.947598300641403e-14,1.7867651802561113e-16
6.4,2.102227386943852,2.102232425896773,0.3658714386977338,0.4016114883062823,0.5786838203650586,0.2128123816673245,1.0,0.0,0.0,0.0,0.8369684668117037,0.0003354626279025071,0.14460554823959518,0.0,0.0,26.45317696638174,19.805742077340902,11.60004139493791,27.487675668159845,46.92731952728456,11.478540330698642,2.7755575615628914e-16
7.2,0.7569953657218904,0.7569954035543396,0.18502318408697263,0.05623518807655551,0.0278606122307094,0.2128837962250412,0.0,1.0,0.0,1.0,0.8244505311679172,1.2664165549093997e-14,4.353193760142496e-06,0.0,0.0,0.5965064271944995,0.19310802930107318,0.0987935879337658,0.8332251506029533,0.099770352244549,0.6771458197305762,1.942890293094024e-16
8.0,0.3226590996072032,0.32265909973747986,0.15036077784400548,0.0009260232534882654,0.06252301838104207,0.21288379622504477,0.0,1.0,0.0,1.0,0.8249996927893823,5.380186160021062e-32,6.0508587167977755e-37,0.0,1.0,0.3245120327271511,0.002153578091930175,0.15226964364125495,0.4439904177111833,0.1499771190543404,0.4457310472216476,2.7755575615628914e-16
