pair,D,slice_p95_abs_log_gamma_ratio,slice_p95_abs_log_W_ratio,slice_p95_abs_delta_P,slice_p95_abs_delta_generation_ratio,slice_winner_mismatch_fraction
hybrid_vs_runtime,4.0,0.0004871753968606,0.1802238697353126,0.007599346403591722,0.0019925952780977417,0.0
hybrid_vs_runtime,4.271186440677966,0.00021630028844625172,0.17762789414852503,0.004078538146184685,0.001291975634939213,0.0
hybrid_vs_runtime,4.5423728813559325,9.49538031589371e-05,0.1732926535635201,0.003338884024113642,0.0009762879000628555,0.0
hybrid_vs_runtime,4.813559322033898,4.370983982847909e-05,0.16766502924665466,0.002871283498704669,0.0007494529013751139,0.0
hybrid_vs_runtime,5.084745762711864,2.0372112933258493e-05,0.16110691448589975,0.0024558197662868375,0.0005460306952843608,0.0
hybrid_vs_runtime,5.3559322033898304,9.747052479356698e-06,0.1520230429871532,0.002173459783487197,0.0004112786269696134,0.0
hybrid_vs_runtime,5.627118644067797,4.970612907607988e-06,0.14439155052927297,0.0019032256886433174,0.0003204999482772086,0.0
hybrid_vs_runtime,5.898305084745763,2.367926322572753e-06,0.13650026826567926,0.0016906982080010069,0.00027728989086235335,0.0
hybrid_vs_runtime,6.169491525423728,1.1957010047410927e-06,0.12848436316585096,0.0015021024213047519,0.0002411999245800933,0.0
hybrid_vs_runtime,6.4406779661016955,6.156085533840478e-07,0.12045017088100149,0.0013381129011184934,0.0002169799190918864,0.0
hybrid_vs_runtime,6.711864406779661,3.2912618854206204e-07,0.11247989399088362,0.001331831758152835,0.0002580762576695372,0.0
hybrid_vs_runtime,6.983050847457627,1.669482987495097e-07,0.10463640225356836,0.0011251905151950848,0.0002933900222317432,0.0
hybrid_vs_runtime,7.254237288135593,8.893921803206861e-08,0.09696682867352831,0.0009464219076238845,0.0003382328521003064,0.0
hybrid_vs_runtime,7.525423728813559,4.9625643029234666e-08,0.0895056449856866,0.0007633392288296737,0.00030686111483990697,0.0
hybrid_vs_runtime,7.796610169491526,2.6663038265962913e-08,0.08227703961284806,0.0005845325140513725,0.0002783319383847127,0.0
hybrid_vs_runtime,8.067796610169491,1.4048288655831823e-08,0.0752968953257602,0.0004723072172959419,0.0002524368110088826,0.0
hybrid_vs_runtime,8.338983050847457,7.75320311610971e-09,0.0685744215359892,0.0003966325789549252,0.00022765540272873253,0.0
