case,case_label,target_D,eval_D,eta,abs_delta_mu_mumu,acceptance_mismatch
D21E21_holdout,D21 x E21 holdout,7.2,7.2,1.15,0.027144758725607954,0.0
D21E21_holdout,D21 x E21 holdout,7.2,7.2,1.34,0.027143609697468207,0.0
D21E21_holdout,D21 x E21 holdout,7.2,7.2,1.53,0.02714246073237403,0.0
D21E21_holdout,D21 x E21 holdout,7.2,7.2,1.72,0.02714131171618428,0.0
D21E21_holdout,D21 x E21 holdout,7.2,7.2,1.91,0.02714016272600972,0.0
D21E21_holdout,D21 x E21 holdout,7.2,7.2,2.1,0.027139013710467896,0.0
D21E21_holdout,D21 x E21 holdout,7.2,7.2,2.29,0.027137864727470706,0.0
D21E21_holdout,D21 x E21 holdout,7.2,7.2,2.4800000000000004,0.027136715726820526,0.0
D21E21_holdout,D21 x E21 holdout,7.2,7.2,2.6700000000000004,0.027135566736956385,0.0
D21E21_holdout,D21 x E21 holdout,7.2,7.2,2.8600000000000003,0.02713441773567471,0.0
D21E21_holdout,D21 x E21 holdout,7.2,7.2,3.0500000000000003,0.02713326875255051,0.0
D21E21_holdout,D21 x E21 holdout,7.2,7.2,3.24,0.027132119770710617,0.0
D21E21_holdout,D21 x E21 holdout,7.2,7.2,3.43,0.027130970782890174,0.0
D21E21_holdout,D21 x E21 holdout,7.2,7.2,3.62,0.027129821796137765,0.0
D21E21_holdout,D21 x E21 holdout,7.2,7.2,3.81,0.027128672824469735,0.0
D21E21_holdout,D21 x E21 holdout,7.2,7.2,4.0,0.027127523842535695,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,0.2,0.047790458523517376,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,0.39,0.0477905081640313,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,0.5800000000000001,0.04779055741279059,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,0.77,0.047790606539640734,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,0.96,0.04779065588926601,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,1.15,0.047790704997077604,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,1.34,0.04779075440726066,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,1.53,0.04779080349759024,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,1.72,0.047790852774160175,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,1.91,0.04779090200095304,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,2.1,0.04779095123558852,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,2.29,0.047791000435661424,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,2.4800000000000004,0.047791049706845,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,2.6700000000000004,0.047791098923547715,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,2.8600000000000003,0.04779114816732122,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,3.0500000000000003,0.047791197365162574,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,3.24,0.04779124661925582,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,3.43,0.047791295846788096,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,3.62,0.04779134505376392,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,3.81,0.047791394267639564,0.0
D21E21_holdout,D21 x E21 holdout,8.0,8.0,4.0,0.04779144351224529,0.0
D60E21_release,D60 x E21 release,4.0,4.0,0.2,0.07348270427825554,0.0
