D,B1,B2,B3,Bsum
4.0,1.9331165831267465,1.9537573358119125,1.0,4.886873918938659
4.8,2.054658572808072,3.8654853631571107,1.0,6.920143935965182
5.6,2.407735895414661,7.397198348412559,1.0,10.80493424382722
6.4,2.4496519629592983,7.917170026278783,1.0,11.366821989238082
7.2,2.2036118660570447,2.1553046456679987,1.0,5.3589165117250435
8.0,2.0405130692134574,1.9767094674006485,1.0,5.017222536614106
8.8,1.229571637207209,2.5748486263572823,1.0,4.8044202635644915
9.600000000000001,1.006733768712574,3.4371168998974713,1.0,5.443850668610045
10.4,1.2098443981284326,4.46636852654124,1.0,6.676212924669673
11.2,1.8944106001848002,6.559917897743973,1.0,9.454328497928774
12.0,1.6612771825494388,5.424519712825509,1.0,8.085796895374948
12.8,1.0720883567170043,3.2143086574819706,1.0,5.286397014198975
13.600000000000001,0.7731675718344503,2.0348060243690043,1.0,3.8079735962034547
14.4,0.8387957974132623,2.2370728471945065,1.0,4.075868644607769
15.200000000000001,1.289620873178775,4.103897998846863,1.0,6.393518872025638
16.0,1.1689606822884548,3.5352853042382004,1.0,5.704245986526655
16.8,1.2568338595882333,3.691398163989376,1.0,5.948232023577609
17.6,1.0,1.8377919328330936,1.0,3.8377919328330936
18.4,1.0,1.0,1.0,3.0
19.200000000000003,1.0,1.0,1.0,3.0
20.0,1.0,1.0,1.0,3.0
