peak,sigma_D,D,eta,mu_mumu_ref,mu_mumu_cur,mu_mumu_new,delta_mu_new,scalar_mu_factor,acceptance_mismatch_new
0.25,0.03,4.0,0.2,1.4310506046852982,2.143139046190954,2.143139046190954,0.7120884415056556,1.0,0.0
0.25,0.03,4.0,0.39,1.452803741113559,2.175585340399216,2.175585340399216,0.7227815992856568,1.0,0.0
0.25,0.03,4.0,0.5800000000000001,1.474712679500188,2.2084513604961113,2.2084513604961113,0.7337386809959234,1.0,1.0
0.25,0.03,4.0,0.77,1.4967745916612445,2.241374870092245,2.241374870092245,0.7446002784310004,1.0,1.0
0.25,0.03,4.0,0.96,1.5189865762230756,2.2746757735136716,2.2746757735136716,0.7556891972905959,1.0,1.0
0.25,0.03,4.0,1.15,1.5413456601851598,2.3078026882775524,2.3078026882775524,0.7664570280923926,1.0,1.0
0.25,0.03,4.0,1.34,1.563848800555354,2.3411763887770225,2.3411763887770225,0.7773275882216686,1.0,1.0
0.25,0.03,4.0,1.53,1.586492886055582,2.374964105130499,2.374964105130499,0.7884712190749168,1.0,1.0
0.25,0.03,4.0,1.72,1.6092747388958484,2.409176116377614,2.409176116377614,0.7999013774817658,1.0,1.0
0.25,0.03,4.0,1.91,1.632191116614453,2.4438231558473795,2.4438231558473795,0.8116320392329266,1.0,1.0
0.25,0.03,4.0,2.1,1.655238713982062,2.477956913163157,2.477956913163157,0.822718199181095,1.0,1.0
0.25,0.03,4.0,2.29,1.678414164967265,2.5116195268086057,2.5116195268086057,0.8332053618413406,1.0,1.0
0.25,0.03,4.0,2.4800000000000004,1.7017140447610914,2.545663577894898,2.545663577894898,0.8439495331338065,1.0,1.0
0.25,0.03,4.0,2.6700000000000004,1.725134871857939,2.580098272688456,2.580098272688456,0.8549634008305169,1.0,1.0
0.25,0.03,4.0,2.8600000000000003,1.7486731101901076,2.614933212414766,2.614933212414766,0.8662601022246583,1.0,1.0
0.25,0.03,4.0,3.0500000000000003,1.7723251713133223,2.650178409834975,2.650178409834975,0.8778532385216529,1.0,1.0
0.25,0.03,4.0,3.24,1.7960874166402336,2.6858443067178697,2.6858443067178697,0.889756890077636,1.0,1.0
