peak,sigma_D,D,eta,mu_mumu_ref,mu_mumu_cur,mu_mumu_new,delta_mu_new,scalar_mu_factor,acceptance_mismatch_new
0.25,0.03,4.0,3.43,1.8199561597190723,2.7219417922668203,2.7219417922668203,0.901985632547748,1.0,1.0
0.25,0.03,4.0,3.62,1.843927668554414,2.7584822225657075,2.7584822225657075,0.9145545540112936,1.0,1.0
0.25,0.03,4.0,3.81,1.86799816796702,2.7954774411125776,2.7954774411125776,0.9274792731455577,1.0,1.0
0.25,0.03,4.0,4.0,1.8921638419896345,2.8329398005150024,2.8329398005150024,0.9407759585253679,1.0,1.0
0.25,0.03,4.271186440677966,0.2,2.5948737426318904,5.700683987551244,5.700683987551244,3.1058102449193536,1.0,0.0
0.25,0.03,4.271186440677966,0.39,2.609878390230693,5.75548938506273,5.75548938506273,3.145610994832037,1.0,0.0
0.25,0.03,4.271186440677966,0.5800000000000001,2.624917718404451,5.811096467399894,5.811096467399894,3.186178748995443,1.0,0.0
0.25,0.03,4.271186440677966,0.77,2.639991332014783,5.86664163072669,5.86664163072669,3.226650298711907,1.0,0.0
0.25,0.03,4.271186440677966,0.96,2.6550988328600775,5.922890468181607,5.922890468181607,3.2677916353215295,1.0,0.0
0.25,0.03,4.271186440677966,1.15,2.670239819716955,5.978548229591894,5.978548229591894,3.308308409874939,1.0,0.0
0.25,0.03,4.271186440677966,1.34,2.6854138883819094,6.034615692404899,6.034615692404899,3.34920180402299,1.0,0.0
0.25,0.03,4.271186440677966,1.53,2.700620631713873,6.0914829338941825,6.0914829338941825,3.3908623021803095,1.0,0.0
0.25,0.03,4.271186440677966,1.72,2.7158596396770123,6.149169607273354,6.149169607273354,3.4333099675963417,1.0,0.0
0.25,0.03,4.271186440677966,1.91,2.731130499384294,6.2076960342766005,6.2076960342766005,3.4765655348923064,1.0,0.0
0.25,0.03,4.271186440677966,2.1,2.746432795141458,6.264897874838192,6.264897874838192,3.5184650796967336,1.0,0.0
0.25,0.03,4.271186440677966,2.29,2.761766108491512,6.3209017466504305,6.3209017466504305,3.5591356381589185,1.0,0.0
0.25,0.03,4.271186440677966,2.4800000000000004,2.7771300182598053,6.377657036746581,6.377657036746581,3.6005270184867757,1.0,0.0
0.25,0.03,4.271186440677966,2.6700000000000004,2.7925241005994854,6.435181282332911,6.435181282332911,3.6426571817334255,1.0,0.0
0.25,0.03,4.271186440677966,2.8600000000000003,2.8079479290375553,6.49349258726066,6.49349258726066,3.685544658223105,1.0,0.0
0.25,0.03,4.271186440677966,3.0500000000000003,2.823401074521308,6.552609645042598,6.552609645042598,3.7292085705212905,1.0,0.0
0.25,0.03,4.271186440677966,3.24,2.8388831054653,6.612551763009597,6.612551763009597,3.7736686575442966,1.0,0.0
0.25,0.03,4.271186440677966,3.43,2.854393587798741,6.673338887674064,6.673338887674064,3.818945299875323,1.0,0.0
0.25,0.03,4.271186440677966,3.62,2.869932085013311,6.7349916313712574,6.7349916313712574,3.8650595463579465,1.0,0.0
0.25,0.03,4.271186440677966,3.81,2.8854981582114636,6.797531300255092,6.797531300255092,3.9120331420436285,1.0,0.0
0.25,0.03,4.271186440677966,4.0,2.9010913661550997,6.860979923729325,6.860979923729325,3.9598885575742258,1.0,0.0
0.25,0.03,4.5423728813559325,0.2,4.7992859546302435,8.043162232174648,8.043162232174648,3.2438762775444046,1.0,0.0
0.25,0.03,4.5423728813559325,0.39,4.809841167689713,8.095604567960219,8.095604567960219,3.285763400270506,1.0,0.0
0.25,0.03,4.5423728813559325,0.5800000000000001,4.820403592771113,8.148697054359051,8.148697054359051,3.328293461587938,1.0,0.0
0.25,0.03,4.5423728813559325,0.77,4.830973175805931,8.20149512885212,8.20149512885212,3.3705219530461887,1.0,0.0
0.25,0.03,4.5423728813559325,0.96,4.841549862606696,8.25482933181127,8.25482933181127,3.413279469204575,1.0,0.0
0.25,0.03,4.5423728813559325,1.15,4.852133598868094,8.307303133082868,8.307303133082868,3.4551695342147744,1.0,0.0
0.25,0.03,4.5423728813559325,1.34,4.862724330168242,8.359998428522617,8.359998428522617,3.4972740983543753,1.0,0.0
0.25,0.03,4.5423728813559325,1.53,4.873322001969573,8.413327340143654,8.413327340143654,3.5400053381740815,1.0,0.0
0.25,0.03,4.5423728813559325,1.72,4.883926559619859,8.467302180634652,8.467302180634652,3.5833756210147936,1.0,0.0
0.25,0.03,4.5423728813559325,1.91,4.894537948353532,8.521935589137343,8.521935589137343,3.62739764078381,1.0,0.0
0.25,0.03,4.5423728813559325,2.1,4.905156113292534,8.574951578567758,8.574951578567758,3.6697954652752234,1.0,0.0
0.25,0.03,4.5423728813559325,2.29,4.915780999447526,8.626505862631877,8.626505862631877,3.7107248631843506,1.0,0.0
0.25,0.03,4.5423728813559325,2.4800000000000004,4.926412551718936,8.678642578162885,8.678642578162885,3.7522300264439483,1.0,0.0
0.25,0.03,4.5423728813559325,2.6700000000000004,4.937050714898037,8.73137239440215,8.73137239440215,3.7943216795041135,1.0,0.0
0.25,0.03,4.5423728813559325,2.8600000000000003,4.947695433668085,8.784706247137441,8.784706247137441,3.837010813469356,1.0,0.0
0.25,0.03,4.5423728813559325,3.0500000000000003,4.958346652605406,8.838655347151397,8.838655347151397,3.880308694545991,1.0,0.0
0.25,0.03,4.5423728813559325,3.24,4.969004316180483,8.893231188995616,8.893231188995616,3.924226872815133,1.0,0.0
0.25,0.03,4.5423728813559325,3.43,4.979668368759061,8.948445560104892,8.948445560104892,3.968777191345831,1.0,0.0
0.25,0.03,4.5423728813559325,3.62,4.990338754603274,9.004310550267476,9.004310550267476,4.013971795664203,1.0,0.0
0.25,0.03,4.5423728813559325,3.81,5.001015417872817,9.06083856146746,9.06083856146746,4.059823143594643,1.0,0.0
0.25,0.03,4.5423728813559325,4.0,5.0116983026258755,9.118042318116602,9.118042318116602,4.106344015490727,1.0,0.0
0.25,0.03,4.813559322033898,0.2,9.282664470613344,14.724774128262668,14.724774128262668,5.442109657649324,1.0,0.0
0.25,0.03,4.813559322033898,0.39,9.290744435738516,14.737734108466462,14.737734108466462,5.4469896727279465,1.0,0.0
0.25,0.03,4.813559322033898,0.5800000000000001,9.298825830700626,14.750706607549096,14.750706607549096,5.451880776848471,1.0,0.0
0.25,0.03,4.813559322033898,0.77,9.306908647050362,14.763672467910574,14.763672467910574,5.456763820860212,1.0,0.0
0.25,0.03,4.813559322033898,0.96,9.314992876333562,14.776648580890969,14.776648580890969,5.461655704557407,1.0,0.0
0.25,0.03,4.813559322033898,1.15,9.323078510091436,14.789607572098118,14.789607572098118,5.466529062006682,1.0,0.0
0.25,0.03,4.813559322033898,1.34,9.331165539860422,14.802571107921224,14.802571107921224,5.471405568060803,1.0,0.0
0.25,0.03,4.813559322033898,1.53,9.339253957171932,14.815547112802571,14.815547112802571,5.476293155630639,1.0,0.0
0.25,0.03,4.813559322033898,1.72,9.347343753553057,14.828535615805668,14.828535615805668,5.4811918622526115,1.0,0.0
0.25,0.03,4.813559322033898,1.91,9.355434920526166,14.841536646091694,14.841536646091694,5.486101725565527,1.0,0.0
0.25,0.03,4.813559322033898,2.1,9.363527449608943,14.854507699511013,14.854507699511013,5.490980249902069,1.0,0.0
0.25,0.03,4.813559322033898,2.29,9.37162133231467,14.867452855046745,14.867452855046745,5.495831522732075,1.0,0.0
0.25,0.03,4.813559322033898,2.4800000000000004,9.379716560151948,14.8804103583061,14.8804103583061,5.500693798154153,1.0,0.0
0.25,0.03,4.813559322033898,2.6700000000000004,9.387813124624758,14.893380238015713,14.893380238015713,5.5055671133909545,1.0,0.0
0.25,0.03,4.813559322033898,2.8600000000000003,9.395911017233065,14.906362522998858,14.906362522998858,5.5104515057657935,1.0,0.0
0.25,0.03,4.813559322033898,3.0500000000000003,9.40401022947182,14.919357242175153,14.919357242175153,5.515347012703332,1.0,0.0
0.25,0.03,4.813559322033898,3.24,9.41211075283194,14.932364424561603,14.932364424561603,5.520253671729664,1.0,0.0
0.25,0.03,4.813559322033898,3.43,9.4202125787998,14.94538409927242,14.94538409927242,5.52517152047262,1.0,0.0
0.25,0.03,4.813559322033898,3.62,9.428315698857572,14.958416295519648,14.958416295519648,5.530100596662075,1.0,0.0
0.25,0.03,4.813559322033898,3.81,9.43642010448314,14.971461042613482,14.971461042613482,5.535040938130342,1.0,0.0
0.25,0.03,4.813559322033898,4.0,9.444525787149974,14.98451836996241,14.98451836996241,5.539992582812436,1.0,0.0
0.25,0.03,5.084745762711864,0.2,17.62725138544233,17.34569712228154,17.34569712228154,-0.2815542631607926,1.0,0.0
0.25,0.03,5.084745762711864,0.39,17.633076292437334,17.357197842717056,17.357197842717056,-0.27587844972027753,1.0,0.0
0.25,0.03,5.084745762711864,0.5800000000000001,17.638901338215042,17.3687125079559,17.3687125079559,-0.27018883025914064,1.0,0.0
0.25,0.03,5.084745762711864,0.77,17.644726521651233,17.38022030833206,17.38022030833206,-0.2645062133191729,1.0,0.0
0.25,0.03,5.084745762711864,0.96,17.6505518416215,17.3917395984725,17.3917395984725,-0.25881224314899853,1.0,0.0
0.25,0.03,5.084745762711864,1.15,17.656377297005292,17.40324066282445,17.40324066282445,-0.25313663418084076,1.0,0.0
0.25,0.03,5.084745762711864,1.34,17.662202886679097,17.41474703714404,17.41474703714404,-0.24745584953505784,1.0,0.0
0.25,0.03,5.084745762711864,1.53,17.668028609518885,17.42626732283962,17.42626732283962,-0.24176128667926378,1.0,0.0
0.25,0.03,5.084745762711864,1.72,17.673854464401618,17.437801548578204,17.437801548578204,-0.23605291582341437,1.0,0.0
0.25,0.03,5.084745762711864,1.91,17.679680450203968,17.44934974310608,17.44934974310608,-0.23033070709788817,1.0,0.0
0.25,0.03,5.084745762711864,2.1,17.685506565802264,17.460865828348883,17.460865828348883,-0.22464073745338098,1.0,0.0
0.25,0.03,5.084745762711864,2.29,17.69133281007401,17.47235425944015,17.47235425944015,-0.21897855063386018,1.0,0.0
0.25,0.03,5.084745762711864,2.4800000000000004,17.697159181894293,17.48385650371247,17.48385650371247,-0.21330267818182236,1.0,0.0
0.25,0.03,5.084745762711864,2.6700000000000004,17.70298568013986,17.495372589499496,17.495372589499496,-0.20761309064036482,1.0,0.0
0.25,0.03,5.084745762711864,2.8600000000000003,17.70881230368699,17.50690254521239,17.50690254521239,-0.20190975847459924,1.0,0.0
0.25,0.03,5.084745762711864,3.0500000000000003,17.714639051411513,17.51844639934102,17.51844639934102,-0.19619265207049352,1.0,0.0
0.25,0.03,5.084745762711864,3.24,17.720465922189693,17.530004180453922,17.530004180453922,-0.19046174173577057,1.0,0.0
0.25,0.03,5.084745762711864,3.43,17.726292914897066,17.54157591719829,17.54157591719829,-0.18471699769877503,1.0,0.0
0.25,0.03,5.084745762711864,3.62,17.732120028409618,17.55316163830101,17.55316163830101,-0.17895839010860826,1.0,0.0
0.25,0.03,5.084745762711864,3.81,17.737947261603292,17.56476137256836,17.56476137256836,-0.17318588903493293,1.0,0.0
0.25,0.03,5.084745762711864,4.0,17.743774613353406,17.57637514888638,17.57637514888638,-0.16739946446702447,1.0,0.0
0.25,0.03,5.3559322033898304,0.2,27.74186409104926,24.381600906460378,24.381600906460378,-3.360263184588881,1.0,0.0
0.25,0.03,5.3559322033898304,0.39,27.745366050003852,24.393983674413015,24.393983674413015,-3.3513823755908376,1.0,0.0
0.25,0.03,5.3559322033898304,0.5800000000000001,27.748867968508325,24.40637952600932,24.40637952600932,-3.342488442499004,1.0,0.0
0.25,0.03,5.3559322033898304,0.77,27.752369846440423,24.41876472066235,24.41876472066235,-3.3336051257780746,1.0,0.0
0.25,0.03,5.3559322033898304,0.96,27.75587168366279,24.431160192083897,24.431160192083897,-3.324711491578892,1.0,0.0
0.25,0.03,5.3559322033898304,1.15,27.759373480055498,24.443532066206338,24.443532066206338,-3.31584141384916,1.0,0.0
0.25,0.03,5.3559322033898304,1.34,27.76287523549445,24.45590717892993,24.45590717892993,-3.3069680565645214,1.0,0.0
0.25,0.03,5.3559322033898304,1.53,27.766376949856035,24.468295324815763,24.468295324815763,-3.298081625040272,1.0,0.0
0.25,0.03,5.3559322033898304,1.72,27.7698786230138,24.48069652555731,24.48069652555731,-3.2891820974564894,1.0,0.0
0.25,0.03,5.3559322033898304,1.91,27.773380254844053,24.493110802902414,24.493110802902414,-3.2802694519416384,1.0,0.0
0.25,0.03,5.3559322033898304,2.1,27.776881845221936,24.50548570869414,24.50548570869414,-3.271396136527798,1.0,0.0
0.25,0.03,5.3559322033898304,2.29,27.78038339402154,24.517826346191733,24.517826346191733,-3.2625570478298087,1.0,0.0
0.25,0.03,5.3559322033898304,2.4800000000000004,27.783884901121304,24.530179908405472,24.530179908405472,-3.253704992715832,1.0,0.0
0.25,0.03,5.3559322033898304,2.6700000000000004,27.787386366393104,24.54254641673536,24.54254641673536,-3.244839949657745,1.0,0.0
0.25,0.03,5.3559322033898304,2.8600000000000003,27.790887789715654,24.55492589263269,24.55492589263269,-3.2359618970829658,1.0,0.0
0.25,0.03,5.3559322033898304,3.0500000000000003,27.79438917096343,24.567318357594093,24.567318357594093,-3.2270708133693375,1.0,0.0
0.25,0.03,5.3559322033898304,3.24,27.797890510010735,24.579723833165364,24.579723833165364,-3.218166676845371,1.0,0.0
0.25,0.03,5.3559322033898304,3.43,27.801391806733413,24.592142340939983,24.592142340939983,-3.2092494657934303,1.0,0.0
0.25,0.03,5.3559322033898304,3.62,27.80489306100664,24.604573902560023,24.604573902560023,-3.200319158446618,1.0,0.0
0.25,0.03,5.3559322033898304,3.81,27.80839427270692,24.617018539716668,24.617018539716668,-3.1913757329902523,1.0,0.0
0.25,0.03,5.3559322033898304,4.0,27.811895441709066,24.629476274149248,24.629476274149248,-3.182419167559818,1.0,0.0
0.25,0.03,5.627118644067797,0.2,44.29403558125418,58.29525916150112,54.42616866160909,10.132133080354912,0.9336294142003365,0.0
0.25,0.03,5.627118644067797,0.39,44.296173235880694,58.29825936823605,54.428969742865505,10.13279650698481,0.9336294142003365,0.0
0.25,0.03,5.627118644067797,0.5800000000000001,44.29831085750326,58.30125984627525,54.43177107741956,10.133460219916302,0.9336294142003365,0.0
0.25,0.03,5.627118644067797,0.77,44.30044844608468,58.304259997515594,54.4345721068646,10.13412366077992,0.9336294142003365,0.0
0.25,0.03,5.627118644067797,0.96,44.30258600165074,58.30726034970606,54.43737332392258,10.13478732227184,0.9336294142003365,0.0
0.25,0.03,5.627118644067797,1.15,44.30472352415427,58.31026004958234,54.44017393196084,10.135450407806573,0.9336294142003365,0.0
0.25,0.03,5.627118644067797,1.34,44.30686101360546,58.313259774335215,54.44297456322463,10.136113549619168,0.9336294142003365,0.0
0.25,0.03,5.627118644067797,1.53,44.30899846998715,58.31625977029414,54.445775447694366,10.136776977707214,0.9336294142003365,0.0
0.25,0.03,5.627118644067797,1.72,44.31113589327407,58.31926003752456,54.44857658543115,10.137440692157078,0.9336294142003365,0.0
0.25,0.03,5.627118644067797,1.91,44.313273283464014,58.322260576081106,54.451377976485986,10.138104693021972,0.9336294142003365,0.0
0.25,0.03,5.627118644067797,2.1,44.31541064053281,58.3252600663488,54.45417838882751,10.138767748294697,0.9336294142003365,0.0
0.25,0.03,5.627118644067797,2.29,44.31754796447279,58.32825863993406,54.45697794532736,10.139429980854572,0.9336294142003365,0.0
0.25,0.03,5.627118644067797,2.4800000000000004,44.319685255267416,58.33125748446414,54.45977775478925,10.140092499521835,0.9336294142003365,0.0
0.25,0.03,5.627118644067797,2.6700000000000004,44.32182251290478,58.33425660000641,54.4625778172761,10.140755304371318,0.9336294142003365,0.0
0.25,0.03,5.627118644067797,2.8600000000000003,44.32395973736624,58.33725598661293,54.465378132836506,10.141418395470268,0.9336294142003365,0.0
0.25,0.03,5.627118644067797,3.0500000000000003,44.32609692864255,58.34025564434683,54.46817870152941,10.142081772886861,0.9336294142003365,0.0
0.25,0.03,5.627118644067797,3.24,44.32823408671694,58.343255573259334,54.47097952340263,10.142745436685694,0.9336294142003365,0.0
0.25,0.03,5.627118644067797,3.43,44.33037121157733,58.34625577341555,54.47378059851696,10.14340938693963,0.9336294142003365,0.0
0.25,0.03,5.627118644067797,3.62,44.33250830320546,58.34925624487031,54.47658192692359,10.144073623718135,0.9336294142003365,0.0
0.25,0.03,5.627118644067797,3.81,44.334645361588194,58.3522569876809,54.479383508676015,10.144738147087821,0.9336294142003365,0.0
0.25,0.03,5.627118644067797,4.0,44.33678238671618,58.35525800191087,54.48218534383354,10.145402957117362,0.9336294142003365,0.0
0.25,0.03,5.898305084745763,0.2,73.28983990446632,60.251653720638146,63.271316304939056,-10.018523599527263,1.0501175054597145,0.0
0.25,0.03,5.898305084745763,0.39,73.29120449498502,60.25448559082204,63.27429010139235,-10.016914393592671,1.0501175054597145,0.0
0.25,0.03,5.898305084745763,0.5800000000000001,73.29256906733613,60.25731774139592,63.27726419228809,-10.015304875048045,1.0501175054597145,0.0
0.25,0.03,5.898305084745763,0.77,73.2939336216711,60.26014963122751,63.28023800937377,-10.013695612297333,1.0501175054597145,0.0
0.25,0.03,5.898305084745763,0.96,73.29529815797706,60.26298173779924,63.28321205406206,-10.012086103914996,1.0501175054597145,0.0
0.25,0.03,5.898305084745763,1.15,73.29666267615853,60.26581328900283,63.28618551554856,-10.010477160609973,1.0501175054597145,0.0
0.25,0.03,5.898305084745763,1.34,73.29802717630976,60.268644897635,63.28915903734182,-10.00886813896794,1.0501175054597145,0.0
0.25,0.03,5.898305084745763,1.53,73.29939165838354,60.27147678658714,63.29213285350397,-10.00725880487957,1.0501175054597145,0.0
0.25,0.03,5.898305084745763,1.72,73.30075612237763,60.27430895591068,63.29510696408906,-10.005649158288577,1.0501175054597145,0.0
0.25,0.03,5.898305084745763,1.91,73.30212056828817,60.27714140564782,63.29808136914136,-10.004039199146817,1.0501175054597145,0.0
0.25,0.03,5.898305084745763,2.1,73.30348499615062,60.27997294177464,63.30105481479547,-10.002430181355145,1.0501175054597145,0.0
0.25,0.03,5.898305084745763,2.29,73.30484940592164,60.28280368338697,63.304027426116015,-10.000821979805629,1.0501175054597145,0.0
0.25,0.03,5.898305084745763,2.4800000000000004,73.30621379761986,60.28563470510325,63.307000331578614,-9.999213466041248,1.0501175054597145,0.0
0.25,0.03,5.898305084745763,2.6700000000000004,73.307578171227,60.288466006961094,63.30997353122278,-9.997604640004212,1.0501175054597145,0.0
0.25,0.03,5.898305084745763,2.8600000000000003,73.30894252676417,60.291297589012885,63.31294702510351,-9.995995501660659,1.0501175054597145,0.0
0.25,0.03,5.898305084745763,3.0500000000000003,73.31030686420101,60.29412945129645,63.31592081326053,-9.994386050940477,1.0501175054597145,0.0
0.25,0.03,5.898305084745763,3.24,73.31167118356616,60.29696159386269,63.3188948957473,-9.992776287818863,1.0501175054597145,0.0
0.25,0.03,5.898305084745763,3.43,73.31303548482741,60.29979401674245,63.3218692725962,-9.991166212231207,1.0501175054597145,0.0
0.25,0.03,5.898305084745763,3.62,73.31439976801113,60.30262671999676,63.32484394387132,-9.989555824139806,1.0501175054597145,0.0
0.25,0.03,5.898305084745763,3.81,73.3157640331047,60.30545970366357,63.327818909612525,-9.987945123492175,1.0501175054597145,0.0
0.25,0.03,5.898305084745763,4.0,73.31712828008988,60.30829296778385,63.33079416986282,-9.986334110227055,1.0501175054597145,0.0
0.25,0.03,6.169491525423728,0.2,72.85711943387253,72.06646393780714,72.06646393780714,-0.7906554960653835,1.0,0.0
0.25,0.03,6.169491525423728,0.39,72.8576226618424,72.0689876687766,72.0689876687766,-0.7886349930657985,1.0,0.0
0.25,0.03,6.169491525423728,0.5800000000000001,72.8581258854363,72.07151158782102,72.07151158782102,-0.786614297615273,1.0,0.0
0.25,0.03,6.169491525423728,0.77,72.85862910442187,72.07403523754762,72.07403523754762,-0.7845938668742463,1.0,0.0
0.25,0.03,6.169491525423728,0.96,72.8591323191635,72.07655902161686,72.07655902161686,-0.782573297546648,1.0,0.0
0.25,0.03,6.169491525423728,1.15,72.85963552943858,72.07908228759013,72.07908228759013,-0.7805532418484518,1.0,0.0
0.25,0.03,6.169491525423728,1.34,72.86013873538302,72.08160555328301,72.08160555328301,-0.7785331821000057,1.0,0.0
0.25,0.03,6.169491525423728,1.53,72.86064193687325,72.08412900692876,72.08412900692876,-0.776512929944488,1.0,0.0
0.25,0.03,6.169491525423728,1.72,72.86114513404799,72.08665264862398,72.08665264862398,-0.7744924854240054,1.0,0.0
0.25,0.03,6.169491525423728,1.91,72.86164832683708,72.08917647833802,72.08917647833802,-0.772471848499066,1.0,0.0
0.25,0.03,6.169491525423728,2.1,72.86215151515749,72.09169948741882,72.09169948741882,-0.7704520277386706,1.0,0.0
0.25,0.03,6.169491525423728,2.29,72.8626546991532,72.09422177661567,72.09422177661567,-0.7684329225375279,1.0,0.0
0.25,0.03,6.169491525423728,2.4800000000000004,72.86315787871023,72.09674425360382,72.09674425360382,-0.7664136251064093,1.0,0.0
0.25,0.03,6.169491525423728,2.6700000000000004,72.86366105391085,72.09926691843265,72.09926691843265,-0.7643941354781987,1.0,0.0
0.25,0.03,6.169491525423728,2.8600000000000003,72.86416422471666,72.10178977111376,72.10178977111376,-0.7623744536029022,1.0,0.0
0.25,0.03,6.169491525423728,3.0500000000000003,72.86466739112022,72.10431281166719,72.10431281166719,-0.7603545794530362,1.0,0.0
0.25,0.03,6.169491525423728,3.24,72.86517055314152,72.10683604012556,72.10683604012556,-0.7583345130159671,1.0,0.0
0.25,0.03,6.169491525423728,3.43,72.8656737107654,72.10935945649771,72.10935945649771,-0.7563142542676928,1.0,0.0
0.25,0.03,6.169491525423728,3.62,72.86617686401031,72.11188306082917,72.11188306082917,-0.7542938031811417,1.0,0.0
0.25,0.03,6.169491525423728,3.81,72.86668001284127,72.11440685309896,72.11440685309896,-0.752273159742316,1.0,0.0
0.25,0.03,6.169491525423728,4.0,72.86718315729819,72.11693083336459,72.11693083336459,-0.7502523239335943,1.0,0.0
0.25,0.03,6.4406779661016955,0.2,45.73786443452171,58.121276937101605,54.74194697375715,9.00408253923544,0.9418572656791154,0.0
0.25,0.03,6.4406779661016955,0.39,45.737983507291375,58.12143315039051,54.7420941043783,9.004110597086928,0.9418572656791154,0.0
0.25,0.03,6.4406779661016955,0.5800000000000001,45.73810257960763,58.121589364558325,54.74224123582726,9.00413865621963,0.9418572656791154,0.0
0.25,0.03,6.4406779661016955,0.77,45.73822165138581,58.1217455764471,54.742388365129685,9.004166713743878,0.9418572656791154,0.0
0.25,0.03,6.4406779661016955,0.96,45.73834072259768,58.121901788668005,54.742535494744935,9.004194772147258,0.9418572656791154,0.0
0.25,0.03,6.4406779661016955,1.15,45.73845979316265,58.122057996842834,54.74268262054936,9.004222827386712,0.9418572656791154,0.0
0.25,0.03,6.4406779661016955,1.34,45.73857886303054,58.12221420443112,54.74282974580134,9.004250882770798,0.9418572656791154,0.0
0.25,0.03,6.4406779661016955,1.53,45.73869793242382,58.12237041275208,54.742976871743394,9.004278939319576,0.9418572656791154,0.0
0.25,0.03,6.4406779661016955,1.72,45.73881700115645,58.12252662179833,54.74312399836857,9.004306997212119,0.9418572656791154,0.0
0.25,0.03,6.4406779661016955,1.91,45.73893606924289,58.122682831552225,54.74327112566024,9.004335056417354,0.9418572656791154,0.0
0.25,0.03,6.4406779661016955,2.1,45.73905513674126,58.1228390351841,54.74341824718585,9.004363110444594,0.9418572656791154,0.0
0.25,0.03,6.4406779661016955,2.29,45.73917420367656,58.122995233471165,54.74356536367741,9.00439116000085,0.9418572656791154,0.0
0.25,0.03,6.4406779661016955,2.4800000000000004,45.739293269983506,58.123151432434526,54.74371248080595,9.00441921082244,0.9418572656791154,0.0
0.25,0.03,6.4406779661016955,2.6700000000000004,45.73941233567354,58.12330763212621,54.74385959862045,9.004447262946911,0.9418572656791154,0.0
0.25,0.03,6.4406779661016955,2.8600000000000003,45.73953140077024,58.12346383255956,54.7440067171335,9.004475316363262,0.9418572656791154,0.0
0.25,0.03,6.4406779661016955,3.0500000000000003,45.73965046526172,58.12362003370544,54.744153836317665,9.004503371055947,0.9418572656791154,0.0
0.25,0.03,6.4406779661016955,3.24,45.739769529157535,58.123776235591045,54.74430095619853,9.004531427040995,0.9418572656791154,0.0
0.25,0.03,6.4406779661016955,3.43,45.739888592403986,58.12393243818266,54.74444807674436,9.004559484340376,0.9418572656791154,0.0
0.25,0.03,6.4406779661016955,3.62,45.74000765506223,58.124088641509616,54.744595197982775,9.004587542920547,0.9418572656791154,0.0
0.25,0.03,6.4406779661016955,3.81,45.74012671713229,58.12424484555507,54.74474231989792,9.004615602765625,0.9418572656791154,0.0
0.25,0.03,6.4406779661016955,4.0,45.74024577860031,58.12440105035036,54.744889442519295,9.004643663918984,0.9418572656791154,0.0
0.25,0.03,6.711864406779661,0.2,21.2976797472918,21.419281039655687,21.419281039655687,0.12160129236388784,1.0,0.0
0.25,0.03,6.711864406779661,0.39,21.297700117949084,21.41931630433541,21.41931630433541,0.12161618638632632,1.0,0.0
0.25,0.03,6.711864406779661,0.5800000000000001,21.297720488349047,21.41935156916195,21.41935156916195,0.12163108081290375,1.0,0.0
0.25,0.03,6.711864406779661,0.77,21.297740858418138,21.419386833152384,21.419386833152384,0.12164597473424621,1.0,0.0
0.25,0.03,6.711864406779661,0.96,21.29776122863928,21.419422097201007,21.419422097201007,0.12166086856172598,1.0,0.0
0.25,0.03,6.711864406779661,1.15,21.297781598744447,21.419457360064097,21.419457360064097,0.12167576131965063,1.0,0.0
0.25,0.03,6.711864406779661,1.34,21.29780196873038,21.419492622670344,21.419492622670344,0.12169065393996448,1.0,0.0
