width_peak,refamp_peak,center_D,sigma_D,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
0.0,1.0,5.9,0.2,26.713781945416287,12.208084333064733,22.988164005978774,2.9393676270860354,26.713781945416287,22.988164005978774,26.713781945416287
0.5,1.0,5.9,0.2,26.713781945416287,12.208084333064733,23.0430363538768,2.9393773688425426,26.713781945416287,23.0430363538768,26.713781945416287
1.0,1.0,5.9,0.2,26.713781945416287,12.208084333064718,23.097948233188887,2.9393871105945557,26.713781945416287,23.097948233188887,26.713781945416287
0.0,1.0,5.9,0.15,26.713892290524413,13.573655388269572,22.817846347071864,2.9398783126440087,26.713892290524413,22.817846347071864,26.713892290524413
0.5,1.0,5.9,0.15,26.713892290524413,13.573655388269586,22.821037265212183,2.9398783286987538,26.713892290524413,22.821037265212183,26.713892290524413
1.0,1.0,5.9,0.15,26.713892290524413,13.573655388269572,22.824228317332143,2.939878344753499,26.713892290524413,22.824228317332143,26.713892290524413
0.0,1.0,5.9,0.1,26.714207544234114,14.708085979849272,22.80731742150448,2.9398791556705532,26.714207544234114,22.80731742150448,26.714207544234114
0.5,1.0,5.9,0.1,26.714207544234114,14.708085979849272,22.80731837040878,2.9398791556705532,26.714207544234114,22.80731837040878,26.714207544234114
1.0,1.0,5.9,0.1,26.714207544234114,14.708085979849272,22.80731931931311,2.9398791556705532,26.714207544234114,22.80731931931311,26.714207544234114
0.0,1.0,6.03,0.2,27.479112628635967,9.595219777481617,23.659678237033788,2.9340836495466682,27.479112628635967,23.659678237033788,27.479112628635967
0.5,1.0,6.03,0.2,27.479112628635967,9.595219777481617,23.91977941885409,2.9341940350673106,27.479112628635967,23.91977941885409,27.479112628635967
1.0,1.0,6.03,0.2,27.479112628635967,9.595219777481617,24.1807610569374,2.934304420010154,27.479112628635967,24.1807610569374,27.479112628635967
0.0,1.0,6.03,0.15,27.96493182530878,10.533072147787308,22.971960408726787,2.9398160720470408,27.96493182530878,22.971960408726787,27.96493182530878
0.5,1.0,6.03,0.15,27.96493182530878,10.533072147787308,23.021909435301524,2.9398172734244525,27.96493182530878,23.021909435301524,27.96493182530878
1.0,1.0,6.03,0.15,27.96493182530878,10.533072147787308,23.071891224729924,2.9398184748018004,27.96493182530878,23.071891224729924,27.96493182530878
0.0,0.5,5.9,0.2,28.659103167562336,13.55648432297005,22.89768540768941,2.93962339292964,28.659103167562336,22.89768540768941,28.659103167562336
0.5,0.5,5.9,0.2,28.659103167562336,13.55648432297005,22.952492572538603,2.93963313456797,28.659103167562336,22.952492572538603,28.659103167562336
