mode,D,eta,mu_full,mu_mode_map,mu_mode_path,chi2_full,chi2_mode,acceptance_mismatch,width_full,width_mode,c_uv22_full,c_uv22_mode,delta_log_mu,delta_log_uv_ratio,delta_log_fin_ratio,delta_log_rge_ratio,delta_log_width_term,identity_residual,delta_log_uv_g_only,delta_log_uv_p_only,delta_log_uv_m2_only,dominant_component,abs_width_component,abs_uv_component,abs_fin_component,abs_rge_component
bandcombo,4.0,0.2,1.8414344787177772,0.9249524847277696,0.92495248472849,1.2179024937552234,1.4104383860394991,0.0,473.94869895699594,997.3904157091245,0.0014758502143104744,0.0014758502143104688,-0.9569269942269958,-0.10654859427662267,0.0,0.00010669616393171877,-0.744043198001612,-1.887379141862766e-15,-0.10523521911549238,0.0,-0.0013133751611302813,width,0.744043198001612,0.21309718855324533,0.0,0.00021339232786343754
bandcombo,4.0,0.29500000000000004,1.8553977041522351,0.9319706093461552,0.931970609346881,1.2961691809195433,1.3690719407238072,0.0,471.6736746166491,992.5953532065855,0.0014778732995230066,0.001477873299523001,-0.9569194987883876,-0.10654859427662267,0.0,0.00010669616393171877,-0.7440357025630044,-1.2212453270876722e-15,-0.10523521911549238,0.0,-0.0013133751611302813,width,0.7440357025630044,0.21309718855324533,0.0,0.00021339232786343754
bandcombo,4.0,0.39,1.869411360343974,0.9390141489575166,0.939014148958248,1.3771689076248776,1.3281747178835164,0.0,469.4109237215333,987.8261609143225,0.0014798793343970764,0.001479879334397071,-0.9569119731852056,-0.10654859427662267,0.0,0.00010669616393171877,-0.744028176959822,-1.6653345369377348e-15,-0.10523521911549238,0.0,-0.0013133751611302813,width,0.744028176959822,0.21309718855324533,0.0,0.00021339232786343754
bandcombo,4.0,0.48500000000000004,1.8834750003050624,0.946082879666915,0.946082879667651,1.4609254744998763,1.287754700821752,0.0,467.1604615280256,983.0828709845143,0.0014818683828695962,0.0014818683828695907,-0.9569044176202015,-0.10654859427662267,0.0,0.00010669616393171877,-0.7440206213948182,-1.4432899320127035e-15,-0.10523521911549238,0.0,-0.0013133751611302813,width,0.7440206213948182,0.21309718855324533,0.0,0.00021339232786343754
bandcombo,4.0,0.5800000000000001,1.8975881710511824,0.9531765745608356,0.9531765745615774,1.5474624248128812,1.2478198345074278,0.0,464.9223011719615,978.3655111000503,0.0014838405094366235,0.0014838405094366178,-0.9568968322987582,-0.10654859427662267,0.0,0.00010669616393171877,-0.7440130360733743,-1.9984014443252818e-15,-0.10523521911549238,0.0,-0.0013133751611302813,width,0.7440130360733743,0.21309718855324533,0.0,0.00021339232786343754
bandcombo,4.0,0.675,1.9117504136610723,0.960295003736855,0.9602950037376025,1.636803036764242,1.2083780233673267,0.0,462.69645371025234,973.6741045622471,0.0014857957791370197,0.0014857957791370138,-0.9568892174288807,-0.10654859427662355,0.0,0.00010669616393171877,-0.7440054212034966,-4.440892098500626e-16,-0.10523521911549238,0.0,-0.0013133751611311695,width,0.7440054212034966,0.2130971885532471,0.0,0.00021339232786343754
bandcombo,4.0,0.77,1.9259612633374992,0.9674379343340868,0.9674379343348405,1.7289703158223635,1.169437129082261,0.0,460.48292816215394,969.0086703778171,0.0014877342575363118,0.0014877342575363064,-0.9568815732211685,-0.10654859427662355,0.0,0.00010669616393171877,-0.7439977769957853,4.440892098500626e-16,-0.10523521911549238,0.0,-0.0013133751611311695,width,0.7439977769957853,0.2130971885532471,0.0,0.00021339232786343754
bandcombo,4.0,0.865,1.9402202494696392,0.9746051305643204,0.9746051305650795,1.823986987106496,1.1310049683887418,0.0,458.28173155019647,964.3692233451301,0.0014896560107107246,0.001489656010710719,-0.9568738998887997,-0.10654859427662267,0.0,0.00010669616393171877,-0.7439901036634158,-1.9984014443252818e-15,-0.10523521911549238,0.0,-0.0013133751611302813,width,0.7439901036634158,0.21309718855324533,0.0,0.00021339232786343754
bandcombo,4.0,0.96,1.9545268956969832,0.9817963537439456,0.9817963537447106,1.9218754878208313,1.0930893108866182,0.0,456.0928689407299,959.7557741396666,0.0014915611052314021,0.0014915611052313967,-0.9568661976475026,-0.10654859427662267,0.0,0.00010669616393171877,-0.7439824014221195,-1.2212453270876722e-15,-0.10523521911549238,0.0,-0.0013133751611302813,width,0.7439824014221195,0.21309718855324533,0.0,0.00021339232786343754
bandcombo,4.0,1.055,1.9688807199746967,0.9890113623265884,0.9890113623273581,2.0226579597433085,1.0556978768540426,0.0,453.9163434841082,955.1683293987029,0.0014934496081488158,0.0014934496081488102,-0.9568584667155392,-0.10654859427662355,0.0,0.00010669616393171877,-0.7439746704901555,0.0,-0.10523521911549238,0.0,-0.0013133751611311695,width,0.7439746704901555,0.2130971885532471,0.0,0.00021339232786343754
