D,uniform_axis_E1,uniform_axis_E2,uniform_axis_E3,uniform_axis_omega1,uniform_axis_omega2,uniform_axis_delta_omega12,prolate_axis_E1,prolate_axis_E2,prolate_axis_E3,prolate_axis_omega1,prolate_axis_omega2,prolate_axis_delta_omega12,uniform_axis_n_total,prolate_axis_n_total,prolate_axis_n_inner,prolate_axis_n_outer_each,uniform_axis_E1_d2,uniform_axis_E2_d2,uniform_axis_delta_omega12_d2,prolate_axis_E1_d2,prolate_axis_E2_d2,prolate_axis_delta_omega12_d2
5.4,-0.4960330040063901,-0.4552189719199922,0.005648707310340758,0.7099063290277176,0.738092831614024,0.028186502586306394,-0.8665832365078963,-0.8459372795260864,0.0056479706364834575,0.3652625952545699,0.3925082425553807,0.027245647300810805,1201,1201,401,400,,,,,,
5.487500000000001,-0.3326073091372529,-0.28152092672790074,0.005650398765970014,0.8169410571532973,0.8476314489635807,0.030690391810283324,-0.8656766765194945,-0.8466677639556113,0.005648823580216364,0.36650146449980997,0.39157660303494735,0.025075138535137376,1201,1201,401,400,-67.88081388685544,-72.82204210415115,-1.631077372612907,-0.005923814042816389,0.011233836783560491,0.022686667140902728
5.575,-0.6888940955893504,-0.6653666413957143,0.005650049498577169,0.5577686836051747,0.5784750285053675,0.02070634490019274,-0.8648154707323581,-0.8473122393222619,0.0056496882485788805,0.3676744881925341,0.3907528127572956,0.0230783245647615,1201,1201,401,400,60.38985196342685,64.88106563965849,1.5519597726946914,-0.005478482397222706,0.010459268947414557,0.021096616203335472
5.627118644067797,-0.6813928866324663,-0.6579399932543442,0.005650527277421126,0.564452932818613,0.5848589631232951,0.020406030304682132,-0.864322433430044,-0.8476580610296203,0.005650208846197577,0.36834435867806636,0.39031005491836834,0.02196569624030198,1201,1201,401,400,104.36424197663518,110.07200997646578,1.6570839574609622,-0.005155765108270316,0.00990168394093871,0.019946783526567202
5.6625000000000005,-0.5147516103545122,-0.4825140834758261,0.0056512555184478645,0.6965977244044713,0.7193649397379427,0.02276721533347137,-0.863995710030907,-0.8478774990160023,0.005650564620107942,0.36878759465184424,0.39002884634857166,0.021241251696727415,1201,1201,401,400,-41.13694148093049,-42.94805561874117,-0.39834307359941956,-0.0048522510653583595,0.009380392758032485,0.018867304112429206
5.75,-0.3237933911800731,-0.2795676492749751,0.005653108294039453,0.8223178271325066,0.8487828642974744,0.026465037164967842,-0.8632137914465667,-0.8483697514343935,0.005651452669385225,0.3698461958077077,0.38939728885240904,0.019551093044701318,1201,1201,401,400,-70.50600876386075,-75.31858056082157,-1.7607349713999279,-0.004509080585847869,0.008794081307172519,0.017648569696391725
5.8375,-0.6726468016039424,-0.6532790974929139,0.005652754565577063,0.5721478815796294,0.588830113451313,0.016682231871683606,-0.8624663955104618,-0.8487946741677764,0.005652352386123922,0.37085523387103253,0.3888512901254457,0.017996056254413195,1201,1201,401,400,63.623909257417864,67.64186244306214,1.4855792933265008,-0.004109804699126585,0.008115481345541298,0.01623245882778601
5.925,-0.5343796567757059,-0.509107536381158,0.005653909137927828,0.682363790968054,0.7006371840109844,0.018273393042930408,-0.8617504652665844,-0.8491574627471075,0.005653263746613806,0.3718192231897318,0.38838452241675714,0.01656529922702532,1201,1201,401,400,10.361273274865383,11.291286415424416,0.38998444133331,-0.003742263645449384,0.007494104425433079,0.014930374763695076
6.0125,-0.3167840134367794,-0.27848706365130727,0.005655915194602968,0.8265688032845303,0.8494191758776657,0.022850372593135382,-0.8610631867287422,-0.8494628745894313,0.0056541867335167615,0.37274228801044007,0.38799114089186204,0.01524885288142197,1201,1201,401,400,-72.59366540079151,-77.19533318633172,-1.8137873280247545,-0.0034040844387135394,0.006924769890147786,0.013733067354802175
6.1,-0.6549836208226612,-0.6388933606293068,0.005655570594065384,0.587380948939731,0.6009214918528819,0.013540542913150877,-0.8604019707123838,-0.8497152686622833,0.005655121326699639,0.37362819659069657,0.3876657469234504,0.014037550332753834,1201,1201,401,400,51.489745087834564,54.734559611128915,1.322929934512035,-0.0031131725515649578,0.006436499556770059,0.012703263406067755
6.169492525423729,-0.6427102549244977,-0.6265564038531494,0.005656269976981275,0.5977371872951375,0.611100315943995,0.01336312864885758,-0.859893814816019,-0.8498806096241102,0.005655871837798596,0.3743076077025165,0.3874524362755896,0.013144828573073142,1201,1201,401,400,107.76464421171431,112.20673630137037,1.6002671300665021,-0.002917735778964925,0.006109060719381887,0.012011307943403438
6.1875,-0.5546299817123852,-0.534960052308683,0.005656668275407386,0.6673604860100835,0.6819383752886451,0.014577889278561629,-0.8597644359530046,-0.8499186412505647,0.005656067508848947,0.3744803920727966,0.3874033540761299,0.012922962003333316,1201,1201,401,400,-40.05685804396268,-40.84063545937175,-0.16177792674279168,-0.002734312883973189,0.005802086970561504,0.011361560417160632
6.275,-0.31154024621535,-0.27840324289994584,0.005658817389323679,0.8297347490521594,0.8494685144842357,0.019733765432076278,-0.8591483934369022,-0.8500766583188069,0.005657025265235056,0.37530202046231753,0.3871993565092705,0.011897336046952978,1201,1201,401,400,-74.1400028898377,-78.46449106571706,-1.8032995473810511,-0.00254444485662475,0.0054844903356610075,0.010688466168730315
6.3625,-0.636084907843633,-0.622590193213103,0.00565849740314784,0.6032537543657454,0.6143368837917002,0.011083129425954796,-0.8585518318267331,-0.8501926847579164,0.005657994576298248,0.37609595607140855,0.38704949973108554,0.01095354365967699,1201,1201,401,400,47.05504473896568,49.7836214637651,1.1752703878270896,-0.002311230525066321,0.005094334864196526,0.009860782856662809
6.4406779661016955,-0.6213162921308314,-0.6077004624907112,0.005659319724190868,0.6153728202229675,0.6263381973896281,0.010965377166660684,-0.8580337943694815,-0.85026335818085,0.0056588703775476805,0.37678403048765025,0.3869581913064382,0.01017416081878797,1201,1201,401,400,108.76713034449222,112.63769032712526,1.5040175185474212,-0.0021600992408821185,0.004841342181407526,0.009323695053080172
6.45,-0.5751957889539088,-0.5599869521684717,0.005659533005137232,0.6517700599491291,0.6633347931712373,0.01156473322210827,-0.8579729039380426,-0.8502698108760007,0.005658975424564715,0.3768648246546199,0.3869498535004236,0.0100850288458037,1201,1201,401,400,-39.12656243791501,-39.490694855659584,-0.038419637504287785,-0.002018426236617188,0.004603869466507149,0.008819371605271353
6.5375,-0.3080306843108277,-0.27941175499074744,0.005661812980483717,0.8318469304440405,0.8488746933495265,0.01702776290548602,-0.8574099141874223,-0.8503108763938776,0.005659967793219295,0.37761102448495554,0.3868967867611754,0.009285762276219856,1201,1201,401,400,-75.14053654925947,-79.13747344284727,-1.7418451884117003,-0.001878531776256409,0.0043689420100321286,0.008320415954553573
6.625,-0.6161603126230133,-0.6047328388598214,0.005661534803403374,0.6195479701984236,0.6287027605635103,0.009154790365086707,-0.8568613069457136,-0.85031849219949,0.005660971666126913,0.37833674557764857,0.3868869444689366,0.008550198891288052,1201,1201,401,400,42.91054485849011,45.190426294099254,1.0248927857851757,-0.0016922155451624121,0.004055237932945488,0.007654323900505355
6.7125,-0.5957560818623813,-0.5840647214146952,0.005662503372352093,0.6358017915495511,0.6449304447654063,0.00912865321585521,-0.8563256557292727,-0.8502950600896784,0.005661987023456929,0.3790439872504606,0.3869172261741801,0.007873238923719494,1201,1201,401,400,35.150571211585614,36.80785864838128,0.7264516224436492,-0.0015214609796601053,0.003766501153165791,0.007041714793936338
6.8,-0.3062302902630488,-0.281586436192902,0.005664900318204611,0.8329283941233792,0.847592805424337,0.014664411300957858,-0.8558016531984571,-0.8502427907054126,0.005663013851954944,0.3797345741456035,0.38698476623064554,0.007250192085042018,1201,1201,401,400,,,,,,
