combo_id,placement,peak72,width72,peak96,width96,d21_p95_abs_delta_base,d21_p95_abs_delta_parent,d21_p95_abs_delta_guard,d21_max_abs_delta_parent,d21_max_abs_delta_guard,d21_mean_abs_improvement_vs_parent,d21_improved_fraction_vs_parent,d21_worsened_fraction_vs_parent,d21_acceptance_flip_fraction_vs_base,d60_p95_base,d60_p95_cf,worst_point_D,worst_point_eta,worst_point_improvement_vs_parent,targets_p95_parent,targets_p95_guard,targets_flip_guard,all_p95_parent,all_p95_guard,all_flip_guard,preserves_d60,beats_parent_complement,does_not_worsen_targets,better_allpoints,joint_objective
1051,mu_linear_blend,1.0,0.02,0.3,0.02,0.7569947064696276,1.4133075773935053,0.7569947064696276,1.4133094452907198,0.7569954035549338,0.04440776138294648,0.12601626016260162,0.009485094850948509,0.0,31.28593012120719,18.575780513798115,12.0,3.43,-3.469446951953614e-18,0.8910235355256485,0.8910235355256485,0.0,0.9136772062234826,0.8785726023179126,0.0,True,True,True,True,0.7569947064696276
1052,mu_linear_blend,1.0,0.02,0.3,0.05,0.7569947064696276,1.4133075773935053,0.7569947064696276,1.4133094452907198,0.7569954035549338,0.04440776138294648,0.12601626016260162,0.009485094850948509,0.0,31.28593012120719,18.575780513798115,12.0,3.43,-3.469446951953614e-18,0.8910235355256485,0.8910235355256485,0.0,0.9136772062234826,0.8785726023179126,0.0,True,True,True,True,0.7569947064696276
1053,mu_linear_blend,1.0,0.02,0.3,0.1,0.7569947064696276,1.4133075773935053,0.7569947064696276,1.4133094452907198,0.7569954035549338,0.04440776138294656,0.23712737127371275,0.009485094850948509,0.0,31.28593012120719,18.575780513798115,12.0,3.43,-3.469446951953614e-18,0.8910235355256485,0.8910235355256485,0.0,0.9136772062234826,0.8785726023179126,0.0,True,True,True,True,0.7569947064696276
1054,mu_linear_blend,1.0,0.02,0.3,0.2,0.7569947064696276,1.4133075773935053,0.7569947064696276,1.4133094452907198,0.7569954035549338,0.04441024574617097,0.23712737127371275,0.009485094850948509,0.0,31.28593012120719,18.575780513798115,12.0,3.43,-3.469446951953614e-18,0.8910235355256485,0.8910235355256485,0.0,0.9136772062234826,0.8785726023179103,0.0,True,True,True,True,0.7569947064696276
1055,mu_linear_blend,1.0,0.02,0.3,0.4,0.7569947064696276,1.4133075773935053,0.7569947064696276,1.4133094452907198,0.7569954035549338,0.04541002765544688,0.3902439024390244,0.006775067750677507,0.0,31.28593012120719,18.575780513798115,16.8,1.34,-5.293955920339377e-23,0.8910235355256485,0.8910235355256485,0.0,0.9136772062234826,0.8785166558559694,0.0,True,True,True,True,0.7569947064696276
1086,mu_linear_blend,1.0,0.05,0.3,0.02,0.7569947064696276,1.4133075773935053,0.7569947064696276,1.4133094452907198,0.7569954035549338,0.04440776138294648,0.12601626016260162,0.009485094850948509,0.0,31.28593012120719,18.575780513798115,12.0,3.43,-3.469446951953614e-18,0.8910235355256485,0.8910235355256485,0.0,0.9136772062234826,0.8785726023179126,0.0,True,True,True,True,0.7569947064696276
1087,mu_linear_blend,1.0,0.05,0.3,0.05,0.7569947064696276,1.4133075773935053,0.7569947064696276,1.4133094452907198,0.7569954035549338,0.04440776138294648,0.12601626016260162,0.009485094850948509,0.0,31.28593012120719,18.575780513798115,12.0,3.43,-3.469446951953614e-18,0.8910235355256485,0.8910235355256485,0.0,0.9136772062234826,0.8785726023179126,0.0,True,True,True,True,0.7569947064696276
1088,mu_linear_blend,1.0,0.05,0.3,0.1,0.7569947064696276,1.4133075773935053,0.7569947064696276,1.4133094452907198,0.7569954035549338,0.04440776138294656,0.23712737127371275,0.009485094850948509,0.0,31.28593012120719,18.575780513798115,12.0,3.43,-3.469446951953614e-18,0.8910235355256485,0.8910235355256485,0.0,0.9136772062234826,0.8785726023179126,0.0,True,True,True,True,0.7569947064696276
1089,mu_linear_blend,1.0,0.05,0.3,0.2,0.7569947064696276,1.4133075773935053,0.7569947064696276,1.4133094452907198,0.7569954035549338,0.04441024574617097,0.23712737127371275,0.009485094850948509,0.0,31.28593012120719,18.575780513798115,12.0,3.43,-3.469446951953614e-18,0.8910235355256485,0.8910235355256485,0.0,0.9136772062234826,0.8785726023179103,0.0,True,True,True,True,0.7569947064696276
1090,mu_linear_blend,1.0,0.05,0.3,0.4,0.7569947064696276,1.4133075773935053,0.7569947064696276,1.4133094452907198,0.7569954035549338,0.04541002765544688,0.3902439024390244,0.006775067750677507,0.0,31.28593012120719,18.575780513798115,16.8,1.34,-5.293955920339377e-23,0.8910235355256485,0.8910235355256485,0.0,0.9136772062234826,0.8785166558559694,0.0,True,True,True,True,0.7569947064696276
1121,mu_linear_blend,1.0,0.1,0.3,0.02,0.7569947064696276,1.4133075773935053,0.7569947064696276,1.4133094452907198,0.7569954035549338,0.04440776138294648,0.12601626016260162,0.009485094850948509,0.0,31.28593012120719,18.575780513798115,12.0,3.43,-3.469446951953614e-18,0.8910235355256485,0.8910235355256485,0.0,0.9136772062234826,0.8785726023179055,0.0,True,True,True,True,0.7569947064696276
1122,mu_linear_blend,1.0,0.1,0.3,0.05,0.7569947064696276,1.4133075773935053,0.7569947064696276,1.4133094452907198,0.7569954035549338,0.04440776138294648,0.12601626016260162,0.009485094850948509,0.0,31.28593012120719,18.575780513798115,12.0,3.43,-3.469446951953614e-18,0.8910235355256485,0.8910235355256485,0.0,0.9136772062234826,0.8785726023179055,0.0,True,True,True,True,0.7569947064696276
1123,mu_linear_blend,1.0,0.1,0.3,0.1,0.7569947064696276,1.4133075773935053,0.7569947064696276,1.4133094452907198,0.7569954035549338,0.04440776138294656,0.23712737127371275,0.009485094850948509,0.0,31.28593012120719,18.575780513798115,12.0,3.43,-3.469446951953614e-18,0.8910235355256485,0.8910235355256485,0.0,0.9136772062234826,0.8785726023179055,0.0,True,True,True,True,0.7569947064696276
1124,mu_linear_blend,1.0,0.1,0.3,0.2,0.7569947064696276,1.4133075773935053,0.7569947064696276,1.4133094452907198,0.7569954035549338,0.04441024574617097,0.23712737127371275,0.009485094850948509,0.0,31.28593012120719,18.575780513798115,12.0,3.43,-3.469446951953614e-18,0.8910235355256485,0.8910235355256485,0.0,0.9136772062234826,0.8785726023179035,0.0,True,True,True,True,0.7569947064696276
1125,mu_linear_blend,1.0,0.1,0.3,0.4,0.7569947064696276,1.4133075773935053,0.7569947064696276,1.4133094452907198,0.7569954035549338,0.04541002765544688,0.3902439024390244,0.006775067750677507,0.0,31.28593012120719,18.575780513798115,16.8,1.34,-5.293955920339377e-23,0.8910235355256485,0.8910235355256485,0.0,0.9136772062234826,0.8785166558559623,0.0,True,True,True,True,0.7569947064696276
