grid,beta_peak,center_D,sigma_D,D,eta,delta_mu,abs_delta_mu,acceptance_mismatch
D21,0.2,6.35,0.03,5.6,0.2,-14.058595729475066,14.058595729475066,0.0
D21,0.2,6.35,0.03,5.6,0.39,-14.059295408489888,14.059295408489888,0.0
D21,0.2,6.35,0.03,5.6,0.5800000000000001,-14.05999486745953,14.05999486745953,0.0
D21,0.2,6.35,0.03,5.6,0.77,-14.06069448586829,14.06069448586829,0.0
D21,0.2,6.35,0.03,5.6,0.96,-14.061393928822277,14.061393928822277,0.0
D21,0.2,6.35,0.03,5.6,1.15,-14.062093737795358,14.062093737795358,0.0
D21,0.2,6.35,0.03,5.6,1.34,-14.062793482989129,14.062793482989129,0.0
D21,0.2,6.35,0.03,5.6,1.53,-14.06349300804716,14.06349300804716,0.0
D21,0.2,6.35,0.03,5.6,1.72,-14.064192312910272,14.064192312910272,0.0
D21,0.2,6.35,0.03,5.6,1.91,-14.064891397524327,14.064891397524327,0.0
D21,0.2,6.35,0.03,5.6,2.1,-14.065591099372732,14.065591099372732,0.0
D21,0.2,6.35,0.03,5.6,2.29,-14.066291334904562,14.066291334904562,0.0
D21,0.2,6.35,0.03,5.6,2.4800000000000004,-14.066991350367694,14.066991350367694,0.0
D21,0.2,6.35,0.03,5.6,2.6700000000000004,-14.067691145690368,14.067691145690368,0.0
D21,0.2,6.35,0.03,5.6,2.8600000000000003,-14.068390720819416,14.068390720819416,0.0
D21,0.2,6.35,0.03,5.6,3.0500000000000003,-14.069090075699755,14.069090075699755,0.0
D21,0.2,6.35,0.03,5.6,3.24,-14.069789210264759,14.069789210264759,0.0
D21,0.2,6.35,0.03,5.6,3.43,-14.070488124460617,14.070488124460617,0.0
D21,0.2,6.35,0.03,5.6,3.62,-14.071186818224184,14.071186818224184,0.0
D21,0.2,6.35,0.03,5.6,3.81,-14.0718852915032,14.0718852915032,0.0
D21,0.2,6.35,0.03,5.6,4.0,-14.072583544233808,14.072583544233808,0.0
D21,0.2,6.35,0.03,6.4,0.2,-1.5599249528955568,1.5599249528955568,0.0
D21,0.2,6.35,0.03,6.4,0.39,-1.5599162486280775,1.5599162486280775,0.0
D21,0.2,6.35,0.03,6.4,0.5800000000000001,-1.55990754263523,1.55990754263523,0.0
D21,0.2,6.35,0.03,6.4,0.77,-1.55989883800747,1.55989883800747,0.0
D21,0.2,6.35,0.03,6.4,0.96,-1.5598901318470482,1.5598901318470482,0.0
D21,0.2,6.35,0.03,6.4,1.15,-1.5598814288652179,1.5598814288652179,0.0
D21,0.2,6.35,0.03,6.4,1.34,-1.5598727255180265,1.5598727255180265,0.0
D21,0.2,6.35,0.03,6.4,1.53,-1.5598640203362564,1.5598640203362564,0.0
D21,0.2,6.35,0.03,6.4,1.72,-1.5598553134176711,1.5598553134176711,0.0
D21,0.2,6.35,0.03,6.4,1.91,-1.5598466047009936,1.5598466047009936,0.0
D21,0.2,6.35,0.03,6.4,2.1,-1.5598379012027976,1.5598379012027976,0.0
D21,0.2,6.35,0.03,6.4,2.29,-1.5598292021621418,1.5598292021621418,0.0
D21,0.2,6.35,0.03,6.4,2.4800000000000004,-1.5598205013915063,1.5598205013915063,0.0
D21,0.2,6.35,0.03,6.4,2.6700000000000004,-1.5598117988282283,1.5598117988282283,0.0
D21,0.2,6.35,0.03,6.4,2.8600000000000003,-1.5598030945149048,1.5598030945149048,0.0
D21,0.2,6.35,0.03,6.4,3.0500000000000003,-1.5597943884460221,1.5597943884460221,0.0
D21,0.2,6.35,0.03,6.4,3.24,-1.559785680617864,1.559785680617864,0.0
D21,0.2,6.35,0.03,6.4,3.43,-1.5597769709946903,1.5597769709946903,0.0
D21,0.2,6.35,0.03,6.4,3.62,-1.5597682596634286,1.5597682596634286,0.0
D21,0.2,6.35,0.03,6.4,3.81,-1.5597595465348064,1.5597595465348064,0.0
D21,0.2,6.35,0.03,6.4,4.0,-1.5597508316466175,1.5597508316466175,0.0
D21,0.2,6.35,0.03,7.2,0.2,-0.7570342111131407,0.7570342111131407,0.0
D21,0.2,6.35,0.03,7.2,0.39,-0.7570342489725594,0.7570342489725594,0.0
D21,0.2,6.35,0.03,7.2,0.5800000000000001,-0.7570342867961406,0.7570342867961406,0.0
D21,0.2,6.35,0.03,7.2,0.77,-0.7570343246077327,0.7570343246077327,0.0
D21,0.2,6.35,0.03,7.2,0.96,-0.7570343624056277,0.7570343624056277,0.0
D21,0.2,6.35,0.03,7.2,1.15,-0.7570344002578375,0.7570344002578375,0.0
D21,0.2,6.35,0.03,7.2,1.34,-0.7570344380964973,0.7570344380964973,0.0
D21,0.2,6.35,0.03,7.2,1.53,-0.7570344758955265,0.7570344758955265,0.0
