mode,D,eta,B1,B2,B3,W1,W2,W3,log_B_sum_ratio,log_B2_ratio,share_l1,w_share_l1,argmax_B_mismatch,argmax_W_mismatch,delta_mu2,acceptance_mismatch
cell_direct_runtime,4.0,0.2,1.9331165831267465,1.9537573358119125,1.0,0.17283902796066752,1.5670743814987056,0.36474937099472876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,4.0,0.2,0.36633155054415156,0.7673417358612442,1.0,0.0327535285041957,0.615471304486846,0.36474937099472876,-0.8287077766746024,-0.9345773856120406,0.5280910437280788,0.3735445515727077,1.0,0.0,-0.0238648039715752,0.0
release_sumanchor,4.0,0.2,0.8139680110090749,0.8226591125111486,0.42106514326887545,0.07277649006886733,0.6598403989546378,0.15358324615512764,-0.8649677226770233,-0.8649677226707274,1.0153378138255675e-11,3.0608016121647097e-12,0.0,0.0,-1.4833306021507529,1.0
release_eftsumanchor,4.0,0.2,1.849592558419523,1.8693414876713939,0.9567930742566731,0.16537118490983133,1.4993659150537064,0.34898967200723435,-0.04416813426858837,-0.04416813426229238,1.015335038268006e-11,3.0607322232256706e-12,0.0,0.0,-1.4833306021507529,1.0
release_fullsumanchor,4.0,0.2,1.9331165831019377,1.9537573358242133,1.0000000000125084,0.17283902795844938,1.567074381508572,0.36474937099929117,0.0,6.296074772629443e-12,1.015335038268006e-11,3.0608293677403253e-12,0.0,0.0,-1.4833306021507529,1.0
tailm2_detlin,4.0,0.2,1.9331165830777577,2.131575825270784,1.0,0.17283902795628744,1.709699463068519,0.36474937099472876,0.03574058832209365,0.08710717277651545,0.04214557939084815,0.032421608902984345,0.0,0.0,-0.4433127826324137,1.0
cell_direct_runtime,4.0,0.6,1.9331165831267465,1.9537573358119125,1.0,0.5175730715245829,4.624999076527793,1.059603410186036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,4.0,0.6,0.36633155054415156,0.7673417358612442,1.0,0.09808169226132389,1.816476772569439,1.059603410186036,-0.8287077766746024,-0.9345773856120406,0.5280910437280788,0.3708515107873738,1.0,0.0,-0.0246298529120592,0.0
release_sumanchor,4.0,0.6,0.8139680110090749,0.8226591125111486,0.42106514326887545,0.21793197950808757,1.947425898764494,0.4461620617181723,-0.8649677226770233,-0.8649677226707274,1.0153378138255675e-11,3.103475809673739e-12,0.0,0.0,-1.530914168253215,1.0
release_eftsumanchor,4.0,0.6,1.849592558419523,1.8693414876713939,0.9567930742566731,0.495210330243925,4.425167084837811,1.0138212043247523,-0.04416813426858837,-0.04416813426229238,1.015335038268006e-11,3.103642343127433e-12,0.0,0.0,-1.530914168253215,1.0
release_fullsumanchor,4.0,0.6,1.9331165831019377,1.9537573358242133,1.0000000000125084,0.5175730715179406,4.624999076556912,1.0596034101992902,0.0,6.296074772629443e-12,1.015335038268006e-11,3.103628465339625e-12,0.0,0.0,-1.530914168253215,1.0
tailm2_detlin,4.0,0.6,1.9331165830777577,2.131575825270784,1.0,0.5175730715114666,5.045936894373572,1.059603410186036,0.03574058832209365,0.08710717277651545,0.04214557939084815,0.03232376857978668,0.0,0.0,-0.4599773030273395,1.0
cell_direct_runtime,4.0,1.0,1.9331165831267465,1.9537573358119125,1.0,0.8610522506301399,7.584034319235385,1.7106954742490839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,4.0,1.0,0.36633155054415156,0.7673417358612442,1.0,0.16317205533598647,2.978643228963198,1.7106954742490839,-0.8287077766746024,-0.9345773856120406,0.5280910437280788,0.3681854882430784,1.0,0.0,-0.0254060494065955,0.0
