D,blend_metric,blend_beta,operator_b1,operator_b2,direct_b1,direct_b2,slice_p95_abs_delta_mu_mumu,slice_max_abs_delta_mu_mumu,slice_acceptance_mismatch,slice_mu_mumu_combo_p95,slice_mu_mumu_full_p95
4.0,0.035786931185379914,0.0,0.33473164842032993,0.7492407156640176,0.32296444189057383,0.734727824898525,48.79755568600224,49.225322266982054,0.6097560975609756,51.20086588200336,2.4033101960011223
4.8,0.04486799188937018,0.0,0.20181353399537588,0.8592327150599935,0.19358931300846818,0.8215327537348543,94.86837476423258,94.91652857147065,0.0,106.3779656689141,11.695159426369685
5.6,0.044599681168424866,0.0,0.21391927445301628,0.8510142418060579,0.20510601515858473,0.8138932237484583,34.65634351489385,34.66116542490973,0.0,87.61190772416057,53.00513221836765
6.4,0.04525467639039381,0.0,0.22678406201766604,0.8530986116694842,0.2171514357431174,0.8153524470490765,9.985430164505331,9.98569946539893,0.0,67.7830873629883,57.80033730255307
7.2,0.5802392627062121,0.0,0.4251028395788106,1.102271311558529,0.2379574443487164,0.6471186195145368,1.3540378744370045,1.3540378758796279,1.0,2.1304216847407114,3.484459559177716
8.0,0.5788165662617071,0.0,0.359989935185423,1.0946937269625192,0.20179644816153436,0.6252207870313579,0.3081281529047075,0.3081281529296973,1.0,2.0106425504969736,2.318770703002571
8.8,0.10215588795528953,0.0,0.23529681347661632,0.7636199077450786,0.21244685549551784,0.6906595343618458,0.36920544396925536,0.36920544457482896,0.0,1.214565554346593,1.5837709985442885
9.600000000000001,0.03328835192065175,0.0,0.19715149241221244,0.7478671589176386,0.19080500659883512,0.7233816951256217,,,,,
10.4,0.03700427633003445,0.0,0.2181633062192759,0.7926517317954235,0.2102564750163192,0.7638562910657642,0.12546573157547414,0.12546573331663008,0.0,0.3684719788872193,0.4939377104626934
11.2,0.04196832505686022,0.0,0.24034786579636677,0.8420497000984942,0.23046960533325744,0.8077274649667874,0.03775882368593751,0.0377588240961947,0.0,0.1131046486024251,0.1508634722883626
12.0,0.03971075225792977,0.0,0.23734507906434857,0.8052660220357514,0.22810461460334755,0.7745202996570674,0.006763987091746304,0.006763989869658902,0.0,0.0308284837797332,0.0375924708714795
12.8,0.0315800943462699,0.0,0.3675945151474707,0.6579950743711885,0.3561672326957753,0.6459088892816159,0.0019053585581887,0.0019053956887733,0.0,0.0004325786277979,0.0023379371859866
13.600000000000001,0.03239543435012751,0.0,0.3683847057615312,0.6589306169957847,0.3566419558998635,0.6463578360524175,,,,,
14.4,0.03220679089985735,0.0,0.42467212255048536,0.6320439378491584,0.4112127020781504,0.6285658455284951,2.198979216947074e-05,2.1990883425759258e-05,0.0,2.166830435999108e-05,4.365809652946182e-05
15.200000000000001,0.038946588655470044,0.0,0.5326453693897679,0.7312603518379746,0.5122994236044307,0.7246713046991988,,,,,
16.0,0.0390670793820846,0.0,0.5212670021578351,0.7238157842764208,0.5012952812743385,0.7167697103487372,1.3125180781494044e-06,1.3146282292563847e-06,0.0,4.478205632653613e-07,1.7603386414147658e-06
16.8,0.04162762012799668,0.0,0.5358818195009928,0.7518584542736798,0.5140322623105724,0.7422230652810433,3.090253623648832e-07,3.6271946054842187e-07,0.0,4.4930657476538665e-08,3.539560198414218e-07
17.6,0.45941588605044903,0.0,0.43359814731709984,0.7156993050807939,0.2738833514956342,0.5954763264482106,9.83383889984458e-09,9.83383889984458e-09,0.0,4.493065747653961e-08,5.476449637638419e-08
18.4,0.7422223836830136,0.0,0.7001995557067692,0.8767504207562444,0.3333333333333333,0.6666666666666666,9.83383889984458e-09,9.83383889984458e-09,0.0,4.493065747653961e-08,5.476449637638419e-08
19.200000000000003,0.7422223836830136,0.0,0.7001995557067692,0.8767504207562444,0.3333333333333333,0.6666666666666666,9.83383889984458e-09,9.83383889984458e-09,0.0,4.493065747653961e-08,5.476449637638419e-08
20.0,0.7422223836830136,0.0,0.7001995557067692,0.8767504207562444,0.3333333333333333,0.6666666666666666,9.83383889984458e-09,9.83383889984458e-09,0.0,4.493065747653961e-08,5.476449637638419e-08
