D,n_inner,eta_power,xi_power,uniform_omega1,uniform_omega2,uniform_delta_omega12,exact_omega1,exact_omega2,exact_delta_omega12,prolate_E1,prolate_E2,prolate_omega1,prolate_omega2,prolate_delta_omega12,uniform_rel_omega1_vs_exact,uniform_rel_omega2_vs_exact,uniform_rel_delta_vs_exact,prolate_rel_omega1_vs_exact,prolate_rel_omega2_vs_exact,prolate_rel_delta_vs_exact
6.0,241,0.75,0.75,0.830542721665029,0.8539665820249592,0.02342386035993027,0.721500223480184,0.7396293659720765,0.0181291424918924,-5.423117937830748,-5.423105848537492,0.0,0.0,0.0,0.15113300680473005,0.15458717746098705,0.29205561544930997,1.0,1.0,1.0
12.0,241,0.75,0.75,0.5120394767370777,0.5121162902709587,7.681353388100387e-05,0.7224184535018031,0.7226741019993743,0.0002556484975712,-5.243671335891529,-5.243671335875133,0.0,0.0,0.0,0.291214843343146,0.2913592878807741,0.6995345773170025,1.0,1.0,1.0
18.0,241,0.75,0.75,0.8331818635986599,0.8332064897769981,2.462617833820513e-05,0.720046264481841,0.7200499669852483,3.7025034073101537e-06,-5.03992432430999,-5.03992432430999,0.0,0.0,0.0,0.15712268044086508,0.15715093115762627,5.65122368006027,1.0,1.0,1.0
6.0,241,0.75,1.0,0.830542721665029,0.8539665820249592,0.02342386035993027,0.721500223480184,0.7396293659720765,0.0181291424918924,-0.7022927666375065,-0.6858706824142524,0.5456255431726904,0.5604724057308688,0.014846862558178353,0.15113300680473005,0.15458717746098705,0.29205561544930997,0.2437624751648106,0.24222532052353846,0.18104992749557386
12.0,241,0.75,1.0,0.5120394767370777,0.5121162902709587,7.681353388100387e-05,0.7224184535018031,0.7226741019993743,0.0002556484975712,-0.6799897421407766,-0.6798787266820907,0.5656944916288503,0.565792606277167,9.811464831666061e-05,0.291214843343146,0.2913592878807741,0.6995345773170025,0.21694346415607116,0.21708470704591978,0.6162126934098842
18.0,241,0.75,1.0,0.8331818635986599,0.8332064897769981,2.462617833820513e-05,0.720046264481841,0.7200499669852483,3.7025034073101537e-06,-0.6597184232907038,-0.6597175107632803,0.5833365895512609,0.5833373717127334,7.821614724790038e-07,0.15712268044086508,0.15715093115762627,5.65122368006027,0.18986234867694085,0.18986542815203786,0.7887479398574708
6.0,241,0.75,1.5,0.830542721665029,0.8539665820249592,0.02342386035993027,0.721500223480184,0.7396293659720765,0.0181291424918924,-0.4837615265771849,-0.4575444316889688,0.7184973718969437,0.7365158303193702,0.018018458422426442,0.15113300680473005,0.15458717746098705,0.29205561544930997,0.004161955167187542,0.004209589013024505,0.006105311904049323
12.0,241,0.75,1.5,0.5120394767370777,0.5121162902709587,7.681353388100387e-05,0.7224184535018031,0.7226741019993743,0.0002556484975712,-0.4827945037115262,-0.4824363880063619,0.7191700051368062,0.7194189405302296,0.00024893539342341064,0.291214843343146,0.2913592878807741,0.6995345773170025,0.004496629826177092,0.004504328382792314,0.026259118326794353
18.0,241,0.75,1.5,0.8331818635986599,0.8332064897769981,2.462617833820513e-05,0.720046264481841,0.7200499669852483,3.7025034073101537e-06,-0.4872080774972716,-0.48720306701755245,0.7160949116581743,0.7160984101242284,3.498466054074889e-06,0.15712268044086508,0.15715093115762627,5.65122368006027,0.005487637418006915,0.005487892566073606,0.05510794475770558
6.0,241,0.75,2.0,0.830542721665029,0.8539665820249592,0.02342386035993027,0.721500223480184,0.7396293659720765,0.0181291424918924,-0.48028909920952817,-0.45386162627044796,0.720909772988598,0.7390117547979544,0.018101981809356404,0.15113300680473005,0.15458717746098705,0.29205561544930997,0.0008183649462199105,0.0008350279241689613,0.0014981780052830075
12.0,241,0.75,2.0,0.5120394767370777,0.5121162902709587,7.681353388100387e-05,0.7224184535018031,0.7226741019993743,0.0002556484975712,-0.47940919723632003,-0.4790432035455542,0.7215197868136951,0.7217733691779199,0.0002535823642247914,0.291214843343146,0.2913592878807741,0.6995345773170025,0.0012439697293886534,0.0012463886819278872,0.008081930330269741
18.0,241,0.75,2.0,0.8331818635986599,0.8332064897769981,2.462617833820513e-05,0.720046264481841,0.7200499669852483,3.7025034073101537e-06,-0.4839993143445765,-0.483994130032043,0.7183318770982,0.7183354856666605,3.608568460489181e-06,0.15712268044086508,0.15715093115762627,5.65122368006027,0.00238094059813593,0.0023810588114684017,0.025370657765097337
