D,eta,mu_ee_full,mu_mumu_full,mu_tautau_full,chi2_mumu_full,mu_ee_rt,mu_mumu_rt,mu_tautau_rt,chi2_mumu_rt,surface,abs_delta_mu_mumu,rel_delta_mu_mumu,acceptance_full,acceptance_rt,acceptance_flip,boundary_proximity,grad_log_mu_rt,curv_log_mu_rt,risk_score,high_anchor_candidate
4.0,0.2,0.4619154339007767,2.408283091800887,15.83323226008736,6.353967457572223,0.4553293914140749,2.372936441357069,15.833534918925247,5.916283243253482,D21E41,0.03534665044381802,0.014677116060050146,False,False,0,0.38360510741716974,1.876562538592852,0.4053306585538825,0.388124029162458,False
4.8,0.2,3.3700793145040775,13.739247292265354,15.666775084530869,951.6063983729864,2.933315559073639,13.627857003977132,15.667661017890705,934.5030431857036,D21E41,0.11139028828822184,0.008107452025478143,False,False,0,8.786814846027831e-203,1.7921395994281535,0.6133198957134677,0.47702468374110857,False
5.6,0.2,13.310527686370456,57.971396100373646,14.70319397938534,20002.017854658567,13.901468044229643,58.334949649587166,14.68758642483726,20259.928072506413,D21E41,0.36355354921352045,0.006271257441929663,False,False,0,0.0,0.8944381313997015,2.148259878716649,0.8888990030637048,True
6.4,0.2,22.60734042227677,59.87715710517647,11.918133006149652,21372.361894396818,22.43975963916818,60.19274710368821,11.97527889411466,21603.669449988993,D21E41,0.3155899985117401,0.005270624287612627,False,False,0,0.0,1.6450814007116148,1.6958962145156125,0.8760661817430667,True
7.2,0.2,21.98206796576328,3.531394482587157,9.038966010428362,28.39276525251859,21.438040171745747,3.2676710695750155,9.050345958043936,21.80122015079677,D21E41,0.2637234130121415,0.07467968087749105,False,False,0,0.000136305744329625,1.818995850868674,0.8329345176132336,0.7414756011383824,False
8.0,0.2,19.796659626464912,2.324543270099281,6.958397299562735,5.3423766142867,19.336572592210345,2.3322085411558175,6.9666753876014464,5.43132977627411,D21E41,0.007665271056536582,0.0032975385552660415,False,False,0,0.5111008719703368,0.3123861744070224,0.9374629887441879,0.1891200803623834,False
8.8,0.2,3.580931945449836,1.5836905358878322,2.791094243687092,0.2108888310922436,3.4706864586462234,1.588944807417972,2.7791286927842633,0.2231258765638409,D21E41,0.005254271530139798,0.003317738794968679,True,True,0,0.15130810936318745,0.3190550802817629,0.02062417369460792,0.06912923844465363,False
9.6,0.2,1.0000000096721848,1.0000000014340404,0.9999999804639136,0.9999999928297972,1.0000000096721853,1.0000000014340404,0.9999999804639136,0.9999999928297972,D21E41,0.0,0.0,True,True,0,0.2231301593484856,0.34538456846115767,0.016600330041217082,0.07125061821770404,False
10.4,0.2,0.4787831410095424,0.4950549751909506,0.297817958467945,5.1182843620415674,0.4765913276034229,0.4897898546993299,0.2935395538274145,5.178015678801666,D21E41,0.005265120491620701,0.010635425872833336,False,False,0,0.5716992680480578,0.3456147974123449,0.07468575519281208,0.11961845476921443,False
11.2,0.2,0.1835037358334022,0.1519898999467061,0.0430227296627669,9.734557561468954,0.1824277692712454,0.1504618902311912,0.0428314753672346,9.758409298528797,D21E41,0.0015280097155148942,0.01005336351988308,False,False,0,0.0568534269104886,0.22588997732005422,0.16215069021997097,0.0534966192087206,False
12.0,0.2,0.0557325850766259,0.0381608684312153,0.0160752428422824,11.59128637670013,0.0555219048959028,0.0379121104910024,0.0160892237842391,11.595521367169216,D21E41,0.0002487579402129028,0.006518665597489933,False,False,0,0.022468449723132444,0.08619660881096729,0.12671936531189132,0.025697935654058587,False
12.8,0.2,0.0043286411506348,0.0023615110031041,0.0028804061098505,12.208708412034536,0.0041693444249666,0.0022514620625185,0.0029423336145261,12.210631095664793,D21E41,0.00011004894058560004,0.04660107043369506,False,False,0,0.016500671432623407,0.023147351528980478,0.05302244697211767,0.009696397608793072,False
13.6,0.2,0.0004420242665363,0.0001778917797778,0.0005485425715862,12.246887091638166,0.0004380339623263,0.0001753621676513,0.0005486572726399,12.24693135426541,D21E41,2.5296121265000167e-06,0.01421994950896376,False,False,0,0.016188671915491264,0.0013786706252842621,0.014415292792207575,0.0030876149506607227,False
