combo_id,peak,center_D,width_D,region,D,eta,gaussian,residual_frac,mu_full,mu_base,mu_runtime,mu_guard,chi2_base,chi2_runtime,chi2_guard,abs_delta_base,abs_delta_runtime,abs_delta_guard,abs_improvement_vs_base,abs_improvement_vs_runtime,guard_shift_vs_runtime,guard_shift_vs_base,improved_vs_base,improved_vs_runtime,acceptance_flip_vs_base
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,0.2,0.0,1.0,11.04256012523663,19.843547917856863,20.61645507839176,20.61645507839176,2126.027873739264,2307.950911124053,2307.950911124053,8.800987792620234,9.57389495315513,9.57389495315513,-0.7729071605348956,0.0,0.0,0.7729071605348956,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,0.39,0.0,1.0,11.052161669693014,19.861021470449572,20.63461006550438,20.63461006550438,2130.0582108275003,2312.3139023250146,2312.3139023250146,8.808859800756558,9.582448395811365,9.582448395811365,-0.7735885950548074,0.0,0.0,0.7735885950548074,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,0.5800000000000001,0.0,1.0,11.061764893323978,19.87851191256123,20.652782601891175,20.652782601891175,2134.096265641671,2316.6852369730223,2316.6852369730223,8.816747019237251,9.591017708567197,9.591017708567197,-0.7742706893299456,0.0,0.0,0.7742706893299456,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,0.77,0.0,1.0,11.07136978607142,19.895993426829776,20.670945864602228,20.670945864602228,2138.136080283314,2321.058465727686,2321.058465727686,8.824623640758356,9.599576078530808,9.599576078530808,-0.7749524377724519,0.0,0.0,0.7749524377724519,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,0.96,0.0,1.0,11.080976337871572,19.913488776565693,20.689123503583424,20.689123503583424,2142.1829167501496,2325.439284603091,2325.439284603091,8.83251243869412,9.608147165711852,9.608147165711852,-0.7756347270177315,0.0,0.0,0.7756347270177315,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,1.15,0.0,1.0,11.090584538655236,19.930961071162425,20.707277191331965,20.707277191331965,2146.228238880858,2329.818453393297,2329.818453393297,8.84037653250719,9.61669265267673,9.61669265267673,-0.7763161201695397,0.0,0.0,0.7763161201695397,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,1.34,0.0,1.0,11.100194378347563,19.9484395089474,20.72543726345679,20.72543726345679,2150.278801356755,2334.203283898777,2334.203283898777,8.848245130599835,9.625242885109227,9.625242885109227,-0.7769977545093916,0.0,0.0,0.7769977545093916,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,1.53,0.0,1.0,11.10980584686784,19.965934769182383,20.743614815182024,20.743614815182024,2154.3370865845955,2338.5964632383093,2338.5964632383093,8.856128922314543,9.633808968314185,9.633808968314185,-0.7776800459996416,0.0,0.0,0.7776800459996416,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,1.72,0.0,1.0,11.119418934130268,19.98344689106172,20.761809887231507,20.761809887231507,2158.403114705696,2342.9980131830985,2342.9980131830985,8.864027956931453,9.64239095310124,9.64239095310124,-0.7783629961697862,0.0,0.0,0.7783629961697862,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,1.91,0.0,1.0,11.129033630043503,20.00097591391144,20.78002252046588,20.78002252046588,2162.4769059369596,2347.4079555860294,2347.4079555860294,8.871942283867936,9.650988890422378,9.650988890422378,-0.7790466065544415,0.0,0.0,0.7790466065544415,0.0,0.0,0.0
