alpha,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu,mean_signed_delta_mu_mumu,min_signed_delta_mu_mumu,max_signed_delta_mu_mumu,delta_p95_vs_v10,delta_max_vs_v10
0.01,4.061357562495921,4.061525295486916,4.0598480259533964,4.0581708184756025,4.061525295486916,1.1092268482742966,1.1092280513295236
0.015,3.503710452929951,3.5038775805098155,3.5022063649870283,3.500535211424925,3.5038775805098155,0.5515797387083268,0.5515803363524228
0.02,2.9521307142216244,2.9522972441573927,2.9506320049744295,2.948966827656534,2.9522972441573927,0.0,0.0
0.025,2.406552331523038,2.4067182714844506,2.405058931943837,2.4033996541721763,2.4067182714844506,-0.5455783826985865,-0.5455789726729421
0.03,1.8669100082479986,1.8670753658086028,1.8654218501744038,1.863768396212528,1.8670753658086028,-1.0852207059736259,-1.08522187834879
