D,uniform_axis_E1,uniform_axis_E2,uniform_axis_E3,uniform_axis_omega1,uniform_axis_omega2,uniform_axis_delta_omega12,prolate_axis_E1,prolate_axis_E2,prolate_axis_E3,prolate_axis_omega1,prolate_axis_omega2,prolate_axis_delta_omega12,uniform_axis_n_total,prolate_axis_n_total,prolate_axis_n_inner,prolate_axis_n_outer_each,prolate_axis_eta_power,prolate_axis_xi_power,uniform_axis_E1_d2,uniform_axis_E2_d2,uniform_axis_delta_omega12_d2,prolate_axis_E1_d2,prolate_axis_E2_d2,prolate_axis_delta_omega12_d2
5.4,-0.4960330040063901,-0.4552189719199922,0.005648707310340758,0.7099063290277176,0.738092831614024,0.028186502586306394,-0.4845210035688443,-0.4437216513092568,0.005648766393764781,0.717968659783389,0.7458406992721323,0.027872039488743283,1201,1201,401,400,0.75,2.0,,,,,,
5.487500000000001,-0.3326073091372529,-0.28152092672790074,0.005650398765970014,0.8169410571532973,0.8476314489635807,0.030690391810283324,-0.4838126014480127,-0.44552832172857254,0.005649626075318374,0.7184618281801667,0.7446285505347129,0.0261667223545462,1201,1201,401,400,0.75,2.0,-67.88081388685544,-72.82204210415115,-1.631077372612907,-0.006684065598470568,0.013950016299276058,0.013816557970743215
5.575,-0.6888940955893504,-0.6653666413957143,0.005650049498577169,0.5577686836051747,0.5784750285053675,0.02070634490019274,-0.48315537420441923,-0.4472281873355969,0.005650498479477932,0.7189190676255435,0.7434862558678561,0.024567188242312632,1201,1201,401,400,0.75,2.0,60.38985196342685,64.88106563965849,1.5519597726946914,-0.006337592311155049,0.01312776685468009,0.013051060455757657
5.627118644067797,-0.6813928866324663,-0.6579399932543442,0.005650527277421126,0.564452932818613,0.5848589631232951,0.020406030304682132,-0.4827869607749684,-0.44819293444814057,0.005651022396485322,0.7191752493134281,0.7428371729739024,0.02366192366047426,1201,1201,401,400,0.75,2.0,104.36424197663518,110.07200997646578,1.6570839574609622,-0.006081683639138191,0.012530281584133718,0.012490905311221212
5.6625000000000005,-0.5147516103545122,-0.4825140834758261,0.0056512555184478645,0.6965977244044713,0.7193649397379427,0.02276721533347137,-0.48254627302214137,-0.4488284683455971,0.005651381127192519,0.7193425658042617,0.7424092750325813,0.02306670922831955,1201,1201,401,400,0.75,2.0,-41.13694148093049,-42.94805561874117,-0.39834307359941956,-0.005837731402550617,0.01196574152598373,0.011959195354776853
5.75,-0.3237933911800731,-0.2795676492749751,0.005653108294039453,0.8223178271325066,0.8487828642974744,0.026465037164967842,-0.48198242322853024,-0.4503358493880609,0.005652276202579828,0.7197343793174463,0.7413933845212939,0.02165900520384756,1201,1201,401,400,0.75,2.0,-70.50600876386075,-75.31858056082157,-1.7607349713999279,-0.005556065429516366,0.011324978951329001,0.011351385990678864
5.8375,-0.6726468016039424,-0.6532790974929139,0.005652754565577063,0.5721478815796294,0.588830113451313,0.016682231871683606,-0.4814611120608637,-0.4517565235604286,0.005653183165631414,0.7200964434984638,0.7404346537268305,0.020338210228366682,1201,1201,401,400,0.75,2.0,63.623909257417864,67.64186244306214,1.4855792933265008,-0.0052218301253148525,0.010574907413015922,0.010635467783128405
5.925,-0.5343796567757059,-0.509107536381158,0.005653909137927828,0.682363790968054,0.7006371840109844,0.018273393042930408,-0.48097978053009405,-0.4530962335979153,0.005654101498619689,0.7204305792162808,0.7395294222693812,0.01909884305310039,1201,1201,401,400,0.75,2.0,10.361273274865383,11.291286415424416,0.38998444133331,-0.004906247704461464,0.009879606652468453,0.009966514060427922
6.0125,-0.3167840134367794,-0.27848706365130727,0.005655915194602968,0.8265688032845303,0.8494191758776657,0.022850372593135382,-0.4805360124583115,-0.45436030289696894,0.00565503147842923,0.7207385014980735,0.7386742834991827,0.017935782001109235,1201,1201,401,400,0.75,2.0,-72.59366540079151,-77.19533318633172,-1.8137873280247545,-0.004608619893012644,0.009234326057821818,0.009341221535459354
6.1,-0.6549836208226612,-0.6388933606293068,0.005655570594065384,0.587380948939731,0.6009214918528819,0.013540542913150877,-0.4801275291325847,-0.45555367188714224,0.005655973070910605,0.7210218241269922,0.7378660638034912,0.01684423967649895,1201,1201,401,400,0.75,2.0,51.489745087834564,54.734559611128915,1.322929934512035,-0.004346527519871302,0.008673876711640105,0.00879471735561177
6.169492525423729,-0.6427102549244977,-0.6265564038531494,0.005656269976981275,0.5977371872951375,0.611100315943995,0.01336312864885758,-0.4798268214449258,-0.45645413072516766,0.005656729328994007,0.7212303228200228,0.7372556335999286,0.016025310779905877,1201,1201,401,400,0.75,2.0,107.76464421171431,112.20673630137037,1.6002671300665021,-0.004166139514154565,0.008295160233160459,0.008422696349388303
6.1875,-0.5546299817123852,-0.534960052308683,0.005656668275407386,0.6673604860100835,0.6819383752886451,0.014577889278561629,-0.4797521817936383,-0.45668092987181397,0.005656926361635144,0.7212820656347707,0.7371018044532153,0.015819738818444562,1201,1201,401,400,0.75,2.0,-40.05685804396268,-40.84063545937175,-0.16177792674279168,-0.003994873145330757,0.007935672498163626,0.008069086469261855
6.275,-0.31154024621535,-0.27840324289994584,0.005658817389323679,0.8297347490521594,0.8494685144842357,0.019733765432076278,-0.47940794090300753,-0.45774633741408455,0.005657891099512036,0.7215206574291497,0.736378749412227,0.014858091983077304,1201,1201,401,400,0.75,2.0,-74.1400028898377,-78.46449106571706,-1.8032995473810511,-0.0038129551672270168,0.007560971614665846,0.007697749228237294
6.3625,-0.636084907843633,-0.622590193213103,0.00565849740314784,0.6032537543657454,0.6143368837917002,0.011083129425954796,-0.4790928929503757,-0.45875385626743026,0.005658866692179693,0.7217389466071679,0.7356943276474066,0.013955381040238746,1201,1201,401,400,0.75,2.0,47.05504473896568,49.7836214637651,1.1752703878270896,-0.0035851137569125058,0.0070961028272762405,0.007235046402229717
6.4406779661016955,-0.6213162921308314,-0.6077004624907112,0.005659319724190868,0.6153728202229675,0.6263381973896281,0.010965377166660684,-0.47883462728204707,-0.4596080808884656,0.005659749362245645,0.7219178434683222,0.7351135416461422,0.013195698177819959,1201,1201,401,400,0.75,2.0,108.76713034449222,112.63769032712526,1.5040175185474212,-0.003434615591686452,0.006792329744712333,0.006931261854482784
6.45,-0.5751957889539088,-0.5599869521684717,0.005659533005137232,0.6517700599491291,0.6633347931712373,0.01156473322210827,-0.47880523214592663,-0.4597071694740099,0.005659854423168144,0.7219382022403811,0.7350461417666173,0.013107939526236234,1201,1201,401,400,0.75,2.0,-39.12656243791501,-39.490694855659584,-0.038419637504287785,-0.0032902117607420678,0.006503094052590086,0.006640924191980702
6.5375,-0.3080306843108277,-0.27941175499074744,0.005661812980483717,0.8318469304440405,0.8488746933495265,0.01702776290548602,-0.47854325592767466,-0.460609704097956,0.005660854035547188,0.7221196189498837,0.7344319545758096,0.012312335625925819,1201,1201,401,400,0.75,2.0,-75.14053654925947,-79.13747344284727,-1.7418451884117003,-0.00314477371597377,0.00621555197368906,0.006350735762862714
6.625,-0.6161603126230133,-0.6047328388598214,0.005661534803403374,0.6195479701984236,0.6287027605635103,0.009154790365086707,-0.47830535688318554,-0.46146465090210337,0.005661864935641773,0.7222843229067168,0.7338496774530167,0.01156535454629981,1201,1201,401,400,0.75,2.0,42.91054485849011,45.190426294099254,1.0248927857851757,-0.002947289078981896,0.005827727413212358,0.005958052493631127
6.7125,-0.5957560818623813,-0.5840647214146952,0.005662503372352093,0.6358017915495511,0.6449304447654063,0.00912865321585521,-0.47809002302070736,-0.46227497916824334,0.0056628874347641675,0.7224333720000016,0.7332973618060797,0.010863989806078167,1201,1201,401,400,0.75,2.0,35.150571211585614,36.80785864838128,0.7264516224436492,-0.0027604942238284025,0.0054660406965041375,0.005589585438928957
6.8,-0.3062302902630488,-0.281586436192902,0.005664900318204611,0.8329283941233792,0.847592805424337,0.014664411300957858,-0.4778958241921302,-0.4630434580603006,0.0056639208328359645,0.7225677655471975,0.7327731858765708,0.010205420329373327,1201,1201,401,400,0.75,2.0,,,,,,
