D,eta,base_raw_amp,base_raw_amp_ref,base_amp,base_amp_ref,base_partial_ratio,base_width_ratio,base_mu,base_chi2,cur_raw_amp,cur_raw_amp_ref,cur_amp,cur_amp_ref,cur_partial_ratio,cur_width_ratio,cur_mu,cur_chi2,cur_width_alpha,cur_refamp_beta,cur_pointamp_beta,delta_mu,delta_log_mu,delta_log_partial,delta_log_width,delta_log_amp_point,delta_log_amp_ref,path_closure_residual,width_component,partial_component,amp_point_component,amp_ref_component,mu_width_anchor,mu_partial_anchor,mu_refamp_anchor,mu_pointamp_anchor,mu_width_refamp_anchor,mu_width_pointamp_anchor,delta_mu_width_anchor,delta_mu_partial_anchor,delta_mu_refamp_anchor,delta_mu_pointamp_anchor,delta_mu_width_refamp_anchor,delta_mu_width_pointamp_anchor,acceptance_mismatch
4.0,0.2,0.0014804778760338683,4.237239589409662e-05,0.0014804778760338683,4.237239589409662e-05,1220.781110956807,537.5065173910136,2.271193132470875,4.743609212902598,0.0014804778760172169,4.588059328874114e-05,0.0014804778760172169,4.588059328874108e-05,1041.2278915987938,485.8424344652046,2.1431390461908393,3.4515977623339404,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,-0.12805408628003567,-0.05803370414391184,-0.15909022703676,-0.1010565228928483,-1.1247336395633325e-11,0.07954511350713275,-1.3183898417423734e-16,0.1010565228928483,0.15909022703676,2.249467279126665e-11,0.1590902270142655,1.9371446818036326,2.5127099330065574,2.512709932950035,2.1431390462390487,2.271193132419785,1.9371446818472082,-0.3340484506672423,0.24151680053568247,0.24151680047916013,-0.12805408623182624,-5.1089799057990604e-11,-0.3340484506236667,1.0
4.0,0.39,0.0014845196297906238,4.237239589409662e-05,0.0014845196297906238,4.237239589409662e-05,1227.45575546882,532.3587636166783,2.3056927759202663,5.126746277213486,0.001484519629773927,4.588059328874114e-05,0.0014845196297739274,4.588059328874108e-05,1046.920825385235,481.2134030987645,2.1755853403991003,3.759578876512428,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,-0.130107435521166,-0.058083434479640574,-0.15909022703675962,-0.10100679255711897,-1.1247114351028397e-11,0.07954511350713275,7.632783294297951e-17,0.10100679255711897,0.15909022703675962,2.2494228702056794e-11,0.1590902270142655,1.966570096963904,2.5507513871489076,2.55075138709153,2.175585340448038,2.305692775868401,1.9665700970081401,-0.3391226789563624,0.24505861122864125,0.2450586111712636,-0.13010743547222825,-5.186517881838881e-11,-0.3391226789121262,1.0
4.0,0.5800000000000001,0.0014884932254524892,4.237239589409662e-05,0.0014884932254524892,4.237239589409662e-05,1234.0355815929624,527.2667700495774,2.3404387526202903,5.527656546437548,0.0014884932254357478,4.588059328874114e-05,0.0014884932254357476,4.588059328874108e-05,1052.5328867292687,476.5931935638745,2.208451360495993,4.08496001429889,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,-0.1319873921242971,-0.05804688487494213,-0.1590902270367599,-0.10104334216181773,-1.1247336395633325e-11,0.07954511350713275,3.469446951953614e-17,0.10104334216181773,0.1590902270367599,2.249467279126665e-11,0.1590902270142655,1.9962056145322833,2.589284946276878,2.589284946218633,2.208451360545672,2.340438752567643,1.9962056145771876,-0.34423313808800704,0.24884619365658756,0.2488461935983426,-0.13198739207461818,-5.264721991693477e-11,-0.34423313804310274,0.0
4.0,0.77,0.0014923991827512323,4.237239589409662e-05,0.0014923991827512323,4.237239589409662e-05,1240.520548279229,522.2306465615594,2.3754265599826283,5.94660608699715,0.0014923991827344469,4.588059328874114e-05,0.0014923991827344467,4.588059328874108e-05,1058.06404061855,472.0602763673626,2.2413748700921254,4.424447950140882,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,-0.13405168989050287,-0.05808756669153256,-0.15909022703675976,-0.10100266034522704,-1.1247447417935788e-11,0.07954511350713275,1.6653345369377348e-16,0.10100266034522704,0.15909022703675976,2.2494894835871575e-11,0.1590902270142655,2.02604739416385,2.6278859086076585,2.627885908548545,2.241374870142544,2.375426559929194,2.0260473942094253,-0.34937916581877815,0.25245934862503017,0.25245934856591656,-0.1340516898400841,-5.3434145996789084e-11,-0.34937916577320305,0.0
4.0,0.96,0.0014962380298731127,4.237239589409662e-05,0.0014962380298731127,4.237239589409662e-05,1246.9106529817577,517.2504660364692,2.4106515795654078,6.3838538454878355,0.0014962380298562843,4.588059328874114e-05,0.0014962380298562843,4.588059328874108e-05,1063.5142848816636,467.54543977883907,2.27467577351355,4.781610679822044,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,-0.13597580605185788,-0.05805955081596186,-0.15909022703675962,-0.10103067622079785,-1.1247114351028397e-11,0.07954511350713275,-9.020562075079397e-17,0.10103067622079785,0.15909022703675962,2.2494228702056794e-11,0.1590902270142655,2.056091496699936,2.666929343961901,2.6669293439019106,2.2746757735647174,2.4106515795111823,2.0560914967461867,-0.3545600828654716,0.2562777643964931,0.25627776433650284,-0.13597580600069037,-5.4225512968741896e-11,-0.354560082819221,0.0
4.0,1.15,0.0015000103029494383,4.237239589409662e-05,0.0015000103029494383,4.237239589409662e-05,1253.2059305951302,512.3262658487918,2.4461090795704044,6.839651289747741,0.001500010302932567,4.588059328874114e-05,0.0015000103029325675,4.588059328874108e-05,1068.8836492808748,463.1607609741988,2.307802688277427,5.1506607552732735,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,-0.13830639129297717,-0.05820277670897108,-0.15909022703675962,-0.10088745032778852,-1.1247114351028397e-11,0.07954511350713275,2.0816681711721685e-17,0.10088745032778852,0.15909022703675962,2.2494228702056794e-11,0.1590902270142655,2.0863338862980445,2.7057687874058534,2.7057687873449896,2.3078026883293394,2.4461090795153813,2.0863338863449754,-0.35977519327235985,0.259659707835449,0.25965970777458525,-0.13830639124106492,-5.502309718963261e-11,-0.35977519322542895,0.0
4.0,1.34,0.0015037165455591484,4.237239589409662e-05,0.0015037165455591484,4.237239589409662e-05,1259.406452391874,507.45804931538413,2.48179421745492,7.314242055743145,0.0015037165455422357,4.588059328874114e-05,0.0015037165455422364,4.588059328874108e-05,1074.1721946059058,458.8172850859334,2.3411763887768973,5.536331217444509,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,-0.14061782867802286,-0.058328240085745324,-0.15909022703675885,-0.10076198695101365,-1.1246781284121006e-11,0.07954511350713275,-1.3183898417423734e-16,0.10076198695101365,0.15909022703675885,2.2493562568242012e-11,0.1590902270142655,2.1167704326595675,2.744897573237668,2.7448975731759258,2.3411763888295596,2.4817942173990954,2.116770432707182,-0.3650237847953526,0.2631033557827478,0.2631033557210056,-0.14061782862536054,-5.582467821341197e-11,-0.3650237847477382,0.0
4.0,1.53,0.001507357308243482,4.237239589409662e-05,0.001507357308243482,4.237239589409662e-05,1265.5123249625642,502.6457871193933,2.5177020426552734,7.807861600973568,0.001507357308226528,4.588059328874114e-05,0.0015073573082265283,4.588059328874108e-05,1079.3800117699238,454.4826633119459,2.3749641051303723,5.9409687893291725,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,-0.14273793752490116,-0.05836427392240554,-0.1590902270367595,-0.10072595311435396,-1.1247225373330861e-11,0.07954511350713275,6.938893903907228e-18,0.10072595311435396,0.1590902270367595,2.2494450746661722e-11,0.1590902270142655,2.1473969133527007,2.7845117693608197,2.784511769298184,2.3749641051837957,2.517702042598639,2.1473969134010056,-0.37030512930257276,0.26680972670554626,0.2668097266429106,-0.14273793747147767,-5.6634252842968635e-11,-0.37030512925426784,0.0
4.0,1.72,0.0015109331480326952,4.237239589409662e-05,0.0015109331480326952,4.237239589409662e-05,1271.5236891597274,497.8894187055725,2.553827499418389,8.320736865088078,0.0015109331480157012,4.588059328874114e-05,0.0015109331480157007,4.588059328874108e-05,1084.5072209087825,450.1568870521111,2.4091761163774836,6.365227711667129,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,-0.1446513830409053,-0.05830838535893462,-0.15909022703676015,-0.10078184167782561,-1.1247669462540716e-11,0.07954511350713275,-8.326672684688674e-17,0.10078184167782561,0.15909022703676015,2.2495338925081432e-11,0.1590902270142655,2.1782090162275716,2.824623427370852,2.824623427307311,2.4091761164316776,2.55382749936094,2.17820901627657,-0.37561848319081736,0.270795927952463,0.27079592788892226,-0.14465138298671132,-5.74491565430435e-11,-0.3756184831418188,0.0
4.0,1.91,0.001514444627984885,4.237239589409662e-05,0.001514444627984885,4.237239589409662e-05,1277.4407190468617,493.1888536463017,2.590165429738197,8.853085938399417,0.0015144446279678518,4.588059328874114e-05,0.0015144446279678515,4.588059328874108e-05,1089.5539704846171,445.83994053648263,2.44382315584725,6.809792379268201,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,-0.146342273890947,-0.05815806595743467,-0.15909022703676,-0.10093216107932532,-1.1247336395633325e-11,0.07954511350713275,2.7755575615628914e-17,0.10093216107932532,0.15909022703676,2.249467279126665e-11,0.1590902270142655,2.2092023419207445,2.8652451314920495,2.8652451314275966,2.443823155902222,2.5901654296799315,2.2092023419704394,-0.38096308781745236,0.27507970175385266,0.27507970168939977,-0.14634227383597498,-5.826539251074792e-11,-0.38096308776775745,0.0
