pair,lhs_family,rhs_family,layer,D,eta,chi_eff_lhs,chi_eff_rhs,g_eff_lhs,g_eff_rhs,gamma_lhs,gamma_rhs,p_kin_lhs,p_kin_rhs,W_lhs,W_rhs,P_lhs,P_rhs,generation_ratio_lhs,generation_ratio_rhs,winner_lhs,winner_rhs,log_chi_eff_ratio,log_g_eff_ratio,log_gamma_ratio,log_p_kin_ratio,log_W_ratio,delta_P,delta_generation_ratio,winner_mismatch
uniform_vs_runtime,uniform_profile,runtime_mainline,1,4.0,0.2,0.0005265818146994,0.000526581814699491,49.080091101131785,49.080091101131785,0.00182336782802981,0.00182336782802981,0.06507463132409956,0.06507463132409956,0.17283902795844938,0.17283902795844938,0.07777221434076431,0.07777221434076431,0.9470331256248724,0.9470331256248724,2.0,2.0,-1.7275070263168928e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,2,4.0,0.2,0.0005265818146994,0.000526581814699491,49.20070244586661,49.20070244586661,0.016436598974928104,0.016436598974928104,0.5837769412588872,0.5837769412588872,1.567074381508572,1.567074381508572,0.7051349809483082,0.7051349809483082,0.9470331256248724,0.9470331256248724,2.0,2.0,-1.7275070263168928e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,3,4.0,0.2,0.0005265818146994,0.000526581814699491,11.397664004427238,11.397664004427238,0.03252537814744661,0.03252537814744661,0.26547430907411185,0.26547430907411185,0.36474937099929117,0.36474937099929117,0.1641259303357999,0.1641259303357999,0.9470331256248724,0.9470331256248724,2.0,2.0,-1.7275070263168928e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_vs_uniform,hybrid_profile,uniform_profile,1,4.0,0.2,0.06223098601910542,0.0005265818146994,40.83492356205414,49.080091101131785,0.0018242511833721272,0.00182336782802981,0.06598977985770782,0.06507463132409956,0.14387268848357834,0.17283902795844938,0.078355607286165,0.07777221434076431,0.9490342456184906,0.9470331256248724,2.0,2.0,4.77220160914994,-0.18391579108207162,0.0004843462855220923,0.013965093930385909,-0.18343188633999377,0.0005833929454006903,0.0020011199936181834,0.0
hybrid_vs_uniform,hybrid_profile,uniform_profile,2,4.0,0.2,0.06223098601910542,0.0005265818146994,41.069477931161906,49.20070244586661,0.01644460843240365,0.016436598974928104,0.5939270125585089,0.5837769412588872,1.3087217883633038,1.567074381508572,0.7127530011197863,0.7051349809483082,0.9490342456184906,0.9470331256248724,2.0,2.0,4.77220160914994,-0.1806426845471021,0.0004871753968606,0.01723747736471315,-0.18015950290566646,0.007618020171478168,0.0020011199936181834,0.0
hybrid_vs_uniform,hybrid_profile,uniform_profile,3,4.0,0.2,0.06223098601910542,0.0005265818146994,9.056780318475928,11.397664004427238,0.03254124481562542,0.03252537814744661,0.2571090022089714,0.26547430907411185,0.28997523972049,0.36474937099929117,0.15792563721253927,0.1641259303357999,0.9490342456184906,0.9470331256248724,2.0,2.0,4.77220160914994,-0.22989473885258924,0.0004877053017585703,-0.03201794359902689,-0.22941492386940637,-0.0062002931232606195,0.0020011199936181834,0.0
hybrid_vs_runtime,hybrid_profile,runtime_mainline,1,4.0,0.2,0.06223098601910542,0.000526581814699491,40.83492356205414,49.080091101131785,0.0018242511833721272,0.00182336782802981,0.06598977985770782,0.06507463132409956,0.14387268848357834,0.17283902795844938,0.078355607286165,0.07777221434076431,0.9490342456184906,0.9470331256248724,2.0,2.0,4.772201609149767,-0.18391579108207162,0.0004843462855220923,0.013965093930385909,-0.18343188633999377,0.0005833929454006903,0.0020011199936181834,0.0
hybrid_vs_runtime,hybrid_profile,runtime_mainline,2,4.0,0.2,0.06223098601910542,0.000526581814699491,41.069477931161906,49.20070244586661,0.01644460843240365,0.016436598974928104,0.5939270125585089,0.5837769412588872,1.3087217883633038,1.567074381508572,0.7127530011197863,0.7051349809483082,0.9490342456184906,0.9470331256248724,2.0,2.0,4.772201609149767,-0.1806426845471021,0.0004871753968606,0.01723747736471315,-0.18015950290566646,0.007618020171478168,0.0020011199936181834,0.0
hybrid_vs_runtime,hybrid_profile,runtime_mainline,3,4.0,0.2,0.06223098601910542,0.000526581814699491,9.056780318475928,11.397664004427238,0.03254124481562542,0.03252537814744661,0.2571090022089714,0.26547430907411185,0.28997523972049,0.36474937099929117,0.15792563721253927,0.1641259303357999,0.9490342456184906,0.9470331256248724,2.0,2.0,4.772201609149767,-0.22989473885258924,0.0004877053017585703,-0.03201794359902689,-0.22941492386940637,-0.0062002931232606195,0.0020011199936181834,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,1,4.0,0.6,0.0005265818146994,0.000526581814699491,49.080091101131785,49.080091101131785,0.00547010348408943,0.00547010348408943,0.06640263998527512,0.06640263998527512,0.5175730715179406,0.5175730715179406,0.07914359701009059,0.07914359701009059,0.9483926231522801,0.9483926231522801,2.0,2.0,-1.7275070263168928e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
