D,eta,mu_full,chi2_full,mu_base,chi2_base,mu_runtime,chi2_runtime,mu_cf,chi2_cf,abs_delta_base,abs_delta_runtime,abs_delta_cf,abs_improvement_vs_base,abs_improvement_vs_runtime,improved_vs_base,improved_vs_runtime,worsened_vs_runtime,acceptance_flip_vs_base,case,is_reviewer_target
4.0,0.2,2.408283091800887,6.353967457572223,1.7088539774154017,0.5961923710332094,1.7088539774153126,0.5961923710328657,1.7088539774153126,0.5961923710328657,0.6994291143854852,0.6994291143855742,0.6994291143855742,-8.903988657493755e-14,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,0.295,2.426537875766881,6.586125064899877,1.721749963029307,0.6470189919335028,1.721749963029217,0.647018991933141,1.721749963029217,0.647018991933141,0.704787912737574,0.704787912737664,0.704787912737664,-8.992806499463768e-14,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,0.39,2.444858483789307,6.823307819665558,1.7347286463553877,0.7002704168181891,1.734728646355297,0.7002704168178101,1.734728646355297,0.7002704168178101,0.7101298374339191,0.7101298374340097,0.7101298374340097,-9.059419880941277e-14,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,0.485,2.463244330280558,7.065553161710952,1.7477910238007683,0.7559912264774167,1.747791023800677,0.75599122647702,1.747791023800677,0.75599122647702,0.7154533064797897,0.7154533064798809,0.7154533064798809,-9.126033262418787e-14,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,0.5800000000000001,2.481694821821148,7.312898047216783,1.7609381139352602,0.8142270130696435,1.7609381139351683,0.8142270130692287,1.7609381139351683,0.8142270130692287,0.7207567078858879,0.7207567078859798,0.7207567078859798,-9.192646643896296e-14,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,0.675,2.500209357237757,7.565378935959492,1.7740414941581613,0.8744189959504366,1.7740414941580689,0.8744189959500036,1.7740414941580689,0.8744189959500036,0.7261678630795958,0.7261678630796882,0.7261678630796882,-9.237055564881302e-14,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,0.77,2.518787327683288,7.823031778654458,1.7871935483273715,0.9369927741646292,1.7871935483272785,0.9369927741641778,1.7871935483272785,0.9369927741641778,0.7315937793559166,0.7315937793560097,0.7315937793560097,-9.303668946358812e-14,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,0.865,2.5374281167187394,8.085892004389615,1.800429385011821,1.0021480773809075,1.800429385011727,1.002148077380437,1.800429385011727,1.002148077380437,0.7369987317069184,0.7369987317070124,0.7369987317070124,-9.392486788328824e-14,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,0.96,2.5561311003970992,8.353994508158797,1.813750031551268,1.0699318038042196,1.8137500315511732,1.0699318038037304,1.8137500315511732,1.0699318038037304,0.7423810688458312,0.742381068845926,0.742381068845926,-9.481304630298837e-14,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,1.055,2.574895647349112,8.627373638499304,1.8269818958066275,1.139459620916386,1.826981895806532,1.1394596209158765,1.826981895806532,1.1394596209158765,0.7479137515424843,0.7479137515425798,0.7479137515425798,-9.547918011776346e-14,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,1.15,2.5937211188708993,8.906063185239947,1.8401679114085652,1.210923688961116,1.8401679114084692,1.210923688960588,1.8401679114084692,1.210923688960588,0.7535532074623341,0.75355320746243,0.75355320746243,-9.592326932761353e-14,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,1.245,2.6126068690134527,9.190096367366303,1.8534345227135596,1.2850179149279604,1.8534345227134628,1.2850179149274117,1.8534345227134628,1.2850179149274117,0.7591723462998932,0.75917234629999,0.75917234629999,-9.681144774731365e-14,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,1.34,2.631552244673955,9.479505821009107,1.866782700501997,1.361788059299607,1.8667827005019,1.3617880592990397,1.8667827005019,1.3617880592990397,0.764769544171958,0.764769544172055,0.764769544172055,-9.703349235223868e-14,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,1.435,2.6505565856888667,9.774323587561224,1.880213436765445,1.4412809053130011,1.880213436765347,1.441280905312412,1.880213436765347,1.441280905312412,0.7703431489234216,0.7703431489235197,0.7703431489235197,-9.814371537686384e-14,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,1.53,2.6696192249287676,10.07458110192953,1.893727745169134,1.5235442896862346,1.8937277451690353,1.5235442896856244,1.8937277451690353,1.5235442896856244,0.7758914797596337,0.7758914797597323,0.7758914797597323,-9.85878045867139e-14,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,1.625,2.688739488394995,10.380309180928712,1.9073266615270352,1.6086271343510452,1.907326661526936,1.6086271343504144,1.907326661526936,1.6086271343504144,0.7814128268679599,0.7814128268680591,0.7814128268680591,-9.9253938401489e-14,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,1.72,2.707916695317909,10.691538011820745,1.9210112442900005,1.6965794792288411,1.9210112442899,1.6965794792281876,1.9210112442899,1.6965794792281876,0.7869054510279085,0.7869054510280089,0.7869054510280089,-1.0036416142611415e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
