alpha_center,taper,D,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch
0.8,0.0,4.0,0.9406298690398042,0.9660226628004982,0.8
0.8,0.0,4.8,0.0693073265497599,0.06939549528629563,0.0
0.8,0.0,5.6,24.520247774835777,24.522860300084638,0.0
0.8,0.0,6.4,1.7704071762455798,1.770411181362519,0.0
0.8,0.0,7.2,0.7786799854590526,0.7786800613906357,0.0
0.8,0.0,8.0,0.3223942584511468,0.3223942585909172,1.0
0.8,0.0,8.8,0.29887690922271587,0.29887690938744393,0.0
0.8,0.0,9.600000000000001,2.1316282072803005e-15,2.220446049250313e-15,0.0
0.8,0.0,10.4,0.13306793877694745,0.1330679395024223,0.0
0.8,0.0,11.2,0.0394637207908891,0.039463721151636794,0.0
0.8,0.0,12.0,0.007341972264743477,0.007341973979238754,0.0
0.8,0.0,12.8,0.0018768965013919124,0.0018769028241595914,0.0
0.8,0.0,13.600000000000001,6.051671022879643e-05,6.0517202994375964e-05,0.0
0.8,0.0,14.4,1.8853153609836213e-05,1.8853317837491597e-05,0.0
0.8,0.0,15.200000000000001,3.6263038983391815e-06,3.6267850008717625e-06,0.0
0.8,0.0,16.0,3.425138648280404e-07,3.4270219535502257e-07,0.0
0.8,0.0,16.8,1.5878460402969446e-07,1.6250791684361496e-07,0.0
0.8,0.0,17.6,1.065939755194392e-08,1.065939755194392e-08,0.0
0.8,0.0,18.4,1.065939755194392e-08,1.065939755194392e-08,0.0
0.8,0.0,19.200000000000003,1.065939755194392e-08,1.065939755194392e-08,0.0
0.8,0.0,20.0,1.065939755194392e-08,1.065939755194392e-08,0.0
0.8,0.01,4.0,0.9406293757272047,0.966022156181459,0.8
0.8,0.01,4.8,0.06528497830777731,0.06536580423292548,0.0
0.8,0.01,5.6,23.954852995036237,23.957405859317674,0.0
0.8,0.01,6.4,3.184322761749402,3.1843253961736693,0.0
0.8,0.01,7.2,0.7791644639079607,0.7791645397575344,0.0
0.8,0.01,8.0,0.32239425519641085,0.32239425533618116,1.0
0.8,0.01,8.8,0.2988769092229545,0.29887690938768263,0.0
0.8,0.01,9.600000000000001,2.1316282072803005e-15,2.220446049250313e-15,0.0
0.8,0.01,10.4,0.13306793877694745,0.1330679395024223,0.0
0.8,0.01,11.2,0.0394637207908891,0.039463721151636794,0.0
0.8,0.01,12.0,0.007341972264743477,0.007341973979238754,0.0
0.8,0.01,12.8,0.0018768965013919124,0.0018769028241595914,0.0
0.8,0.01,13.600000000000001,6.051671022879643e-05,6.0517202994375964e-05,0.0
0.8,0.01,14.4,1.8853153609836213e-05,1.8853317837491597e-05,0.0
0.8,0.01,15.200000000000001,3.6263038983391815e-06,3.6267850008717625e-06,0.0
0.8,0.01,16.0,3.425138648280404e-07,3.4270219535502257e-07,0.0
0.8,0.01,16.8,1.5878460402969446e-07,1.6250791684361496e-07,0.0
0.8,0.01,17.6,1.065939755194392e-08,1.065939755194392e-08,0.0
0.8,0.01,18.4,1.065939755194392e-08,1.065939755194392e-08,0.0
0.8,0.01,19.200000000000003,1.065939755194392e-08,1.065939755194392e-08,0.0
0.8,0.01,20.0,1.065939755194392e-08,1.065939755194392e-08,0.0
0.8,0.02,4.0,0.9406288824144918,0.9660216495623022,0.8
0.8,0.02,4.8,0.061263783374298345,0.061337268561553415,0.0
0.8,0.02,5.6,23.37991714877797,23.382409390872937,0.0
0.8,0.02,6.4,4.563833479005943,4.563834769084593,0.0
0.8,0.02,7.2,0.7796488570887097,0.7796489328563205,0.0
0.8,0.02,8.0,0.3223942519416756,0.322394252081446,1.0
0.8,0.02,8.8,0.29887690922319304,0.2988769093879211,0.0
0.8,0.02,9.600000000000001,2.1316282072803005e-15,2.220446049250313e-15,0.0
0.8,0.02,10.4,0.13306793877694745,0.1330679395024223,0.0
0.8,0.02,11.2,0.0394637207908891,0.039463721151636794,0.0
0.8,0.02,12.0,0.007341972264743477,0.007341973979238754,0.0
0.8,0.02,12.8,0.0018768965013919124,0.0018769028241595914,0.0
0.8,0.02,13.600000000000001,6.051671022879643e-05,6.0517202994375964e-05,0.0
0.8,0.02,14.4,1.8853153609836213e-05,1.8853317837491597e-05,0.0
0.8,0.02,15.200000000000001,3.6263038983391815e-06,3.6267850008717625e-06,0.0
0.8,0.02,16.0,3.425138648280404e-07,3.4270219535502257e-07,0.0
0.8,0.02,16.8,1.5878460402969446e-07,1.6250791684361496e-07,0.0
0.8,0.02,17.6,1.065939755194392e-08,1.065939755194392e-08,0.0
0.8,0.02,18.4,1.065939755194392e-08,1.065939755194392e-08,0.0
0.8,0.02,19.200000000000003,1.065939755194392e-08,1.065939755194392e-08,0.0
0.8,0.02,20.0,1.065939755194392e-08,1.065939755194392e-08,0.0
0.8,0.03,4.0,0.9406283891016652,0.966021142943029,0.8
0.8,0.03,4.8,0.05724374141864317,0.05730988794091374,0.0
0.8,0.03,5.6,22.79527923006585,22.797709873303575,0.0
0.8,0.03,6.4,5.909777651461373,5.909777787669384,0.0
0.8,0.03,7.2,0.7801331650163054,0.7801332407019999,0.0
0.8,0.03,8.0,0.32239424868693967,0.32239424882671,1.0
0.8,0.03,8.8,0.2988769092234318,0.2988769093881598,0.0
0.8,0.03,9.600000000000001,2.1316282072803005e-15,2.220446049250313e-15,0.0
0.8,0.03,10.4,0.13306793877694745,0.1330679395024223,0.0
0.8,0.03,11.2,0.0394637207908891,0.039463721151636794,0.0
0.8,0.03,12.0,0.007341972264743477,0.007341973979238754,0.0
0.8,0.03,12.8,0.0018768965013919124,0.0018769028241595914,0.0
0.8,0.03,13.600000000000001,6.051671022879643e-05,6.0517202994375964e-05,0.0
0.8,0.03,14.4,1.8853153609836213e-05,1.8853317837491597e-05,0.0
0.8,0.03,15.200000000000001,3.6263038983391815e-06,3.6267850008717625e-06,0.0
0.8,0.03,16.0,3.425138648280404e-07,3.4270219535502257e-07,0.0
0.8,0.03,16.8,1.5878460402969446e-07,1.6250791684361496e-07,0.0
0.8,0.03,17.6,1.065939755194392e-08,1.065939755194392e-08,0.0
0.8,0.03,18.4,1.065939755194392e-08,1.065939755194392e-08,0.0
0.8,0.03,19.200000000000003,1.065939755194392e-08,1.065939755194392e-08,0.0
0.8,0.03,20.0,1.065939755194392e-08,1.065939755194392e-08,0.0
0.8,0.04,4.0,0.9406278957887266,0.9660206363236403,0.8
0.8,0.04,4.8,0.05322485211024812,0.05328366203986867,0.0
0.8,0.04,5.6,22.200775515920107,22.203143567930297,0.0
