combo_id,mode,peak,center_D,width_D,s_min,power,region,D,slice_p95_abs_delta_base,slice_p95_abs_delta_cf,slice_mean_abs_improvement,slice_improved_fraction
1,partial_cloud,0.5,6.169492525423729,0.05,0.6,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
1,partial_cloud,0.5,6.169492525423729,0.05,0.6,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.271915904250342,0.0,0.0
1,partial_cloud,0.5,6.169492525423729,0.05,0.6,2.0,D60_hotspot,6.169491525423728,25.887561191706766,93.15025175225779,-65.69908148364266,0.0
1,partial_cloud,0.5,6.169492525423729,0.05,0.6,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,31.286348737173988,-4.236822002957026e-05,0.0
1,partial_cloud,0.5,6.169492525423729,0.05,0.6,2.0,D60_hotspot,6.711864406779661,7.462467784829663,7.462467784829659,3.383536836952858e-16,0.14285714285714285
1,partial_cloud,0.5,6.169492525423729,0.05,0.6,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
1,partial_cloud,0.5,6.169492525423729,0.05,0.6,2.0,D21_guard,6.4,2.1022273869561374,2.1356308993203115,-0.03338156998112049,0.0
1,partial_cloud,0.5,6.169492525423729,0.05,0.6,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
2,partial_cloud,0.5,6.169492525423729,0.05,0.75,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
2,partial_cloud,0.5,6.169492525423729,0.05,0.75,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.271915904250342,0.0,0.0
2,partial_cloud,0.5,6.169492525423729,0.05,0.75,2.0,D60_hotspot,6.169491525423728,25.887561191706766,75.89458679769041,-49.93079726116846,0.0
2,partial_cloud,0.5,6.169492525423729,0.05,0.75,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,31.28633458469495,-2.877003922546486e-05,0.0
2,partial_cloud,0.5,6.169492525423729,0.05,0.75,2.0,D60_hotspot,6.711864406779661,7.462467784829663,7.462467784829659,3.383536836952858e-16,0.14285714285714285
2,partial_cloud,0.5,6.169492525423729,0.05,0.75,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
2,partial_cloud,0.5,6.169492525423729,0.05,0.75,2.0,D21_guard,6.4,2.1022273869561374,2.13589304768076,-0.033665923441775505,0.0
2,partial_cloud,0.5,6.169492525423729,0.05,0.75,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
3,partial_cloud,0.5,6.169492525423729,0.12,0.6,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
3,partial_cloud,0.5,6.169492525423729,0.12,0.6,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.273000393058219,-0.0010392380700778858,0.0
3,partial_cloud,0.5,6.169492525423729,0.12,0.6,2.0,D60_hotspot,6.169491525423728,25.887561191706766,93.15025176337483,-65.69908149450127,0.0
3,partial_cloud,0.5,6.169492525423729,0.12,0.6,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,39.44298414257556,-8.04998989429447,0.0
3,partial_cloud,0.5,6.169492525423729,0.12,0.6,2.0,D60_hotspot,6.711864406779661,7.462467784829663,7.470386882866638,-0.007868890275900193,0.0
3,partial_cloud,0.5,6.169492525423729,0.12,0.6,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
3,partial_cloud,0.5,6.169492525423729,0.12,0.6,2.0,D21_guard,6.4,2.1022273869561374,7.491006634523359,-5.25135294937636,0.0
3,partial_cloud,0.5,6.169492525423729,0.12,0.6,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
4,partial_cloud,0.5,6.169492525423729,0.12,0.75,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
4,partial_cloud,0.5,6.169492525423729,0.12,0.75,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.27321427122429,-0.0012866593245524612,0.0
4,partial_cloud,0.5,6.169492525423729,0.12,0.75,2.0,D60_hotspot,6.169491525423728,25.887561191706766,75.89458680595547,-49.93079726942091,0.0
4,partial_cloud,0.5,6.169492525423729,0.12,0.75,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,36.75400374038528,-5.4663265268621295,0.0
4,partial_cloud,0.5,6.169492525423729,0.12,0.75,2.0,D60_hotspot,6.711864406779661,7.462467784829663,7.4675909245592536,-0.0051230869863799185,0.0
4,partial_cloud,0.5,6.169492525423729,0.12,0.75,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
4,partial_cloud,0.5,6.169492525423729,0.12,0.75,2.0,D21_guard,6.4,2.1022273869561374,5.503182196776862,-3.398870398459939,0.0
4,partial_cloud,0.5,6.169492525423729,0.12,0.75,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
5,partial_cloud,0.5,6.4406779661016955,0.05,0.6,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
5,partial_cloud,0.5,6.4406779661016955,0.05,0.6,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.271915904250342,0.0,0.0
5,partial_cloud,0.5,6.4406779661016955,0.05,0.6,2.0,D60_hotspot,6.169491525423728,25.887561191706766,25.88758873334963,-2.69014013953427e-05,0.0
5,partial_cloud,0.5,6.4406779661016955,0.05,0.6,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,136.11869969703608,-103.46119789603195,0.0
5,partial_cloud,0.5,6.4406779661016955,0.05,0.6,2.0,D60_hotspot,6.711864406779661,7.462467784829663,7.462556263044743,-8.791725560744876e-05,0.0
5,partial_cloud,0.5,6.4406779661016955,0.05,0.6,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
5,partial_cloud,0.5,6.4406779661016955,0.05,0.6,2.0,D21_guard,6.4,2.1022273869561374,41.62014187466909,-38.89333934672338,0.0
5,partial_cloud,0.5,6.4406779661016955,0.05,0.6,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
6,partial_cloud,0.5,6.4406779661016955,0.05,0.75,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
6,partial_cloud,0.5,6.4406779661016955,0.05,0.75,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.271915904250342,0.0,0.0
6,partial_cloud,0.5,6.4406779661016955,0.05,0.75,2.0,D60_hotspot,6.169491525423728,25.887561191706766,25.88758166777795,-2.044485842134236e-05,0.0
6,partial_cloud,0.5,6.4406779661016955,0.05,0.75,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,101.55901239522453,-70.25508081207087,0.0
6,partial_cloud,0.5,6.4406779661016955,0.05,0.75,2.0,D60_hotspot,6.711864406779661,7.462467784829663,7.462525024461847,-5.7239042900410673e-05,0.0
6,partial_cloud,0.5,6.4406779661016955,0.05,0.75,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
6,partial_cloud,0.5,6.4406779661016955,0.05,0.75,2.0,D21_guard,6.4,2.1022273869561374,32.58590549547844,-30.474202859862675,0.0
6,partial_cloud,0.5,6.4406779661016955,0.05,0.75,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
7,partial_cloud,0.5,6.4406779661016955,0.12,0.6,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
7,partial_cloud,0.5,6.4406779661016955,0.12,0.6,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.271915907342702,-2.9633303218664273e-09,0.0
7,partial_cloud,0.5,6.4406779661016955,0.12,0.6,2.0,D60_hotspot,6.169491525423728,25.887561191706766,31.12096070232272,-5.11174230496907,0.0
7,partial_cloud,0.5,6.4406779661016955,0.12,0.6,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,136.11869969703608,-103.46119789603195,0.0
7,partial_cloud,0.5,6.4406779661016955,0.12,0.6,2.0,D60_hotspot,6.711864406779661,7.462467784829663,24.274894339328227,-16.70583432749895,0.0
7,partial_cloud,0.5,6.4406779661016955,0.12,0.6,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
7,partial_cloud,0.5,6.4406779661016955,0.12,0.6,2.0,D21_guard,6.4,2.1022273869561374,55.38338115221099,-52.460126354378026,0.0
7,partial_cloud,0.5,6.4406779661016955,0.12,0.6,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
8,partial_cloud,0.5,6.4406779661016955,0.12,0.75,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
8,partial_cloud,0.5,6.4406779661016955,0.12,0.75,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.271915907952554,-3.668838016459458e-09,0.0
8,partial_cloud,0.5,6.4406779661016955,0.12,0.75,2.0,D60_hotspot,6.169491525423728,25.887561191706766,29.778377053408306,-3.8848848860131318,0.0
8,partial_cloud,0.5,6.4406779661016955,0.12,0.75,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,101.55901239522453,-70.25508081207087,0.0
8,partial_cloud,0.5,6.4406779661016955,0.12,0.75,2.0,D60_hotspot,6.711864406779661,7.462467784829663,18.33901079894253,-10.876431039069223,0.0
8,partial_cloud,0.5,6.4406779661016955,0.12,0.75,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
8,partial_cloud,0.5,6.4406779661016955,0.12,0.75,2.0,D21_guard,6.4,2.1022273869561374,43.5075417580062,-41.392858623133996,0.0
8,partial_cloud,0.5,6.4406779661016955,0.12,0.75,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
9,partial_cloud,1.0,6.169492525423729,0.05,0.6,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
9,partial_cloud,1.0,6.169492525423729,0.05,0.6,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.271915904250342,0.0,0.0
9,partial_cloud,1.0,6.169492525423729,0.05,0.6,2.0,D60_hotspot,6.169491525423728,25.887561191706766,160.41294231280878,-131.39816296728537,0.0
9,partial_cloud,1.0,6.169492525423729,0.05,0.6,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,31.286391666910184,-8.473644006861443e-05,0.0
9,partial_cloud,1.0,6.169492525423729,0.05,0.6,2.0,D60_hotspot,6.711864406779661,7.462467784829663,7.462467784829659,3.383536836952858e-16,0.14285714285714285
9,partial_cloud,1.0,6.169492525423729,0.05,0.6,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
9,partial_cloud,1.0,6.169492525423729,0.05,0.6,2.0,D21_guard,6.4,2.1022273869561374,2.1341966441530786,-0.03192478310782819,0.0
9,partial_cloud,1.0,6.169492525423729,0.05,0.6,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
10,partial_cloud,1.0,6.169492525423729,0.05,0.75,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
10,partial_cloud,1.0,6.169492525423729,0.05,0.75,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.271915904250342,0.0,0.0
10,partial_cloud,1.0,6.169492525423729,0.05,0.75,2.0,D60_hotspot,6.169491525423728,25.887561191706766,125.90161240367402,-99.86159452233692,0.0
10,partial_cloud,1.0,6.169492525423729,0.05,0.75,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,31.28636336195209,-5.7540078463110454e-05,0.0
10,partial_cloud,1.0,6.169492525423729,0.05,0.75,2.0,D60_hotspot,6.711864406779661,7.462467784829663,7.462467784829659,3.383536836952858e-16,0.14285714285714285
10,partial_cloud,1.0,6.169492525423729,0.05,0.75,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
10,partial_cloud,1.0,6.169492525423729,0.05,0.75,2.0,D21_guard,6.4,2.1022273869561374,2.134720940873976,-0.0324934900291363,0.0
10,partial_cloud,1.0,6.169492525423729,0.05,0.75,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
11,partial_cloud,1.0,6.169492525423729,0.12,0.6,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
11,partial_cloud,1.0,6.169492525423729,0.12,0.6,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.274084881866095,-0.002078476140155095,0.0
11,partial_cloud,1.0,6.169492525423729,0.12,0.6,2.0,D60_hotspot,6.169491525423728,25.887561191706766,160.41294233504286,-131.39816298900254,0.0
11,partial_cloud,1.0,6.169492525423729,0.12,0.6,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,47.599662477713316,-16.099979788588946,0.0
11,partial_cloud,1.0,6.169492525423729,0.12,0.6,2.0,D60_hotspot,6.711864406779661,7.462467784829663,7.478305980903617,-0.015737780551800386,0.0
11,partial_cloud,1.0,6.169492525423729,0.12,0.6,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
11,partial_cloud,1.0,6.169492525423729,0.12,0.6,2.0,D21_guard,6.4,2.1022273869561374,17.118988880422705,-14.74190832006853,0.0
11,partial_cloud,1.0,6.169492525423729,0.12,0.6,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
12,partial_cloud,1.0,6.169492525423729,0.12,0.75,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
12,partial_cloud,1.0,6.169492525423729,0.12,0.75,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.274512638198232,-0.0025733186491005236,0.0
12,partial_cloud,1.0,6.169492525423729,0.12,0.75,2.0,D60_hotspot,6.169491525423728,25.887561191706766,125.90161242020415,-99.86159453884181,0.0
12,partial_cloud,1.0,6.169492525423729,0.12,0.75,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,42.22170167333277,-10.932653053724263,0.0
12,partial_cloud,1.0,6.169492525423729,0.12,0.75,2.0,D60_hotspot,6.711864406779661,7.462467784829663,7.472714064288841,-0.010246173972761022,0.0
12,partial_cloud,1.0,6.169492525423729,0.12,0.75,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
12,partial_cloud,1.0,6.169492525423729,0.12,0.75,2.0,D21_guard,6.4,2.1022273869561374,13.143340004929684,-11.036943218235688,0.0
12,partial_cloud,1.0,6.169492525423729,0.12,0.75,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
13,partial_cloud,1.0,6.4406779661016955,0.05,0.6,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
13,partial_cloud,1.0,6.4406779661016955,0.05,0.6,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.271915904250342,0.0,0.0
13,partial_cloud,1.0,6.4406779661016955,0.05,0.6,2.0,D60_hotspot,6.169491525423728,25.887561191706766,25.887616274992453,-5.380280277918137e-05,0.0
13,partial_cloud,1.0,6.4406779661016955,0.05,0.6,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,240.95109358663436,-206.9223957920639,0.0
13,partial_cloud,1.0,6.4406779661016955,0.05,0.6,2.0,D60_hotspot,6.711864406779661,7.462467784829663,7.462644741259826,-0.00017583451121083726,0.0
13,partial_cloud,1.0,6.4406779661016955,0.05,0.6,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
13,partial_cloud,1.0,6.4406779661016955,0.05,0.6,2.0,D21_guard,6.4,2.1022273869561374,85.37725936071416,-82.02588111476257,0.0
13,partial_cloud,1.0,6.4406779661016955,0.05,0.6,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
14,partial_cloud,1.0,6.4406779661016955,0.05,0.75,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
14,partial_cloud,1.0,6.4406779661016955,0.05,0.75,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.271915904250342,0.0,0.0
14,partial_cloud,1.0,6.4406779661016955,0.05,0.75,2.0,D60_hotspot,6.169491525423728,25.887561191706766,25.887602143849108,-4.088971682712045e-05,0.0
14,partial_cloud,1.0,6.4406779661016955,0.05,0.75,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,171.83171898301126,-140.51016162414174,0.0
14,partial_cloud,1.0,6.4406779661016955,0.05,0.75,2.0,D60_hotspot,6.711864406779661,7.462467784829663,7.462582264094035,-0.00011447808579743781,0.0
14,partial_cloud,1.0,6.4406779661016955,0.05,0.75,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
14,partial_cloud,1.0,6.4406779661016955,0.05,0.75,2.0,D21_guard,6.4,2.1022273869561374,67.30878660233286,-65.18760814104114,0.0
14,partial_cloud,1.0,6.4406779661016955,0.05,0.75,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
15,partial_cloud,1.0,6.4406779661016955,0.12,0.6,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
15,partial_cloud,1.0,6.4406779661016955,0.12,0.6,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.271915910435048,-5.926652523244446e-09,0.0
15,partial_cloud,1.0,6.4406779661016955,0.12,0.6,2.0,D60_hotspot,6.169491525423728,25.887561191706766,36.354360212938644,-10.223484609938142,0.0
15,partial_cloud,1.0,6.4406779661016955,0.12,0.6,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,240.95109358663436,-206.9223957920639,0.0
15,partial_cloud,1.0,6.4406779661016955,0.12,0.6,2.0,D60_hotspot,6.711864406779661,7.462467784829663,41.08732089382679,-33.41166865499789,0.0
15,partial_cloud,1.0,6.4406779661016955,0.12,0.6,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
15,partial_cloud,1.0,6.4406779661016955,0.12,0.6,2.0,D21_guard,6.4,2.1022273869561374,112.90373791579796,-109.15945513007185,0.0
15,partial_cloud,1.0,6.4406779661016955,0.12,0.6,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
16,partial_cloud,1.0,6.4406779661016955,0.12,0.75,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
16,partial_cloud,1.0,6.4406779661016955,0.12,0.75,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.271915911654773,-7.3376668973694554e-09,0.0
16,partial_cloud,1.0,6.4406779661016955,0.12,0.75,2.0,D60_hotspot,6.169491525423728,25.887561191706766,33.66919291510983,-7.7697697720262635,0.0
16,partial_cloud,1.0,6.4406779661016955,0.12,0.75,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,171.83171898301126,-140.51016162414174,0.0
16,partial_cloud,1.0,6.4406779661016955,0.12,0.75,2.0,D60_hotspot,6.711864406779661,7.462467784829663,29.2155538130554,-21.752862078138442,0.0
16,partial_cloud,1.0,6.4406779661016955,0.12,0.75,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
16,partial_cloud,1.0,6.4406779661016955,0.12,0.75,2.0,D21_guard,6.4,2.1022273869561374,89.15205912738836,-87.02491966758379,0.0
16,partial_cloud,1.0,6.4406779661016955,0.12,0.75,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
17,pointamp_cloud,0.5,6.169492525423729,0.05,0.6,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
17,pointamp_cloud,0.5,6.169492525423729,0.05,0.6,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.271915904250342,0.0,0.0
17,pointamp_cloud,0.5,6.169492525423729,0.05,0.6,2.0,D60_hotspot,6.169491525423728,25.887561191706766,85.83524344691162,-58.63889266630714,0.0
17,pointamp_cloud,0.5,6.169492525423729,0.05,0.6,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,31.28633528791041,-2.9189452671998662e-05,0.0
17,pointamp_cloud,0.5,6.169492525423729,0.05,0.6,2.0,D60_hotspot,6.711864406779661,7.462467784829663,7.462467784829659,3.383536836952858e-16,0.14285714285714285
