sample_id,g_beta,g_center,g_half_width,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu,mismatch,score
12,0.247094583668001,0.0488418533056043,0.025540987640619277,5.195484456407264,5.195653411296092,0.0,5.195484456407264
8,0.24696395668406038,0.04878263434637338,0.02566915320418775,5.197751153165676,5.197920114359945,0.0,5.197751153165676
4,0.2472412741009146,0.04876036641411483,0.025852561126649378,5.198635764072165,5.198804724304274,0.0,5.198635764072165
2,0.24646141786891967,0.048824281338229775,0.025717819521948695,5.198697262283211,5.198866224498339,0.0,5.198697262283211
6,0.24673891764618455,0.0487363884428516,0.025510193586349487,5.199111881301839,5.199280853465183,0.0,5.199111881301839
14,0.2465959353374317,0.04880020562084392,0.02589550116509199,5.200233565689338,5.200402529758925,0.0,5.200233565689338
16,0.24687189294882117,0.048714121202100065,0.02573727399520576,5.2003507476695106,5.200519718217286,0.0,5.2003507476695106
1,0.24685602432694284,0.048681720333732664,0.02556010812781751,5.200515836155354,5.200684813478283,0.0,5.200515836155354
13,0.24722491682525724,0.048643646193202585,0.025625008970499037,5.200604534451578,5.200773511244478,0.0,5.200604534451578
10,0.24637342799194156,0.048738098551984875,0.025676559349521993,5.201067492018609,5.201236466137637,0.0,5.201067492018609
11,0.24672353675421327,0.04866648828582838,0.02578616321533918,5.20242766890965,5.202596646810292,0.0,5.20242766890965
9,0.24701010011434554,0.04861903912546113,0.0258466852825135,5.203070264928392,5.2032392447489,0.0,5.203070264928392
3,0.2466435423746705,0.04859910967964679,0.025619897747039794,5.203881335260007,5.204050325185811,0.0,5.203881335260007
5,0.24714121479839085,0.04855632743723691,0.02576812475770712,5.2039575189785054,5.204126505907965,0.0,5.2039575189785054
7,0.246358534800075,0.04865887761078775,0.025802133915945887,5.203959501687422,5.204128484766528,0.0,5.203959501687422
15,0.2465085362523794,0.048576256181206555,0.025591829916462302,5.20494476747826,5.205113762780378,0.0,5.20494476747826
