beta_d60_d72,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu,mean_signed_delta_mu_mumu,min_signed_delta_mu_mumu,max_signed_delta_mu_mumu,delta_p95_vs_v18,delta_max_vs_v18
0.25,0.5750278117791474,0.5750288705622433,0.5750182828433155,0.5750076952436713,0.5750288705622433,0.29266590266278714,0.29266595148511376
0.3,0.42579334113671496,0.42579437504462314,0.42578403610505877,0.42577369728349757,0.42579437504462314,0.1434314320203547,0.14343145596749363
0.35,0.2823619091163603,0.2823629190771295,0.2823528196352726,0.28234272031012075,0.2823629190771295,0.0,0.0
0.4,0.14450786237469426,0.14450884928181074,0.14449898040167514,0.14448911163693046,0.14450884928181074,-0.13785404674166601,-0.13785406979531878
0.45,0.01201432218360976,0.012015286897283595,0.012005639975703935,0.011995993168190111,0.012015286897283595,-0.2703475869327505,-0.2703476321798459
