n_inner,eta_power,xi_power,uniform_exact_p95_omega_bias,prolate_exact_p95_omega_bias,uniform_exact_p95_split_bias,prolate_exact_p95_split_bias,prolate_hotspot_p95_rel_d2_omega1,prolate_hotspot_p95_rel_d2_omega2,prolate_hotspot_p95_rel_d2_delta,prolate_omega1_D6,prolate_omega1_D12,prolate_omega1_D18,prolate_delta_D6,prolate_delta_D12,prolate_delta_D18,omega_bias_ratio_vs_baseline,split_bias_ratio_vs_baseline,smooth_omega_ratio_vs_baseline,smooth_delta_ratio_vs_baseline,tradeoff_score,beats_baseline_on_bias
401,0.75,2.0,0.2779384522084593,0.0014378001821047182,5.156054769785943,0.014333494825639033,0.00572176528851685,0.010724296889747529,0.494030877905063,0.7206960555512653,0.7215154782915915,0.718996180312864,0.01809744644446043,0.00025371839375254446,3.646642868782024e-06,0.0030089371297363624,0.0158463770445044,0.3040404017189889,0.5927726053714865,0.00037877220839433004,True
321,0.75,2.0,0.2779384522084593,0.001483224170141185,5.156054769785943,0.01514842297359031,0.00572083546775668,0.010719704662571003,0.49387065469995145,0.7208373887307562,0.721590625162338,0.7189515107025884,0.018101609742500413,0.0002538276252231908,3.643114566687089e-06,0.0031039975740767924,0.01674731982598964,0.30399099335230595,0.5925803584270491,0.0004016927841022611,True
481,0.75,2.0,0.2779384522084593,0.0016002461714294477,5.156054769785943,0.015788425813004346,0.005724531267092554,0.010729661734927905,0.49428684282389423,0.7204846650451725,0.721341256550516,0.7188855441505605,0.018090220696808545,0.0002533885730372498,3.6411881859654827e-06,0.0033488938044812654,0.01745487415424511,0.3041873789532685,0.5930797298825347,0.00044244545379185465,True
401,1.0,2.0,0.2779384522084593,0.0017251588441803897,5.156054769785943,0.01845165099611457,0.005723851111928197,0.010722405870336713,0.49408437743229117,0.7206862016681684,0.721441521751444,0.7187745125487266,0.01809490498411681,0.0002534377032157309,3.6301529031668167e-06,0.0036103031322118574,0.020399199381229822,0.3041512371964898,0.5928367978249535,0.0005156443096898909,True
481,1.0,2.0,0.2779384522084593,0.0017765636158660857,5.156054769785943,0.018389340925791045,0.005725984863215035,0.010728356601610067,0.4943243848459608,0.7204778286903214,0.721290279692708,0.7187501557797136,0.018088458691470688,0.0002531947517140365,3.6308001973850423e-06,0.0037178797816627513,0.020330312561928087,0.3042646194423013,0.593124775411522,0.0005301116766958029,True
481,1.25,2.0,0.2779384522084593,0.002047043661110728,5.156054769785943,0.021795211657763155,0.005727823598174258,0.010726509647570229,0.4943618001093949,0.7204727637028592,0.7212308456881595,0.7185403740642516,0.01808653988079223,0.00025297910160726467,3.6171358346326343e-06,0.004283923284173659,0.02409566863455401,0.30436232525291523,0.5931696688466864,0.0006649839694081803,True
241,0.75,2.0,0.2779384522084593,0.0022675917985143504,5.156054769785943,0.023641785021614577,0.005722796570918137,0.010714706498796748,0.4938178404205699,0.720909772988598,0.7215197868136951,0.7183318770982,0.018101981809356404,0.0002535823642247914,3.608568460489181e-06,0.004745472453374991,0.02613714547742327,0.3040952015053769,0.592516988181605,0.0007671998942490562,True
321,1.0,2.0,0.2779384522084593,0.0022941710127423265,5.156054769785943,0.02517183138757057,0.005724150097163608,0.01071668619957193,0.4939541045460954,0.720821911435727,0.7214713103486232,0.7183160076798466,0.01809762416597771,0.0002533768738722797,3.6026046887904783e-06,0.004801095748993651,0.027828686298796645,0.3041671245295939,0.5926804873560876,0.000800915539233252,True
401,1.25,2.0,0.2779384522084593,0.0024316559916556027,5.156054769785943,0.02657960044009539,0.005726563472686733,0.010719714642990123,0.494139407606737,0.7206788145591879,0.721352273627781,0.7182192246349199,0.01809212563554674,0.0002531156041680749,3.597233712904213e-06,0.005088815602546325,0.029385043591226782,0.3042953653130847,0.5929028268554032,0.0008723281428088416,True
481,1.5,2.0,0.2779384522084593,0.002676294171787776,5.156054769785943,0.02897789678380316,0.0057301166194782495,0.01072416131271341,0.494405700234682,0.7204692015211887,0.7211596206153983,0.7180448820035656,0.01808430379396464,0.0002527171924924243,3.5880085027528708e-06,0.0056007788869529875,0.03203647707546466,0.30448417071201067,0.5932223432701008,0.001002468658769406,True
401,1.5,2.0,0.2779384522084593,0.004558269293006836,5.156054769785943,0.048725335498941605,0.005729939983349902,0.01071622416907757,0.49420191321861384,0.7206734398555915,0.7212232849502962,0.716532234788157,0.018088871937642192,0.0002526781745680884,3.506832446875663e-06,0.00953925718870611,0.05386823292774865,0.30447478470669365,0.5929778254355723,0.002214016854459589,True
321,0.75,1.5,0.2779384522084593,0.005195278384830386,5.156054769785943,0.049453509929060294,0.005771559288872841,0.010784406342663085,0.4974848475274806,0.7179595214481082,0.7187902274885196,0.7162924313721865,0.01800211221674186,0.00024829540994952826,3.510889555191632e-06,0.010872349458566402,0.054673265246397665,0.30668633127185163,0.5969169183355597,0.002542206992966548,True
