beta_peak,center_D,sigma_D,D,eta,beta_eff,base_mu,cur_mu,delta_mu_current,base_width_ratio,cur_width_ratio,width_ratio_boost,mu_boost,delta_mu_boost,delta_log_width_current,delta_log_width_boost,acceptance_mismatch_boost
0.1,5.9,0.1,4.813559322033898,0.2,2.3385827438824595e-27,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085489743,14.72477481933794,1.304005886513174,-0.14908326617158255,-0.14908326617158255,0.0
0.1,5.9,0.15,4.813559322033898,0.2,4.059041020802788e-13,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085490279,14.72477481933705,1.304005886512284,-0.14908326617158255,-0.14908326617152223,0.0
0.1,5.9,0.2,4.813559322033898,0.2,3.910553080141003e-08,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.7445213722763,14.724774733492783,1.3040058006680173,-0.14908326617158255,-0.14908326034160163,0.0
0.1,6.0,0.1,4.813559322033898,0.2,2.7130236913906743e-32,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085489743,14.72477481933794,1.304005886513174,-0.14908326617158255,-0.14908326617158255,0.0
0.1,6.0,0.15,4.813559322033898,0.2,2.5993709470234666e-15,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085489752,14.724774819337926,1.3040058865131599,-0.14908326617158255,-0.14908326617158166,0.0
0.1,6.0,0.2,4.813559322033898,0.2,2.282250950171656e-09,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452088509233,14.724774814327905,1.304005881503139,-0.14908326617158255,-0.1490832658313374,0.0
0.1,6.1,0.1,4.813559322033898,0.2,1.1578703950238198e-37,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085489743,14.72477481933794,1.304005886513174,-0.14908326617158255,-0.14908326617158255,0.0
0.1,6.1,0.15,4.813559322033898,0.2,1.0673167154157311e-17,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085489743,14.72477481933794,1.304005886513174,-0.14908326617158255,-0.14908326617158255,0.0
0.1,6.1,0.2,4.813559322033898,0.2,1.0373253409440161e-10,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085626986,14.724774819110221,1.3040058862854558,-0.14908326617158255,-0.1490832661561176,0.0
0.2,5.9,0.1,4.813559322033898,0.2,4.677165487764919e-27,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085489743,14.72477481933794,1.304005886513174,-0.14908326617158255,-0.14908326617158255,0.0
0.2,5.9,0.15,4.813559322033898,0.2,8.118082041605576e-13,13.420768932824766,14.72477481933794,1.304005886513174,103.01194534980424,88.74452085489743,88.74452085490815,14.724774819336162,1.304005886511396,-0.14908326617158255,-0.1490832661714618,0.0
