combo_id,placement,peak72,width72,peak96,width96,D,is_reviewer_target,slice_p95_abs_delta_base,slice_p95_abs_delta_parent,slice_p95_abs_delta_guard,slice_mean_abs_improvement_vs_parent,slice_improved_fraction_vs_parent,slice_worsened_fraction_vs_parent,slice_acceptance_flip_fraction_vs_base
1,mu_linear_blend,0.3,0.02,0.3,0.02,4.0,1.0,0.9136772062233662,0.9136772062234826,0.9136772062234826,0.0,0.0,0.0,0.0
1,mu_linear_blend,0.3,0.02,0.3,0.02,4.8,0.0,0.11569959688635123,0.11569959784952033,0.11569959784952033,0.0,0.0,0.0,0.0
1,mu_linear_blend,0.3,0.02,0.3,0.02,5.6,0.0,0.3524325004012283,0.3574950418398899,0.3574950418398899,0.0,0.0,0.0,0.0
1,mu_linear_blend,0.3,0.02,0.3,0.02,6.4,1.0,2.1022273869561374,0.33294416226203083,0.33294416226203083,0.0,0.0,0.0,0.0
1,mu_linear_blend,0.3,0.02,0.3,0.02,7.2,0.0,0.7569953657224833,1.4133093439135251,1.2164151504562124,0.1968940218866065,1.0,0.0,0.0
1,mu_linear_blend,0.3,0.02,0.3,0.02,8.0,1.0,0.3226590996076344,0.8785726194620134,0.8785726194620134,0.0,0.0,0.0,0.0
1,mu_linear_blend,0.3,0.02,0.3,0.02,8.8,0.0,0.2966173772580305,0.4950422127882499,0.4950422127882499,0.0,0.0,0.0,0.0
1,mu_linear_blend,0.3,0.02,0.3,0.02,9.6,0.0,3.8406522406830845e-10,0.47675433048053917,0.3337280311923847,0.14302629860434818,1.0,0.0,0.0
1,mu_linear_blend,0.3,0.02,0.3,0.02,10.4,0.0,0.13275502145859708,0.3786771367944082,0.3786771367944082,0.0,0.0,0.0,0.0
1,mu_linear_blend,0.3,0.02,0.3,0.02,11.2,0.0,0.039418146262653206,0.03988482528714281,0.03988482528714281,0.0,0.0,0.0,0.0
1,mu_linear_blend,0.3,0.02,0.3,0.02,12.0,0.0,0.007342271069870197,0.0271180794127132,0.0271180794127132,5.923446015530561e-19,0.1951219512195122,0.024390243902439025,0.0
1,mu_linear_blend,0.3,0.02,0.3,0.02,12.8,0.0,0.0018768667329816001,0.0021423152164903,0.0021423152164903,1.0577582170590288e-20,0.04878048780487805,0.024390243902439025,0.0
1,mu_linear_blend,0.3,0.02,0.3,0.02,13.6,0.0,6.05176014948e-05,6.97662825218e-05,6.97662825218e-05,0.0,0.0,0.0,0.0
1,mu_linear_blend,0.3,0.02,0.3,0.02,14.4,0.0,1.8854476359752004e-05,3.6819709220216586e-05,3.6819709220216586e-05,0.0,0.0,0.0,0.0
