case,case_label,target_D,eval_D,eta,abs_delta_mu_mumu,acceptance_mismatch
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,3.81,5.387709739553017,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,4.0,5.387540035993716,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,0.2,0.28707081192518746,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,0.39,0.28706979832161394,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,0.5800000000000001,0.2870687846753186,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,0.77,0.2870677711059981,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,0.96,0.2870667575046628,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,1.15,0.2870657439454982,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,1.34,0.28706473035995206,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,1.53,0.2870637167573422,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,1.72,0.2870627032009514,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,1.91,0.2870616896152671,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,2.1,0.287060676042187,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,2.29,0.28705966246019443,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,2.4800000000000004,0.2870586488656648,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,2.6700000000000004,0.28705763530337336,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,2.8600000000000003,0.2870566217172543,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,3.0500000000000003,0.287055608157476,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,3.24,0.28705459457658034,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,3.43,0.2870535810085193,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,3.62,0.28705256744262586,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,3.81,0.28705155387682435,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,4.0,0.2870505403028818,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,0.2,0.230569580765982,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,0.39,0.2305696029872597,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,0.5800000000000001,0.230569625036249,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,0.77,0.2305696469748293,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,0.96,0.2305696687534522,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,1.15,0.23056969064844957,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,1.34,0.23056971259490266,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,1.53,0.23056973451098184,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,1.72,0.23056975640942445,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,1.91,0.23056977834207837,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,2.1,0.23056980033290442,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,2.29,0.2305698222267334,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,2.4800000000000004,0.2305698441297106,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,2.6700000000000004,0.2305698660054878,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,2.8600000000000003,0.2305698879635263,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,3.0500000000000003,0.23056990986825898,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,3.24,0.23056993176418894,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,3.43,0.23056995371342426,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,3.62,0.23056997561804593,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,3.81,0.23056999754572605,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,4.0,0.23057001943564126,0.0
