pair,layer,p95_abs_log_chi_eff_ratio,p95_abs_log_g_eff_ratio,p95_abs_log_gamma_ratio,p95_abs_log_p_kin_ratio,p95_abs_log_W_ratio,p95_abs_delta_P,max_abs_delta_P,p95_abs_delta_generation_ratio,winner_mismatch_fraction,hotspot_p95_abs_log_gamma_ratio,hotspot_p95_abs_log_W_ratio,hotspot_p95_abs_delta_P,hotspot_winner_mismatch_fraction
uniform_vs_runtime,1,4.7806758551883e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,2,4.7806758551883e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,3,4.7806758551883e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_vs_uniform,1,4.966741648226112,0.1685041338710368,4.613831584074497e-05,0.011210224888006262,0.1684581616770857,0.0025735426532162457,0.003372267104398863,0.0007593887728712578,0.0,4.962512963420438e-06,0.14412613065437063,0.00046418029461865463,0.0
hybrid_vs_uniform,2,4.966741648226112,0.1679918996265782,4.6272037994993694e-05,0.011722430395551257,0.1679463380437263,0.0028913364670352204,0.007618020171478168,0.0007593887728712578,0.0,4.970612907441456e-06,0.14439154754001152,0.001903110271772257,0.0
hybrid_vs_uniform,3,4.966741648226112,0.21063016733879597,4.629695063811314e-05,0.0310000678196106,0.21058496470049673,0.002393812061929439,0.0062002931232606195,0.0007593887728712578,0.0,4.97211811123636e-06,0.1801588980166629,0.0019544937187747345,0.0
hybrid_vs_runtime,1,4.966741648225891,0.1685041338710368,4.613831584074497e-05,0.011210224888006262,0.1684581616770857,0.0025735426532162457,0.003372267104398863,0.0007593887728712578,0.0,4.962512963420438e-06,0.14412613065437063,0.00046418029461865463,0.0
hybrid_vs_runtime,2,4.966741648225891,0.1679918996265782,4.6272037994993694e-05,0.011722430395551257,0.1679463380437263,0.0028913364670352204,0.007618020171478168,0.0007593887728712578,0.0,4.970612907441456e-06,0.14439154754001152,0.001903110271772257,0.0
hybrid_vs_runtime,3,4.966741648225891,0.21063016733879597,4.629695063811314e-05,0.0310000678196106,0.21058496470049673,0.002393812061929439,0.0062002931232606195,0.0007593887728712578,0.0,4.97211811123636e-06,0.1801588980166629,0.0019544937187747345,0.0
