D,eta,mu_full,chi2_full,mu_base,chi2_base,mu_parent,chi2_parent,mu_candidate,chi2_candidate,case,abs_delta_base,abs_delta_parent,abs_delta_candidate,is_reviewer_target,is_drift_strip,mu_guard,residual_frac,abs_delta_guard,abs_improvement_vs_candidate,combo_id
6.424242424242424,0.2,48.59010744465129,13918.164003985832,84.5444097254462,43206.20542870544,68.40453034797147,28060.04429470143,68.40453034797147,28060.04429470143,D100E41_monitor,35.95430228079491,19.814422903320185,19.814422903320185,True,False,68.40453034797146,1.0,19.81442290332017,1.4210854715202004e-14,185
6.424242424242424,0.295,48.59017607687825,13918.204488542326,84.54452353501603,43206.3237116552,68.40462243082116,28060.121419355633,68.40462243082116,28060.121419355633,D100E41_monitor,35.954347458137775,19.814446353942913,19.814446353942913,True,False,68.40462243082115,1.0,19.8144463539429,1.4210854715202004e-14,185
6.424242424242424,0.39,48.59024470920254,13918.24497321511,84.54463734519103,43206.44199539584,68.4047145141605,28060.198544525934,68.4047145141605,28060.198544525934,D100E41_monitor,35.9543926359885,19.814469804957966,19.814469804957966,True,False,68.40471451416049,1.0,19.81446980495795,1.4210854715202004e-14,185
6.424242424242424,0.485,48.59031334110087,13918.285457695514,84.5447511553668,43206.56027929916,68.40480659750045,28060.27566980274,68.40480659750045,28060.27566980274,D100E41_monitor,35.95443781426593,19.814493256399587,19.814493256399587,True,False,68.40480659750045,1.0,19.814493256399587,0.0,185
6.424242424242424,0.5800000000000001,48.59038197307005,13918.325942276591,84.54486496600008,43206.67856383991,68.4048986812106,28060.352795495604,68.4048986812106,28060.352795495604,D100E41_monitor,35.954482992930025,19.814516708140545,19.814516708140545,True,False,68.40489868121062,1.0,19.814516708140573,-2.842170943040401e-14,185
6.424242424242424,0.675,48.59045060477604,13918.366426761297,84.54497877486986,43206.796846709745,68.40499076349387,28060.429920099356,68.40499076349387,28060.429920099356,D100E41_monitor,35.95452817009382,19.814540158717833,19.814540158717833,True,False,68.4049907634939,1.0,19.81454015871786,-2.842170943040401e-14,185
6.424242424242424,0.77,48.5905192362155,13918.406911147657,84.54509258333829,43206.91512932434,68.40508284545244,28060.50704453715,68.40508284545244,28060.50704453715,D100E41_monitor,35.95457334712279,19.81456360923694,19.81456360923694,True,False,68.40508284545244,1.0,19.81456360923694,0.0,185
6.424242424242424,0.865,48.590587867367496,13918.447395423327,84.54520639192829,43207.03341222719,68.40517492750935,28060.584169163285,68.40517492750935,28060.584169163285,D100E41_monitor,35.95461852456079,19.814587060141854,19.814587060141854,True,False,68.40517492750935,1.0,19.814587060141854,0.0,185
6.424242424242424,0.96,48.5906564985832,13918.487879795455,84.54532020098559,43207.151695777626,68.40526700994435,28060.661294212096,68.40526700994435,28060.661294212096,D100E41_monitor,35.954663702402385,19.814610511361153,19.814610511361153,True,False,68.40526700994437,1.0,19.814610511361167,-1.4210854715202004e-14,185
6.424242424242424,1.055,48.59072512942821,13918.528364007792,84.54543400750093,43207.26997684807,68.40535909032268,28060.73841764429,68.40535909032268,28060.73841764429,D100E41_monitor,35.95470887807272,19.81463396089447,19.81463396089447,True,False,68.40535909032269,1.0,19.814633960894483,-1.4210854715202004e-14,185
6.424242424242424,1.15,48.590793760174,13918.568848220484,84.54554781246479,43207.388256467915,68.4054511694457,28060.815540131065,68.4054511694457,28060.815540131065,D100E41_monitor,35.95475405229079,19.814657409271696,19.814657409271696,True,False,68.40545116944571,1.0,19.81465740927171,-1.4210854715202004e-14,185
6.424242424242424,1.245,48.59086239070765,13918.60933236691,84.54566161759374,43207.50653642124,68.4055432487023,28060.892662835708,68.4055432487023,28060.892662835708,D100E41_monitor,35.95479922688609,19.814680857994652,19.814680857994652,True,False,68.4055432487023,1.0,19.814680857994652,0.0,185
