combo_id,peak,center_D,width_D,region,D,slice_p95_abs_delta_base,slice_p95_abs_delta_runtime,slice_p95_abs_delta_guard,slice_mean_abs_improvement_vs_base,slice_mean_abs_improvement_vs_runtime,slice_improved_fraction_vs_base,slice_improved_fraction_vs_runtime
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,8.950884564633627,9.736762911466718,9.736762911466718,-0.779729412975039,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,10.271915904250342,10.289321838292217,10.289321838292217,-0.017397880608360845,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,6.169491525423728,25.887561191706766,22.8165345114201,22.8165345114201,3.0700596061515544,0.0,1.0,0.0
1,0.85,6.39,0.003,D60_hotspot,6.4406779661016955,31.28630580743782,6.846329347405117,6.846329347405117,24.439384057967015,0.0,1.0,0.0
1,0.85,6.39,0.003,D60_hotspot,6.711864406779661,7.462467784829663,1.7268649543238617,1.7268649543238617,5.735517205664442,0.0,1.0,0.0
1,0.85,6.39,0.003,D21_guard,4.0,0.9136772062233662,0.7688606834098684,0.7688606834098684,0.12898721105220606,0.0,1.0,0.0
1,0.85,6.39,0.003,D21_guard,6.4,2.1022273869561374,44.13924402166741,43.987293359524216,-41.883941946050086,0.1519469564191826,0.0,1.0
1,0.85,6.39,0.003,D21_guard,8.0,0.3226590996076344,1.3897781615027076,1.3897781615027076,-1.0671190542193356,0.0,0.0,0.0
2,0.85,6.39,0.005,D60_hotspot,4.813559322033898,8.950884564633627,9.736762911466718,9.736762911466718,-0.779729412975039,0.0,0.0,0.0
2,0.85,6.39,0.005,D60_hotspot,5.627118644067797,10.271915904250342,10.289321838292217,10.289321838292217,-0.017397880608360845,0.0,0.0,0.0
2,0.85,6.39,0.005,D60_hotspot,6.169491525423728,25.887561191706766,22.8165345114201,22.8165345114201,3.0700596061515544,0.0,1.0,0.0
2,0.85,6.39,0.005,D60_hotspot,6.4406779661016955,31.28630580743782,6.846329347405117,6.846329347405117,24.439384057967015,0.0,1.0,0.0
2,0.85,6.39,0.005,D60_hotspot,6.711864406779661,7.462467784829663,1.7268649543238617,1.7268649543238617,5.735517205664442,0.0,1.0,0.0
2,0.85,6.39,0.005,D21_guard,4.0,0.9136772062233662,0.7688606834098684,0.7688606834098684,0.12898721105220606,0.0,1.0,0.0
2,0.85,6.39,0.005,D21_guard,6.4,2.1022273869561374,44.13924402166741,38.81986722203351,-36.71664183009036,5.319247072378915,0.0,1.0
2,0.85,6.39,0.005,D21_guard,8.0,0.3226590996076344,1.3897781615027076,1.3897781615027076,-1.0671190542193356,0.0,0.0,0.0
3,0.85,6.39,0.0075,D60_hotspot,4.813559322033898,8.950884564633627,9.736762911466718,9.736762911466718,-0.779729412975039,0.0,0.0,0.0
3,0.85,6.39,0.0075,D60_hotspot,5.627118644067797,10.271915904250342,10.289321838292217,10.289321838292217,-0.017397880608360845,0.0,0.0,0.0
3,0.85,6.39,0.0075,D60_hotspot,6.169491525423728,25.887561191706766,22.8165345114201,22.8165345114201,3.0700596061515544,0.0,1.0,0.0
3,0.85,6.39,0.0075,D60_hotspot,6.4406779661016955,31.28630580743782,6.846329347405117,6.846329349934621,24.439384055437575,-2.5294404454576754e-09,1.0,0.0
3,0.85,6.39,0.0075,D60_hotspot,6.711864406779661,7.462467784829663,1.7268649543238617,1.7268649543238617,5.735517205664442,0.0,1.0,0.0
3,0.85,6.39,0.0075,D21_guard,4.0,0.9136772062233662,0.7688606834098684,0.7688606834098684,0.12898721105220606,0.0,1.0,0.0
3,0.85,6.39,0.0075,D21_guard,6.4,2.1022273869561374,44.13924402166741,27.980404080827824,-25.87744303823458,16.15844586423469,0.0,1.0
3,0.85,6.39,0.0075,D21_guard,8.0,0.3226590996076344,1.3897781615027076,1.3897781615027076,-1.0671190542193356,0.0,0.0,0.0
4,0.85,6.39,0.01,D60_hotspot,4.813559322033898,8.950884564633627,9.736762911466718,9.736762911466718,-0.779729412975039,0.0,0.0,0.0
4,0.85,6.39,0.01,D60_hotspot,5.627118644067797,10.271915904250342,10.289321838292217,10.289321838292217,-0.017397880608360845,0.0,0.0,0.0
4,0.85,6.39,0.01,D60_hotspot,6.169491525423728,25.887561191706766,22.8165345114201,22.8165345114201,3.0700596061515544,0.0,1.0,0.0
