mode,p95_abs_delta_mu,max_abs_delta_mu,acceptance_mismatch,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu
fullwidthrefamp_pointamp2_widthboost,30.538947721551175,30.545371906720547,0.0,0.7465120744269242,30.545371906720547,,4.945935673403682,2.6032105963583376
fullwidthrefamp_pointamp_widthboost,30.538947721551175,30.545371906720547,0.0,0.7465120744269242,30.545371906720547,,5.68808166121223,20.815226903323516
