mode,layer,D,eta,amp,amp_ref,amp_ratio,partial_ratio,width_ratio,mu,chi2,mu_identity_residual,delta_log_amp_point,delta_log_amp_ref,delta_log_amp_ratio,delta_log_partial,delta_log_width,delta_log_mu,delta_mu,path_closure_residual,dominant_partial,dominant_width,acceptance_mismatch
tailm2_detlin,2,4.0,0.2,0.0016149254340001808,4.874270363819415e-05,33.131634346494195,1097.705194469794,558.6370386096645,1.9649703091684754,1.9949465640120172,0.0,0.08692385984039652,0.10644189811252298,-0.019518038272126545,-0.03903607654425308,0.16440087166342138,-0.20343694820767444,-0.4433127826324137,2.7755575615628914e-17,0.0,1.0,1.0
cell_direct_runtime,3,4.0,0.2,0.000344593326539179,3.977923286492469e-06,86.62643840048106,7504.13982995234,473.94869895699594,15.833232260087359,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,3,4.0,0.2,0.000344199390105059,3.961785777460441e-06,86.87985909366749,7548.109916135518,476.7177786078706,15.833497836346266,,0.0,-0.001143846232843296,-0.00406501828313594,0.00292117205029271,0.005842344100585204,0.0058255708967775875,1.6773203807723787e-05,0.0002655762589078847,1.0686167662560253e-16,1.0,0.0,0.0
release_sumanchor,3,4.0,0.2,0.00034459332653744403,2.740266641607103e-06,125.75175032432172,15813.502709630548,997.3904103799387,15.85487743320759,,0.0,-5.03486141668776e-12,-0.3727046656841417,0.37270466567910676,0.7454093313582134,0.7440431926584826,0.0013661386997306894,0.021645173120232286,-1.0061396160665481e-16,1.0,0.0,0.0
release_eftsumanchor,3,4.0,0.2,0.00034459332653744403,2.740266641607103e-06,125.75175032432172,15813.502709630548,997.3904103799387,15.85487743320759,,0.0,-5.03486141668776e-12,-0.3727046656841417,0.37270466567910676,0.7454093313582134,0.7440431926584826,0.0013661386997306894,0.021645173120232286,-1.0061396160665481e-16,1.0,0.0,0.0
release_fullsumanchor,3,4.0,0.2,0.00034459332653744403,2.740266641607103e-06,125.75175032432172,15813.502709630548,997.3904103799387,15.85487743320759,,0.0,-5.03486141668776e-12,-0.3727046656841417,0.37270466567910676,0.7454093313582134,0.7440431926584826,0.0013661386997306894,0.021645173120232286,-1.0061396160665481e-16,1.0,0.0,0.0
tailm2_detlin,3,4.0,0.2,0.0003445301639141641,2.740266641607103e-06,125.72870051510941,15807.706133218073,558.6370386096645,28.296917391228266,,0.0,-0.00018331293611907173,-0.3727046656841417,0.3725213527480227,0.7450427054960455,0.16440087166342138,0.5806418338326239,12.463685131140908,-1.1102230246251565e-16,1.0,0.0,0.0
cell_direct_runtime,1,4.0,0.6,0.00016662024006418267,1.1035886408390427e-05,15.09803869832365,227.95077253607852,464.4526781413878,0.4907943979315072,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,1,4.0,0.6,0.00016659767161365934,1.1074763961967275e-05,15.042999759253165,226.2918417568908,467.16608775874124,0.48439269819977765,,0.0,-0.00013545760757096076,0.0035166395371815616,-0.0036520971447526413,-0.007304194289505219,0.0058251666656229505,-0.013129360955128283,-0.006401699731729549,-1.1275702593849246e-16,1.0,0.0,0.0
release_sumanchor,1,4.0,0.6,0.00016662024005912124,1.0744940970675008e-05,15.506854855122949,240.46254749785018,977.3756838546628,0.24602878040662132,,0.0,-3.037703422183521e-11,-0.026717327053518147,0.026717327023141058,0.05343465404628205,0.7440114300484079,-0.6905767760021257,-0.24476561752488588,1.1102230246251565e-16,0.0,1.0,0.0
release_eftsumanchor,1,4.0,0.6,0.00016662024005912124,1.0744940970675008e-05,15.506854855122949,240.46254749785018,977.3756838546628,0.24602878040662132,,0.0,-3.037703422183521e-11,-0.026717327053518147,0.026717327023141058,0.05343465404628205,0.7440114300484079,-0.6905767760021257,-0.24476561752488588,1.1102230246251565e-16,0.0,1.0,0.0
release_fullsumanchor,1,4.0,0.6,0.00016662024005912124,1.0744940970675008e-05,15.506854855122949,240.46254749785018,977.3756838546628,0.24602878040662132,,0.0,-3.037703422183521e-11,-0.026717327053518147,0.026717327023141058,0.05343465404628205,0.7440114300484079,-0.6905767760021257,-0.24476561752488588,1.1102230246251565e-16,0.0,1.0,0.0
tailm2_detlin,1,4.0,0.6,0.0001665896992138895,1.0744940970675008e-05,15.504012508634952,240.37440386790905,548.1021525733114,0.4385576716664286,,0.0,-0.0001833129614612267,-0.026717327053518147,0.026534014092056968,0.0530680281841138,0.16560200330011726,-0.11253397511600347,-0.05223672626507858,0.0,0.0,1.0,0.0
cell_direct_runtime,2,4.0,0.6,0.0014889075549423792,4.3821020360683625e-05,33.97701702715787,1154.4376860637758,464.4526781413878,2.4855873168468285,7.365623890616853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,2,4.0,0.6,0.0014821359369538974,4.3711964945909345e-05,33.90687055107091,1149.6758705670798,467.16608775874124,2.4609574639347693,7.035192126743109,0.0,-0.004558418436262893,-0.0024917571545870557,-0.0020666612816757617,-0.004133322563351509,0.0058251666656229505,-0.009958489228974523,-0.024629852912059214,-6.418476861114186e-17,0.0,1.0,0.0
release_sumanchor,2,4.0,0.6,0.0014889075549256333,4.874270363819415e-05,30.5462652621293,933.0743214643671,977.3756838546628,0.9546731485936135,1.239475028647036,0.0,-1.1247114351028397e-11,0.10644189811252298,-0.10644189812377025,-0.21288379624754036,0.7440114300484079,-0.9568952262959483,-1.530914168253215,0.0,0.0,1.0,1.0
release_eftsumanchor,2,4.0,0.6,0.0014889075549256333,4.874270363819415e-05,30.5462652621293,933.0743214643671,977.3756838546628,0.9546731485936135,1.239475028647036,0.0,-1.1247114351028397e-11,0.10644189811252298,-0.10644189812377025,-0.21288379624754036,0.7440114300484079,-0.9568952262959483,-1.530914168253215,0.0,0.0,1.0,1.0
release_fullsumanchor,2,4.0,0.6,0.0014889075549256333,4.874270363819415e-05,30.5462652621293,933.0743214643671,977.3756838546628,0.9546731485936135,1.239475028647036,0.0,-1.1247114351028397e-11,0.10644189811252298,-0.10644189812377025,-0.21288379624754036,0.7440114300484079,-0.9568952262959483,-1.530914168253215,0.0,0.0,1.0,1.0
tailm2_detlin,2,4.0,0.6,0.001624120642581263,4.874270363819415e-05,33.3202822444306,1110.241208848517,548.1021525733114,2.025610013819489,2.4461743086951335,0.0,0.08692385984039652,0.10644189811252298,-0.019518038272126434,-0.039036076544252854,0.16560200330011726,-0.2046380798443702,-0.4599773030273395,-1.1102230246251565e-16,0.0,1.0,1.0
cell_direct_runtime,3,4.0,0.6,0.0003411139108492788,3.977923286492469e-06,85.75175695508592,7353.363820884127,464.4526781413878,15.832320851954758,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,3,4.0,0.6,0.0003407239520563496,3.961785777460441e-06,86.0026188177086,7396.450443504084,467.16608775874124,15.832592812952289,,0.0,-0.0011438462328431848,-0.00406501828313594,0.00292117205029271,0.005842344100585426,0.0058251666656229505,1.717743496255045e-05,0.0002719609975301296,7.539270856921076e-17,1.0,0.0,0.0
release_sumanchor,3,4.0,0.6,0.00034111391084756137,2.740266641607103e-06,124.48201414717289,15495.771846136951,977.3756838546628,15.854468350412935,,0.0,-5.034750394385297e-12,-0.3727046656841417,0.37270466567910676,0.7454093313582136,0.7440114300484079,0.0013979013098056397,0.02214749845817643,-1.3162214373974024e-16,1.0,0.0,0.0
release_eftsumanchor,3,4.0,0.6,0.00034111391084756137,2.740266641607103e-06,124.48201414717289,15495.771846136951,977.3756838546628,15.854468350412935,,0.0,-5.034750394385297e-12,-0.3727046656841417,0.37270466567910676,0.7454093313582136,0.7440114300484079,0.0013979013098056397,0.02214749845817643,-1.3162214373974024e-16,1.0,0.0,0.0
release_fullsumanchor,3,4.0,0.6,0.00034111391084756137,2.740266641607103e-06,124.48201414717289,15495.771846136951,977.3756838546628,15.854468350412935,,0.0,-5.034750394385297e-12,-0.3727046656841417,0.37270466567910676,0.7454093313582136,0.7440114300484079,0.0013979013098056397,0.02214749845817643,-1.3162214373974024e-16,1.0,0.0,0.0
tailm2_detlin,3,4.0,0.6,0.0003410513859877131,2.740266641607103e-06,124.45919707568834,15490.091736725028,548.1021525733114,28.261322572808453,,0.0,-0.00018331293611896068,-0.3727046656841417,0.3725213527480227,0.7450427054960455,0.16560200330011726,0.5794407021959281,12.429001720853694,-1.1102230246251565e-16,1.0,0.0,0.0
cell_direct_runtime,1,4.0,1.0,0.0001699659617310206,1.1035886408390427e-05,15.401206159733384,237.19715117460953,455.174933356336,0.5211120687722901,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,1,4.0,1.0,0.00016994294010773823,1.1074763961967275e-05,15.345062042979224,235.4709291028817,457.8339527796625,0.5143151303507728,,0.0,-0.00013545760757084974,0.0035166395371815616,-0.0036520971447524184,-0.007304194289504884,0.005824755884822593,-0.013128950174327633,-0.006796938421517296,-1.5612511283791264e-16,1.0,0.0,0.0
release_sumanchor,1,4.0,1.0,0.00016996596172585754,1.0744940970675008e-05,15.818231313669108,250.2164418927419,957.8210435784478,0.2612350642850003,,0.0,-3.037692319953275e-11,-0.026717327053518147,0.026717327023141276,0.053434654046282476,0.743979144434254,-0.6905444903879717,-0.2598770044872898,-2.220446049250313e-16,0.0,1.0,0.0
release_eftsumanchor,1,4.0,1.0,0.00016996596172585754,1.0744940970675008e-05,15.818231313669108,250.2164418927419,957.8210435784478,0.2612350642850003,,0.0,-3.037692319953275e-11,-0.026717327053518147,0.026717327023141276,0.053434654046282476,0.743979144434254,-0.6905444903879717,-0.2598770044872898,-2.220446049250313e-16,0.0,1.0,0.0
release_fullsumanchor,1,4.0,1.0,0.00016996596172585754,1.0744940970675008e-05,15.818231313669108,250.2164418927419,957.8210435784478,0.2612350642850003,,0.0,-3.037692319953275e-11,-0.026717327053518147,0.026717327023141276,0.053434654046282476,0.743979144434254,-0.6905444903879717,-0.2598770044872898,-2.220446049250313e-16,0.0,1.0,0.0
tailm2_detlin,1,4.0,1.0,0.00016993480762279126,1.0744940970675008e-05,15.815331893081195,250.12472288831123,537.7969057719488,0.46509141314095975,,0.0,-0.00018331296146100463,-0.026717327053518147,0.026534014092057183,0.05306802818411421,0.16679917634937375,-0.11373114816525949,-0.05602065563133035,4.163336342344337e-17,0.0,1.0,0.0
cell_direct_runtime,2,4.0,1.0,0.0014970377069760457,4.3821020360683625e-05,34.16254789720034,1167.0796788285074,455.174933356336,2.564024495423726,8.468456412165374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,2,4.0,1.0,0.0014902291126933827,4.3711964945909345e-05,34.09201838758432,1162.2657177393871,457.8339527796625,2.5386184460171304,8.102824785065405,0.0,-0.004558418436262893,-0.0024917571545870557,-0.0020666612816758727,-0.0041333225633518435,0.005824755884822593,-0.009958078448174534,-0.02540604940659552,-9.71445146547012e-17,0.0,1.0,0.0
release_sumanchor,2,4.0,1.0,0.001497037706959208,4.874270363819415e-05,30.713062575916467,943.2922127921606,957.8210435784478,0.9848313723281679,1.0772811837682017,0.0,-1.1247336395633325e-11,0.10644189811252298,-0.10644189812377038,-0.21288379624754078,0.743979144434254,-0.9568629406817948,-1.579193123095558,0.0,0.0,1.0,1.0
release_eftsumanchor,2,4.0,1.0,0.001497037706959208,4.874270363819415e-05,30.713062575916467,943.2922127921606,957.8210435784478,0.9848313723281679,1.0772811837682017,0.0,-1.1247336395633325e-11,0.10644189811252298,-0.10644189812377038,-0.21288379624754078,0.743979144434254,-0.9568629406817948,-1.579193123095558,0.0,0.0,1.0,1.0
release_fullsumanchor,2,4.0,1.0,0.001497037706959208,4.874270363819415e-05,30.713062575916467,943.2922127921606,957.8210435784478,0.9848313723281679,1.0772811837682017,0.0,-1.1247336395633325e-11,0.10644189811252298,-0.10644189812377038,-0.21288379624754078,0.743979144434254,-0.9568629406817948,-1.579193123095558,0.0,0.0,1.0,1.0
tailm2_detlin,2,4.0,1.0,0.00163298912316716,4.874270363819415e-05,33.502227026396845,1122.3992157282353,537.7969057719488,2.0870317468955193,2.9500788827644313,0.0,0.08692385984039652,0.10644189811252298,-0.01951803827212666,-0.0390360765442532,0.16679917634937375,-0.20583525289362703,-0.4769927485282066,-8.326672684688674e-17,0.0,1.0,1.0
cell_direct_runtime,3,4.0,1.0,0.0003376798577517965,3.977923286492469e-06,84.88847909622346,7206.053883269968,455.174933356336,15.831394383110004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,3,4.0,1.0,0.000337293824741892,3.961785777460441e-06,85.13681548882282,7248.277351577861,457.8339527796625,15.831672831538931,,0.0,-0.0011438462328435183,-0.00406501828313594,0.002921172050292489,0.005842344100584984,0.005824755884822593,1.758821576228782e-05,0.00027844842892754684,-1.0344643978227319e-16,1.0,0.0,0.0
release_sumanchor,3,4.0,1.0,0.0003376798577500963,2.740266641607103e-06,123.22883204973617,15185.345048342084,957.8210435784478,15.854052435107487,,0.0,-5.0349724389902225e-12,-0.3727046656841417,0.37270466567910676,0.7454093313582134,0.743979144434254,0.0014301869239593983,0.022658051997483497,-6.613633252161577e-17,1.0,0.0,0.0
release_eftsumanchor,3,4.0,1.0,0.0003376798577500963,2.740266641607103e-06,123.22883204973617,15185.345048342084,957.8210435784478,15.854052435107487,,0.0,-5.0349724389902225e-12,-0.3727046656841417,0.37270466567910676,0.7454093313582134,0.743979144434254,0.0014301869239593983,0.022658051997483497,-6.613633252161577e-17,1.0,0.0,0.0
release_fullsumanchor,3,4.0,1.0,0.0003376798577500963,2.740266641607103e-06,123.22883204973617,15185.345048342084,957.8210435784478,15.854052435107487,,0.0,-5.0349724389902225e-12,-0.3727046656841417,0.37270466567910676,0.7454093313582134,0.743979144434254,0.0014301869239593983,0.022658051997483497,-6.613633252161577e-17,1.0,0.0,0.0
tailm2_detlin,3,4.0,1.0,0.000337617962338892,2.740266641607103e-06,123.20624468168064,15179.77872856216,537.7969057719488,28.22585731833701,,0.0,-0.00018331293611896068,-0.3727046656841417,0.3725213527480227,0.7450427054960455,0.16679917634937375,0.5782435291466715,12.394462935227006,-1.1102230246251565e-16,1.0,0.0,0.0
cell_direct_runtime,1,4.0,2.0,0.00017838446515910583,1.1035886408390427e-05,16.164035996554176,261.27605969789914,432.9368006115889,0.6034969984736965,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,1,4.0,2.0,0.00017836030326272084,1.1074763961967275e-05,16.105111032184713,259.3746013589977,435.4654512921123,0.5956261296720139,,0.0,-0.00013545760757096076,0.0035166395371815616,-0.0036520971447527527,-0.007304194289505443,0.005823701681290249,-0.01312789597079573,-0.00787086880168264,-3.9898639947466563e-17,1.0,0.0,0.0
release_sumanchor,1,4.0,2.0,0.00017838446515368704,1.0744940970675008e-05,16.60171662557591,275.6169949159236,910.9499990217773,0.30255995961567006,,0.0,-3.037703422183521e-11,-0.026717327053518147,0.026717327023141058,0.05343465404628205,0.743896249605233,-0.6904615955589507,-0.3009370388580265,3.3306690738754696e-16,0.0,1.0,0.0
release_eftsumanchor,1,4.0,2.0,0.00017838446515368704,1.0744940970675008e-05,16.60171662557591,275.6169949159236,910.9499990217773,0.30255995961567006,,0.0,-3.037703422183521e-11,-0.026717327053518147,0.026717327023141058,0.05343465404628205,0.743896249605233,-0.6904615955589507,-0.3009370388580265,3.3306690738754696e-16,0.0,1.0,0.0
release_fullsumanchor,1,4.0,2.0,0.00017838446515368704,1.0744940970675008e-05,16.60171662557591,275.6169949159236,910.9499990217773,0.30255995961567006,,0.0,-3.037703422183521e-11,-0.026717327053518147,0.026717327023141058,0.05343465404628205,0.743896249605233,-0.6904615955589507,-0.3009370388580265,3.3306690738754696e-16,0.0,1.0,0.0
tailm2_detlin,1,4.0,2.0,0.00017835176797151956,1.0744940970675008e-05,16.598673595162182,275.51596511873424,513.0439275134613,0.537022173625679,,0.0,-0.00018331296146111567,-0.026717327053518147,0.026534014092056968,0.0530680281841138,0.16976970985344214,-0.11670168166932827,-0.06647482484801759,6.938893903907228e-17,0.0,1.0,0.0
cell_direct_runtime,2,4.0,2.0,0.001516085660501909,4.3821020360683625e-05,34.59722407244872,1196.967913519225,432.9368006115889,2.7647636140617435,11.64112326416795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,2,4.0,2.0,0.0015091904352767733,4.3711964945909345e-05,34.52579716204239,1192.0306696744942,435.4654512921123,2.737371394533144,11.17851404322204,0.0,-0.004558418436262781,-0.0024917571545870557,-0.0020666612816757617,-0.004133322563351398,0.005823701681290249,-0.009957024244641666,-0.027392219528599604,-2.0816681711721685e-17,0.0,1.0,0.0
release_sumanchor,2,4.0,2.0,0.0015160856604848573,4.874270363819415e-05,31.103848316220038,967.449380078424,910.9499990217773,1.0620224832508025,0.7139300114247126,0.0,-1.1247225373330861e-11,0.10644189811252298,-0.10644189812377014,-0.21288379624754036,0.743896249605233,-0.9567800458527732,-1.702741130810941,2.220446049250313e-16,0.0,1.0,1.0
release_eftsumanchor,2,4.0,2.0,0.0015160856604848573,4.874270363819415e-05,31.103848316220038,967.449380078424,910.9499990217773,1.0620224832508025,0.7139300114247126,0.0,-1.1247225373330861e-11,0.10644189811252298,-0.10644189812377014,-0.21288379624754036,0.743896249605233,-0.9567800458527732,-1.702741130810941,2.220446049250313e-16,0.0,1.0,1.0
release_fullsumanchor,2,4.0,2.0,0.0015160856604848573,4.874270363819415e-05,31.103848316220038,967.449380078424,910.9499990217773,1.0620224832508025,0.7139300114247126,0.0,-1.1247225373330861e-11,0.10644189811252298,-0.10644189812377014,-0.21288379624754036,0.743896249605233,-0.9567800458527732,-1.702741130810941,2.220446049250313e-16,0.0,1.0,1.0
tailm2_detlin,2,4.0,2.0,0.0016537668903412143,4.874270363819415e-05,33.928501435142884,1151.1432096344927,513.0439275134613,2.2437517489265844,4.449481336354187,0.0,0.08692385984039652,0.10644189811252298,-0.01951803827212632,-0.039036076544252736,0.16976970985344214,-0.20880578639769504,-0.5210118651351592,-1.6653345369377348e-16,0.0,1.0,0.0
cell_direct_runtime,3,4.0,2.0,0.00032930293828315583,3.977923286492469e-06,82.78262665379816,6852.963275702134,432.9368006115889,15.829015380585071,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,3,4.0,2.0,0.0003289264817030028,3.961785777460441e-06,83.02480249546689,6893.117829411284,435.4654512921123,15.829310474477454,,0.0,-0.0011438462328431848,-0.00406501828313594,0.002921172050292932,0.005842344100585646,0.005823701681290249,1.864241929540851e-05,0.0002950938923831359,1.1357017756785659e-17,1.0,0.0,0.0
release_sumanchor,3,4.0,2.0,0.0003293029382814979,2.740266641607103e-06,120.17185965828834,14441.27585373135,910.9499990217773,15.852984103671,,0.0,-5.034639372082833e-12,-0.3727046656841417,0.3727046656791071,0.7454093313582141,0.743896249605233,0.0015130817529811784,0.0239687230859289,1.4029576111962427e-16,1.0,0.0,0.0
release_eftsumanchor,3,4.0,2.0,0.0003293029382814979,2.740266641607103e-06,120.17185965828834,14441.27585373135,910.9499990217773,15.852984103671,,0.0,-5.034639372082833e-12,-0.3727046656841417,0.3727046656791071,0.7454093313582141,0.743896249605233,0.0015130817529811784,0.0239687230859289,1.4029576111962427e-16,1.0,0.0,0.0
release_fullsumanchor,3,4.0,2.0,0.0003293029382814979,2.740266641607103e-06,120.17185965828834,14441.27585373135,910.9499990217773,15.852984103671,,0.0,-5.034639372082833e-12,-0.3727046656841417,0.3727046656791071,0.7454093313582141,0.743896249605233,0.0015130817529811784,0.0239687230859289,1.4029576111962427e-16,1.0,0.0,0.0
tailm2_detlin,3,4.0,2.0,0.000329242578327216,2.740266641607103e-06,120.14983262144258,14435.982278960668,513.0439275134613,28.13790692139494,,0.0,-0.0001833129361187386,-0.3727046656841417,0.372521352748023,0.7450427054960458,0.16976970985344214,0.5752729956426037,12.308891540809869,0.0,1.0,0.0,0.0
cell_direct_runtime,1,4.0,4.0,0.0001954190551047678,1.1035886408390427e-05,17.707599360228414,313.55907510236176,392.5038842910549,0.7988687186337425,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,1,4.0,4.0,0.00019539258589985762,1.1074763961967275e-05,17.64304743386593,311.2771227536432,394.7955052048192,0.7884515366813843,,0.0,-0.0001354576075707387,0.0035166395371815616,-0.0036520971447524184,-0.007304194289504772,0.0058214890452202295,-0.013125683334725061,-0.01041718195235819,-6.071532165918825e-17,1.0,0.0,0.0
release_sumanchor,1,4.0,4.0,0.00019541905509883156,1.0744940970675008e-05,18.18707572541975,330.7697234421523,825.7305493006588,0.40057828031467796,,0.0,-3.037692319953275e-11,-0.026717327053518147,0.026717327023141276,0.053434654046282476,0.7437220753455821,-0.6902874212992995,-0.3982904383190646,1.1102230246251565e-16,0.0,1.0,0.0
release_eftsumanchor,1,4.0,4.0,0.00019541905509883156,1.0744940970675008e-05,18.18707572541975,330.7697234421523,825.7305493006588,0.40057828031467796,,0.0,-3.037692319953275e-11,-0.026717327053518147,0.026717327023141276,0.053434654046282476,0.7437220753455821,-0.6902874212992995,-0.3982904383190646,1.1102230246251565e-16,0.0,1.0,0.0
release_fullsumanchor,1,4.0,4.0,0.00019541905509883156,1.0744940970675008e-05,18.18707572541975,330.7697234421523,825.7305493006588,0.40057828031467796,,0.0,-3.037692319953275e-11,-0.026717327053518147,0.026717327023141276,0.053434654046282476,0.7437220753455821,-0.6902874212992995,-0.3982904383190646,1.1102230246251565e-16,0.0,1.0,0.0
tailm2_detlin,1,4.0,4.0,0.00019538323554224595,1.0744940970675008e-05,18.18374210481789,330.648476934527,498.6401024856656,0.6631004511796806,,0.0,-0.00018331296146111567,-0.026717327053518147,0.026534014092057183,0.05306802818411421,0.23933816457451024,-0.18627013639039589,-0.1357682674540619,1.3877787807814457e-16,0.0,1.0,0.0
cell_direct_runtime,2,4.0,4.0,0.0015489889375818863,4.3821020360683625e-05,35.34808009563476,1249.48676644741,392.5038842910549,3.1833742708158104,19.87764868629889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,2,4.0,4.0,0.0015419440667845889,4.3711964945909345e-05,35.27510302253953,1244.3328932507777,394.7955052048192,3.151841591016139,19.180931000087227,0.0,-0.004558418436263004,-0.0024917571545870557,-0.0020666612816758727,-0.004133322563351732,0.0058214890452202295,-0.00995481160857206,-0.03153267979967156,-9.8879238130678e-17,0.0,1.0,0.0
release_sumanchor,2,4.0,4.0,0.0015489889375644643,4.874270363819415e-05,31.778888365779874,1009.8977457646995,825.7305493006588,1.2230354643170445,0.19572779305927507,0.0,-1.1247336395633325e-11,0.10644189811252298,-0.10644189812377038,-0.21288379624754064,0.7437220753455821,-0.9566058715931225,-1.960338806498766,2.220446049250313e-16,0.0,1.0,1.0
release_eftsumanchor,2,4.0,4.0,0.0015489889375644643,4.874270363819415e-05,31.778888365779874,1009.8977457646995,825.7305493006588,1.2230354643170445,0.19572779305927507,0.0,-1.1247336395633325e-11,0.10644189811252298,-0.10644189812377038,-0.21288379624754064,0.7437220753455821,-0.9566058715931225,-1.960338806498766,2.220446049250313e-16,0.0,1.0,1.0
release_fullsumanchor,2,4.0,4.0,0.0015489889375644643,4.874270363819415e-05,31.778888365779874,1009.8977457646995,825.7305493006588,1.2230354643170445,0.19572779305927507,0.0,-1.1247336395633325e-11,0.10644189811252298,-0.10644189812377038,-0.21288379624754064,0.7437220753455821,-0.9566058715931225,-1.960338806498766,2.220446049250313e-16,0.0,1.0,1.0
