mode,layer,D,eta,amp,amp_ref,amp_ratio,partial_ratio,width_ratio,mu,chi2,mu_identity_residual,delta_log_amp_point,delta_log_amp_ref,delta_log_amp_ratio,delta_log_partial,delta_log_width,delta_log_mu,delta_mu,path_closure_residual,dominant_partial,dominant_width,acceptance_mismatch
cell_direct_runtime,1,4.0,0.2,0.00016328794601711685,1.1035886408390427e-05,14.796087960181554,218.92421892542953,473.94869895699594,0.46191543390077705,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,1,4.0,0.2,0.00016326582892060252,1.1074763961967275e-05,14.74214976330752,217.33097964378797,476.7177786078706,0.4558902340047945,,0.0,-0.00013545760757084974,0.0035166395371815616,-0.00365209714475253,-0.007304194289505107,0.0058255708967775875,-0.01312976518628286,-0.006025199895982547,-1.6479873021779667e-16,1.0,0.0,0.0
release_sumanchor,1,4.0,0.2,0.00016328794601215666,1.0744940970675008e-05,15.196728065589246,230.94054389946788,997.3904103799387,0.23154478075590787,,0.0,-3.037703422183521e-11,-0.026717327053518147,0.026717327023141058,0.05343465404628226,0.7440431926584826,-0.6906085386122005,-0.23037065314486918,-1.1102230246251565e-16,0.0,1.0,0.0
release_eftsumanchor,1,4.0,0.2,0.00016328794601215666,1.0744940970675008e-05,15.196728065589246,230.94054389946788,997.3904103799387,0.23154478075590787,,0.0,-3.037703422183521e-11,-0.026717327053518147,0.026717327023141058,0.05343465404628226,0.7440431926584826,-0.6906085386122005,-0.23037065314486918,-1.1102230246251565e-16,0.0,1.0,0.0
release_fullsumanchor,1,4.0,0.2,0.00016328794601215666,1.0744940970675008e-05,15.196728065589246,230.94054389946788,997.3904103799387,0.23154478075590787,,0.0,-3.037703422183521e-11,-0.026717327053518147,0.026717327023141058,0.05343465404628226,0.7440431926584826,-0.6906085386122005,-0.23037065314486918,-1.1102230246251565e-16,0.0,1.0,0.0
tailm2_detlin,1,4.0,0.2,0.00016325801596352876,1.0744940970675008e-05,15.193942564141674,230.85589064243607,558.6370386096645,0.41324845058070275,,0.0,-0.00018331296146100463,-0.026717327053518147,0.026534014092056968,0.05306802818411421,0.16440087166342138,-0.11133284347930715,-0.0486669833200743,1.3877787807814457e-17,0.0,1.0,0.0
cell_direct_runtime,2,4.0,0.2,0.0014804778760338683,4.3821020360683625e-05,33.7846509243349,1141.402638079163,473.94869895699594,2.408283091800889,6.353967457572252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,2,4.0,0.2,0.001473744596601158,4.3711964945909345e-05,33.714901593301036,1136.6945894459727,476.7177786078706,2.384418287829314,6.056746033829987,0.0,-0.004558418436263004,-0.0024917571545870557,-0.002066661281675984,-0.0041333225633519545,0.0058255708967775875,-0.009958893460129674,-0.0238648039715752,-1.3183898417423734e-16,0.0,1.0,0.0
release_sumanchor,2,4.0,0.2,0.0014804778760172169,4.874270363819415e-05,30.373322887594888,922.5387432340955,997.3904103799387,0.9249524896501363,1.4104383568100232,0.0,-1.1247336395633325e-11,0.10644189811252298,-0.10644189812377038,-0.21288379624754092,0.7440431926584826,-0.9569269889060238,-1.4833306021507529,-2.220446049250313e-16,0.0,1.0,1.0
release_eftsumanchor,2,4.0,0.2,0.0014804778760172169,4.874270363819415e-05,30.373322887594888,922.5387432340955,997.3904103799387,0.9249524896501363,1.4104383568100232,0.0,-1.1247336395633325e-11,0.10644189811252298,-0.10644189812377038,-0.21288379624754092,0.7440431926584826,-0.9569269889060238,-1.4833306021507529,-2.220446049250313e-16,0.0,1.0,1.0
release_fullsumanchor,2,4.0,0.2,0.0014804778760172169,4.874270363819415e-05,30.373322887594888,922.5387432340955,997.3904103799387,0.9249524896501363,1.4104383568100232,0.0,-1.1247336395633325e-11,0.10644189811252298,-0.10644189812377038,-0.21288379624754092,0.7440431926584826,-0.9569269889060238,-1.4833306021507529,-2.220446049250313e-16,0.0,1.0,1.0
