D,g1_full,g2_full,g3_full,g1_tail,g2_tail,g3_tail,delta_log_gnorm,delta_log_g2_anchor,delta_log_side_anchor,slice_max_abs_delta_mu_mumu,slice_p95_abs_delta_mu_mumu,slice_acceptance_mismatch
4.0,0.057060182626429534,0.06442874387242344,0.051713228474333774,0.057060182626429534,0.06442874387242344,0.051713228474333774,0.0,-3.042011087472929e-14,0.0,0.13068800158619087,0.1301759643423921,0.1951219512195122
4.8,0.05039929396305283,0.06450661658690801,0.03985860968357345,0.035341223467297754,0.06629222306197738,0.03680806677946514,-0.13574789912438723,0.027304789812430785,-0.2445790334052721,0.6028228849514452,0.5730463076846029,0.0
5.6,0.039521760730002825,0.05860327639121613,0.02979722399055845,0.044514029093946104,0.05855429776548461,0.033987186612392514,0.08322840485351568,-0.0008361154443359275,0.12609678044673084,0.43043708898103716,0.42271838011861007,0.0
6.4,0.02876250577850188,0.044024275081853345,0.02280286715973331,0.03851857936704137,0.05008166061423541,0.030174251230507286,0.2336948062119668,0.12891369728200486,0.15717166339489724,9.98569946539893,9.985430164505331,0.0
7.2,0.02211122174075793,0.019855847179327195,0.019479381452164907,0.019692472803977977,0.022010359320215975,0.016785317941220092,-0.05389535431109671,0.10301468873700736,-0.23536506457220235,1.0228385777395115,1.0228385315913013,0.0
8.0,0.018623352041124093,0.016700015826228803,0.01752095165471265,0.01670001582622681,0.01862335204112434,0.012856616893214047,-0.10317959669730747,0.10900661223682684,-0.31827931340124754,0.007247832442539792,0.007247831994919185,0.0
8.8,0.011940690294158698,0.014765927312580926,0.012899138104795363,0.013539407856433724,0.015115177835415885,0.010074601383161503,-0.03270442135134477,0.02337707565042818,-0.08412224550270608,0.19413051032975703,0.19413050986064095,0.0
9.600000000000001,0.00824299926402526,0.012883376121110566,0.00978394628071551,0.0081280249854584,0.013579420077936102,0.007928230797098978,-0.057247230419624096,0.0526176095575724,-0.16479725996584055,2.923461472903455e-11,2.805777832293188e-11,0.0
10.4,0.006486667313125283,0.01058558517133576,0.007205638479568615,0.008055393296744926,0.010339797836934578,0.006372190760398225,0.023393190828483235,-0.02349286879713408,0.07032908943837918,0.12546573331663008,0.12546573157547414,0.0
11.2,0.004893135310367203,0.007766281918616585,0.004452274753066545,0.005980648381373273,0.007610341357215074,0.004808681788980772,0.0858066868063938,-0.020283505031931492,0.15913528775744173,0.03775882409619469,0.03775882368593751,0.0
12.0,0.0035134774691043167,0.005437906249220823,0.0034932032999379905,0.0035134774698230673,0.005437906253096764,0.002315675214063635,-0.13703928372049035,7.127329837430807e-10,-0.2055589266498823,0.006763989869658923,0.006763987091746266,0.0
12.8,0.0020194189838938295,0.003030844606593407,0.002277221576794455,0.0022136084387995706,0.00199654585983213,0.001545065211740566,-0.23783285447122626,-0.41742271135782394,0.26938478532985155,0.0019053956887733398,0.0019053585581886934,0.0
13.600000000000001,0.001139397918296073,0.0016089007876909874,0.0015074676171312857,0.0015304010780084383,0.001379352279318344,0.0010900856752920041,-0.06102739682318514,-0.1539371790872064,0.13936467339598532,7.292099926784669e-05,7.291581871032045e-05,0.0
14.4,0.0007837020054941169,0.001116819705807796,0.0010178585721985144,0.001024264674631455,0.0009201710923300604,0.00074466663730393,-0.07949965747265608,-0.1936807540608716,0.17127164488227822,2.1990883425759258e-05,2.198979216947074e-05,0.0
15.200000000000001,0.0005112139709761673,0.0007977835172222719,0.0005468471443106611,0.0007699326504795937,0.0006115687652055969,0.000495723275244055,0.01518449111169673,-0.26580987684445034,0.421491551934176,9.212344081117694e-06,9.211734339714058e-06,0.0
16.0,0.0003183476275631118,0.00048556855747821807,0.0003649838062502807,0.00048556855747820696,0.00038832969467822676,0.0003183476275631,0.020667240399911968,-0.22346578044955256,0.36619953127415067,1.2676510122618074e-06,1.2656144324681492e-06,0.0
16.8,0.00021217595188256379,0.0003197743810268337,0.00023922597020716607,0.0002974662907926934,0.0001981945178946004,0.00012872912138299204,-0.2533933108445776,-0.4783667257802642,0.3374601224034858,3.6271946054842187e-07,3.090253623648832e-07,0.0
17.6,0.00013555366494908885,0.0001831669865980208,0.00014592194669851998,0.0001,0.00010836036513494154,0.0001,-0.4023449844344107,-0.5249358449839159,0.1838862908242087,9.83383889984458e-09,9.83383889984458e-09,0.0
18.4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,-3.019806626980426e-14,0.0,9.83383889984458e-09,9.83383889984458e-09,0.0
19.200000000000003,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,-3.019806626980426e-14,0.0,9.83383889984458e-09,9.83383889984458e-09,0.0
20.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,-3.019806626980426e-14,0.0,9.83383889984458e-09,9.83383889984458e-09,0.0
