term,coef
const,71.11579407278337
g_beta,-119.26697745210495
g_center,-1829.5088086113462
g_half_width,-438.4143746171664
g_beta2,134.37467909278362
g_center2,12248.312100467096
g_half_width2,6880.3416367885475
g_beta:g_center,1647.1360707546246
g_beta:g_half_width,-1191.845323125331
g_center:g_half_width,7884.658416423499
