D,level,dr,dz,mode_n,lambda_n,window_E_lo,window_E_hi,Nps_lambda_n,g_raw_n,g_hat_to_g3
12.0,coarse,0.12,0.06,19,3.8949322611802524,0.673306142728165,3.8949322611802524,208.55757099946763,174.96781039641272,20.944216201989516
12.0,coarse,0.12,0.06,20,3.994087025416417,0.673306142728165,3.994087025416417,213.91192826822052,180.3221676651656,21.585150188677584
12.0,coarse,0.12,0.06,21,4.113996825304733,0.673306142728165,4.113996825304733,220.3870574621896,186.7972968591347,22.360244221500224
12.0,coarse,0.12,0.06,22,4.368416649000423,0.673306142728165,4.368416649000423,234.12572794175682,200.5359673387019,24.004807779791435
12.0,coarse,0.12,0.06,23,4.487331971743365,0.673306142728165,4.487331971743365,240.54715536987567,206.95739476682076,24.773473536510902
12.0,coarse,0.12,0.06,24,4.659273647393151,0.673306142728165,4.659273647393151,249.83200585496422,216.2422452519093,25.884900349947376
12.0,coarse,0.12,0.06,25,4.983338573577517,0.673306142728165,4.983338573577517,267.33151186891985,233.74175126586493,27.979648158438078
12.0,coarse,0.12,0.06,26,5.0146670632802355,0.673306142728165,5.0146670632802355,269.02325031286665,235.43348970981174,28.182154754634045
12.0,coarse,0.12,0.06,27,5.340471251193827,0.673306142728165,5.340471251193827,286.61667646020055,253.02691585714564,30.28814510868063
12.0,coarse,0.12,0.06,28,5.575575437281808,0.673306142728165,5.575575437281808,299.31230250895163,265.7225419058967,31.807852854821025
12.0,coarse,0.12,0.06,29,5.7320758750849015,0.673306142728165,5.7320758750849015,307.7633261503186,274.1735655472637,32.81946788201887
12.0,coarse,0.12,0.06,30,6.1576231964986325,0.673306142728165,6.1576231964986325,330.7428815066601,297.1531209036052,35.57019542737924
12.0,coarse,0.12,0.06,31,6.170207265818969,0.673306142728165,6.170207265818969,331.4224212499583,297.8326606469034,35.651538545689036
12.0,coarse,0.12,0.06,32,6.616797503370608,0.673306142728165,6.616797503370608,355.53829407774685,321.94853347469194,38.53828698964878
12.0,coarse,0.12,0.06,33,6.799046548394682,0.673306142728165,6.799046548394682,365.37974250904676,331.78998190599185,39.716340388264676
12.0,coarse,0.12,0.06,34,7.110520860444817,0.673306142728165,7.110520860444817,382.199355359754,348.6095947566991,41.72970277292761
12.0,coarse,0.12,0.06,35,7.461587698407611,0.673306142728165,7.461587698407611,401.15696460974493,367.56720400669,43.998990283042026
12.0,coarse,0.12,0.06,36,7.6383143278101135,0.673306142728165,7.6383143278101135,410.7002025974801,377.1104419944252,45.14134692126777
12.0,coarse,0.12,0.06,37,7.974824414062464,0.673306142728165,7.974824414062464,428.871747255107,395.28198665205207,47.31653994203639
12.0,coarse,0.12,0.06,38,8.034544831107338,0.673306142728165,8.034544831107338,432.0966497755302,398.50688917247527,47.70257126668437
12.0,coarse,0.12,0.06,39,8.11076368327026,0.673306142728165,8.11076368327026,436.2124677923281,402.62270718927317,48.19524807504447
12.0,coarse,0.12,0.06,40,8.15693389479669,0.673306142728165,8.15693389479669,438.70565921475526,405.11589861170035,48.49369120047396
12.0,fine,0.06,0.03,1,0.6861864751125293,0.6861864751125293,0.6861864751125293,35.28445006148065,1.0,0.11934923662572511
12.0,fine,0.06,0.03,2,0.7475102882143423,0.6861864751125293,0.7475102882143423,38.595935968978544,4.311485907497897,0.5145725517824457
12.0,fine,0.06,0.03,3,0.822830394512168,0.6861864751125293,0.822830394512168,42.66322170906113,8.378771647580486,1.0
12.0,fine,0.06,0.03,4,0.9373178725770868,0.6861864751125293,0.9373178725770868,48.845545524566745,14.561095463086097,1.737855627953635
12.0,fine,0.06,0.03,5,1.0961971829865846,0.6861864751125293,1.0961971829865846,57.425028286679634,23.140578225198986,2.7618103462553756
12.0,fine,0.06,0.03,6,1.2865236898136478,0.6861864751125293,1.2865236898136478,67.70265965534102,33.418209593860375,3.9884378044257187
12.0,fine,0.06,0.03,7,1.506047187522169,0.6861864751125293,1.506047187522169,79.55692853160119,45.27247847012054,5.403235745563462
12.0,fine,0.06,0.03,8,1.7610556264479098,0.6861864751125293,1.7610556264479098,93.32738423359119,59.04293417211054,7.046729121584332
12.0,fine,0.06,0.03,9,2.052904207689368,0.6861864751125293,2.052904207689368,109.08720762062993,74.80275755914928,8.927652012183655
12.0,fine,0.06,0.03,10,2.378213039996396,0.6861864751125293,2.378213039996396,126.65388456520944,92.3694345037288,11.024221495569945
12.0,fine,0.06,0.03,11,2.736320691543547,0.6861864751125293,2.736320691543547,145.9916977487556,111.70724768727496,13.332174737037063
12.0,fine,0.06,0.03,12,3.128994361699271,0.6861864751125293,3.128994361699271,167.19607593716466,132.91162587568402,15.862901086946861
12.0,fine,0.06,0.03,13,3.37119724019942,0.6861864751125293,3.37119724019942,180.2750313761727,145.99058131469207,17.423864434454345
12.0,fine,0.06,0.03,14,3.4321965670246373,0.6861864751125293,3.4321965670246373,183.56899502473445,149.2845449632538,17.81699648138308
12.0,fine,0.06,0.03,15,3.5077614955732495,0.6861864751125293,3.5077614955732495,187.6495011663595,153.36505110487886,18.30400177443261
12.0,fine,0.06,0.03,16,3.5564485944277475,0.6861864751125293,3.5564485944277475,190.27860450450243,155.99415444302178,18.617783250850113
12.0,fine,0.06,0.03,17,3.62228095637649,0.6861864751125293,3.62228095637649,193.8335520497345,159.54910198825385,19.04206352661806
12.0,fine,0.06,0.03,18,3.781211738250329,0.6861864751125293,3.781211738250329,202.41581427092183,168.1313642094412,20.066349971238566
12.0,fine,0.06,0.03,19,3.97131774181252,0.6861864751125293,3.97131774181252,212.68153846328013,178.3970884017995,21.29155631700677
12.0,fine,0.06,0.03,20,4.018083255531989,0.6861864751125293,4.018083255531989,215.20687620413145,180.9224261426508,21.592953448599506
12.0,fine,0.06,0.03,21,4.191000777462112,0.6861864751125293,4.191000777462112,224.5444223883581,190.25997232687746,22.70738245764441
12.0,fine,0.06,0.03,22,4.445978251395027,0.6861864751125293,4.445978251395027,238.31320598073552,204.02875591925488,24.350676268659463
12.0,fine,0.06,0.03,23,4.5131230691391595,0.6861864751125293,4.5131230691391595,241.93902613891868,207.65457607743804,24.783415136680787
12.0,fine,0.06,0.03,24,4.737885405859373,0.6861864751125293,4.737885405859373,254.07619232181014,219.7917422603295,26.23197665540845
12.0,fine,0.06,0.03,25,5.042683625813156,0.6861864751125293,5.042683625813156,270.5352961993145,236.25084613783383,28.196358138732105
12.0,fine,0.06,0.03,26,5.063160337976164,0.6861864751125293,5.063160337976164,271.64103865611696,237.35658859463632,28.328327656856136
12.0,fine,0.06,0.03,27,5.421322768455577,0.6861864751125293,5.421322768455577,290.9818099020052,256.69735984052454,30.63663394080567
12.0,fine,0.06,0.03,28,5.606247535827611,0.6861864751125293,5.606247535827611,300.96774734009506,266.6832972786144,31.828447951033944
12.0,fine,0.06,0.03,29,5.8141421081984355,0.6861864751125293,5.8141421081984355,312.1940542481196,277.90960418663894,33.16829911063277
12.0,fine,0.06,0.03,30,6.203826322053406,0.6861864751125293,6.203826322053406,333.2370017962879,298.9525517348073,35.67975883686184
12.0,fine,0.06,0.03,31,6.24143583019206,0.6861864751125293,6.24143583019206,335.26791523577526,300.9834651742946,35.92214680551758
12.0,fine,0.06,0.03,32,6.70255059763162,0.6861864751125293,6.70255059763162,360.16811267751143,325.8836626160308,38.893966362018624
12.0,fine,0.06,0.03,33,6.835821014183732,0.6861864751125293,6.835821014183732,367.3647151713255,333.08026510984485,39.752875375954126
12.0,fine,0.06,0.03,34,7.1981248903045705,0.6861864751125293,7.1981248903045705,386.92912448185086,352.6446744203702,42.08787269219856
12.0,fine,0.06,0.03,35,7.501929293232806,0.6861864751125293,7.501929293232806,403.33456223997547,369.0501121784948,44.045849165141576
12.0,fine,0.06,0.03,36,7.728054624846375,0.6861864751125293,7.728054624846375,415.54533014710825,381.2608800856276,45.50319499347177
12.0,fine,0.06,0.03,37,8.191574860600587,0.6861864751125293,8.191574860600587,440.5754228778357,406.29097281635507,48.490517453555206
12.0,fine,0.06,0.03,38,8.2015676439731,0.6861864751125293,8.2015676439731,441.11503317995147,406.8305831184708,48.5549195311881
12.0,fine,0.06,0.03,39,8.251793049584478,0.6861864751125293,8.251793049584478,443.8272050829658,409.54275502148516,48.8786151774106
12.0,fine,0.06,0.03,40,8.291433076301328,0.6861864751125293,8.291433076301328,445.96776652567564,411.683316464195,49.134089551548485
12.0,mid,0.08,0.04,1,0.6656099428390492,0.6656099428390492,0.6656099428390492,35.10027093355733,1.0,0.11672824317458458
12.0,mid,0.08,0.04,2,0.7267028280921377,0.6656099428390492,0.7267028280921377,38.48784698368699,4.38757605012966,0.5121540441265182
12.0,mid,0.08,0.04,3,0.8020745335590371,0.6656099428390492,0.8020745335590371,42.66717790314438,8.566906969587045,1.0
12.0,mid,0.08,0.04,4,0.9165925532962069,0.6656099428390492,0.9165925532962069,49.01715629036255,14.916885356805217,1.7412218213365591
12.0,mid,0.08,0.04,5,1.075229983961464,0.6656099428390492,1.075229983961464,57.8135383657788,23.713267432221464,2.768008047292304
12.0,mid,0.08,0.04,6,1.2653051580805459,0.6656099428390492,1.2653051580805459,68.35313074061223,34.2528598070549,3.998276148982858
12.0,mid,0.08,0.04,7,1.484696481624869,0.6656099428390492,1.484696481624869,80.51829187461553,46.418020941058195,5.4182940360908
12.0,mid,0.08,0.04,8,1.7395231363543489,0.6656099428390492,1.7395231363543489,94.6483279487033,60.548057015145964,7.06766832301257
12.0,mid,0.08,0.04,9,2.0310399448872163,0.6656099428390492,2.0310399448872163,110.81281837512739,76.71254744157005,8.954520892301446
12.0,mid,0.08,0.04,10,2.3559783648226693,0.6656099428390492,2.3559783648226693,128.83052378518028,94.73025285162294,11.057695990854127
