D,level,dr,dz,Nr,Nz,lambda1,lambda2,lambda3,window_E_lo,window_E_hi_n2,window_E_hi_n3,Nps_lambda1,Nps_lambda2,Nps_lambda3,g1_raw,g2_raw,g3_raw,g1_hat,g2_hat,g3_hat,n_eigs_exported,solver_sigma,grid_index
4.0,fine,0.06,0.03,50,533,0.7359089334327868,0.8355420903544075,1.02491356144823,0.7359089334327868,0.8355420903544075,1.02491356144823,24.9125158034437,28.497067706591313,35.31017980786931,1.0,4.584551903147613,11.39766400442561,0.08773727665701576,0.4022360986749103,1.0,40,2.5,0
4.2025316455696204,fine,0.06,0.03,50,540,0.7340412983580411,0.8316963792353205,1.0150726547913123,0.7340412983580411,0.8316963792353205,1.0150726547913123,25.184890255947245,28.744417953924078,35.42848319793998,1.0,4.559527697976833,11.243592941992738,0.08893954140452605,0.4055223024792939,1.0,40,2.5,1
4.405063291139241,fine,0.06,0.03,50,547,0.7322168205682564,0.8279979234379056,1.0056201178567614,0.7322168205682564,0.8279979234379056,1.0056201178567614,25.45722716180225,28.993704932506876,35.55196040593708,1.0,4.536477770704625,11.09473324413483,0.09013285655413524,0.4088857001679432,1.0,40,2.5,2
4.6075949367088604,fine,0.06,0.03,50,554,0.7304339794709322,0.8244375845888614,0.9965397807545939,0.7304339794709322,0.8244375845888614,0.9965397807545939,25.729525895439256,29.244790708824222,35.680552334441785,1.0,4.515264813384967,10.95102643900253,0.09131564110177463,0.412314301178533,1.0,40,2.5,3
4.810126582278481,fine,0.06,0.03,50,560,0.7288582774239867,0.8215932742770444,0.9889715262688348,0.7288582774239867,0.8215932742770444,0.9889715262688348,25.96025584335412,29.465638724399703,35.792536649689374,1.0,4.505382881045584,10.832280806335255,0.09231666145648204,0.41592190616131486,1.0,40,2.5,4
5.012658227848101,fine,0.06,0.03,50,567,0.7271475586955394,0.8182655201539424,0.9805491870928769,0.7271475586955394,0.8182655201539424,0.9805491870928769,26.232397624680765,29.719709804597496,35.930711447517865,1.0,4.4873121799167315,10.6983138228371,0.09347267397086026,0.4194410683988269,1.0,40,2.5,5
5.215189873417722,fine,0.06,0.03,50,574,0.7254747926013703,0.8150532125905554,0.9724557457372691,0.7254747926013703,0.8150532125905554,0.9724557457372691,26.504509245810752,29.97522512829173,36.07378627506115,1.0,4.470715882480977,10.5692770292504,0.09461385080857536,0.4229916455125835,1.0,40,2.5,6
5.417721518987342,fine,0.06,0.03,50,581,0.7238388185129536,0.8119495925989222,0.9646769620843094,0.7238388185129536,0.8119495925989222,0.9646769620843094,26.776594995434586,30.23207927815106,36.22166489094423,1.0,4.455484282716473,10.445069895509647,0.09573894765700913,0.4265633765296193,1.0,40,2.5,7
5.620253164556962,fine,0.06,0.03,50,587,0.7223790358833198,0.8094656403746538,0.9582134707425605,0.7223790358833198,0.8094656403746538,0.9582134707425605,27.00678789859196,30.457376885049843,36.35113779380222,1.0,4.450588986457884,10.344349895210264,0.09667113062977782,0.4302434692893206,1.0,40,2.5,8
5.822784810126582,fine,0.06,0.03,50,594,0.7208075043273237,0.8065449692025537,0.9509905864732218,0.7208075043273237,0.8065449692025537,0.9509905864732218,27.27876309716281,30.716406751335157,36.50795377580259,1.0,4.437643654172348,10.229190678639782,0.09775944465363844,0.4338215792026315,1.0,40,2.5,9
6.025316455696203,fine,0.06,0.03,50,601,0.7192699326071674,0.803716167419495,0.9440442336554209,0.7192699326071674,0.803716167419495,0.9440442336554209,27.550732319841572,30.976504950590677,36.66926377761659,1.0,4.425772630749105,10.11853145777502,0.09882857054633218,0.4373927826600141,1.0,40,2.5,10
6.227848101265822,fine,0.06,0.03,50,608,0.7177654031981389,0.8009741840907425,0.9373620504090849,0.7177654031981389,0.8009741840907425,0.9373620504090849,27.822702778959595,31.23759114679205,36.83494918049683,1.0,4.414888367832454,10.012246401537233,0.09987768577553832,0.44094883313644906,1.0,40,2.5,11
6.4303797468354436,fine,0.06,0.03,50,614,0.716411159266559,0.798772135104197,0.9318311048866375,0.716411159266559,0.798772135104197,0.9318311048866375,28.052510812885878,31.46596145647678,36.980590459110026,1.0,4.4134506435909024,9.928079646224148,0.10072441354560652,0.4445422277881733,1.0,40,2.5,12
6.632911392405063,fine,0.06,0.03,50,621,0.7149651298344921,0.7961761942922378,0.9256150204434395,0.7149651298344921,0.7961761942922378,0.9256150204434395,28.324441689046132,31.72860648345369,37.15435847864667,1.0,4.404164794407556,9.829916789600539,0.10173026093750254,0.4480368337468429,1.0,40,2.5,13
6.8354430379746836,fine,0.06,0.03,50,628,0.7135498741340711,0.7936544659746385,0.919630140280912,0.7135498741340711,0.7936544659746385,0.919630140280912,28.59640005839672,31.992033706518374,37.3321425403613,1.0,4.3956336481216525,9.735742481964582,0.102714302669005,0.45149444495523,1.0,40,2.5,14
7.037974683544304,fine,0.06,0.03,50,635,0.7121646366248295,0.7912031342687535,0.9138659168796988,0.7121646366248295,0.7912031342687535,0.9138659168796988,28.868394445818552,32.25618205108125,37.51381557074288,1.0,4.3877876052626945,9.645421124924326,0.10367613679572188,0.45490886799378805,1.0,40,2.5,15
7.240506329113924,fine,0.06,0.03,50,641,0.7109079415089257,0.7892247278837683,0.9091153962745535,0.7109079415089257,0.7892247278837683,0.9091153962745535,29.098005647690766,32.48657720216426,37.67394669676257,1.0,4.388571554473497,9.575941049071805,0.10442837887947629,0.45829141303025056,1.0,40,2.5,16
7.443037974683545,fine,0.06,0.03,50,648,0.7095763730293705,0.7868917294269244,0.9037398890441204,0.7095763730293705,0.7868917294269244,0.9037398890441204,29.37004242069079,32.7518161095198,37.86275461117595,1.0,4.381773688829011,9.492712190485161,0.10534397124167853,0.4615934414635469,1.0,40,2.5,17
7.6455696202531644,fine,0.06,0.03,50,655,0.7082729210390015,0.7846195798095998,0.8985570384200932,0.7082729210390015,0.7846195798095998,0.8985570384200932,29.642143492049485,33.017620142944565,38.055080031761,1.0,4.375476650895081,9.412936539711517,0.10623677274155378,0.46483651859711556,1.0,40,2.5,18
7.848101265822785,fine,0.06,0.03,50,662,0.7069969376850342,0.7824053652287533,0.8935579791401733,0.7069969376850342,0.7824053652287533,0.8935579791401733,29.914317492768703,33.28394307755978,38.25079763019159,1.0,4.3696255847910805,9.336480137422889,0.10710674529170326,0.4680163745303282,1.0,40,2.5,19
8.050632911392405,fine,0.06,0.03,50,668,0.7058312033486571,0.7806070079287639,0.8894566186615915,0.7058312033486571,0.7806070079287639,0.8894566186615915,30.14393043932482,33.51557146784183,38.423600415785025,1.0,4.371641028517011,9.279669976460205,0.10776245303299643,0.47109876101268466,1.0,40,2.5,20
8.253164556962025,fine,0.06,0.03,50,675,0.7046047531888309,0.7784901262037727,0.8847807756329182,0.7046047531888309,0.7784901262037727,0.8847807756329182,30.41622950147592,33.78263180946921,38.62549952408465,1.0,4.366402307993287,9.209270022608731,0.10858623946794946,0.47413120662916625,1.0,40,2.5,21
8.455696202531644,fine,0.06,0.03,50,682,0.7034041086539491,0.7764238757758024,0.8802652799859767,0.7034041086539491,0.7764238757758024,0.8802652799859767,30.68862867562171,34.050093655076225,38.83043269789161,1.0,4.361464979454514,9.141804022269898,0.10938759981771096,0.4770901857915313,1.0,40,2.5,22
8.658227848101266,fine,0.06,0.03,50,689,0.7022286949215204,0.7744060090275062,0.8759027643703736,0.7022286949215204,0.7744060090275062,0.8759027643703736,30.96113588098446,34.3179223167686,39.038282665877006,1.0,4.356786435784141,9.077146784892545,0.1101667763778305,0.4799731169969966,1.0,40,2.5,23
8.860759493670887,fine,0.06,0.03,50,695,0.7011481030686151,0.7727548662851318,0.8723394176071748,0.7011481030686151,0.7727548662851318,0.8723394176071748,31.190941186360238,34.55019346575508,39.221953729650416,1.0,4.359252279394841,9.031012543290178,0.11072955498694059,0.4826980649731972,1.0,40,2.5,24
9.063291139240507,fine,0.06,0.03,50,702,0.7000185204367209,0.770818278824386,0.8682454318055541,0.7000185204367209,0.770818278824386,0.8682454318055541,31.46364976376273,34.81849631496225,39.435081958974905,1.0,4.354846551199522,8.971432195212174,0.11146492312940566,0.48541263606981205,1.0,40,2.5,25
9.265822784810126,fine,0.06,0.03,50,709,0.6989126655388651,0.7689244360492671,0.8642850001050757,0.6989126655388651,0.7689244360492671,0.8642850001050757,31.736490456458196,35.08707876365976,39.650796957960615,1.0,4.350588307201566,8.91430650150242,0.11217922558882844,0.4880456271576837,1.0,40,2.5,26
9.468354430379748,fine,0.06,0.03,50,716,0.6978300156959725,0.7670715876087362,0.8604520470792731,0.6978300156959725,0.7670715876087362,0.8604520470792731,32.00946999113309,35.355915161676954,39.86899276788801,1.0,4.346445170543866,8.859522776754922,0.11287289679120632,0.490595857143435,1.0,40,2.5,27
9.670886075949367,fine,0.06,0.03,50,722,0.6968291473455452,0.7655427980717611,0.8573339175923933,0.6968291473455452,0.7655427980717611,0.8573339175923933,32.239638258752336,35.58839802689447,40.061838236732484,1.0,4.348759768142131,8.822199977980148,0.11335041174491162,0.4929337102986169,1.0,40,2.5,28
9.873417721518987,fine,0.06,0.03,50,729,0.6957889086445719,0.7637588611797417,0.8537242766412634,0.6957889086445719,0.7637588611797417,0.8537242766412634,32.51288488456113,35.8575163239355,40.28448950525833,1.0,4.344631439374368,8.771604620697197,0.11400422650610952,0.4953063467,1.0,40,2.5,29
10.075949367088608,fine,0.06,0.03,50,736,0.6947704869836597,0.7620115271552719,0.8502261284327242,0.6947704869836597,0.7620115271552719,0.8502261284327242,32.78629027084448,36.12682514657018,40.509326538034,1.0,4.3405348757256945,8.72303626718952,0.1146389822728767,0.49759450067312094,1.0,40,2.5,30
10.278481012658228,fine,0.06,0.03,50,743,0.6937734000650537,0.7602994203462328,0.8468344863273383,0.6937734000650537,0.7602994203462328,0.8468344863273383,33.05985973695889,36.39630596911073,40.73625586572813,1.0,4.336446232151836,8.676396128769241,0.11525522638186085,0.4997980921794274,1.0,40,2.5,31
10.481012658227847,fine,0.06,0.03,50,749,0.6928470459046614,0.758874084675095,0.8440848615728493,0.6928470459046614,0.758874084675095,0.8440848615728493,33.29053500512653,36.628697017762725,40.93674087077094,1.0,4.338162012636197,8.646205865644411,0.1156576671362276,0.5017416980405044,1.0,40,2.5,32
10.683544303797468,fine,0.06,0.03,50,756,0.691889153694659,0.757221292724185,0.8408793788215558,0.691889153694659,0.757221292724185,0.8408793788215558,33.56442474361428,36.898323798290996,41.16739593183983,1.0,4.3338990546767135,8.602971188225546,0.11623891073454364,0.5037677053490895,1.0,40,2.5,33
10.88607594936709,fine,0.06,0.03,50,763,0.690951300080066,0.7556002792668752,0.8377673002820754,0.690951300080066,0.7556002792668752,0.8377673002820754,33.838493955349755,37.168078005918396,41.399885005753745,1.0,4.329584050568641,8.56139105040399,0.11680344865835939,0.505710348362646,1.0,40,2.5,34
11.088607594936708,fine,0.06,0.03,50,770,0.6900330370156382,0.7540099531406175,0.834744542341239,0.6900330370156382,0.7540099531406175,0.834744542341239,34.11274652805656,37.43794674365235,41.63412701735464,1.0,4.325200215595785,8.521380489298082,0.11735187758085561,0.5075703662132869,1.0,40,2.5,35
11.291139240506329,fine,0.06,0.03,50,776,0.6891761234003801,0.7526736595389012,0.8323004240614413,0.6891761234003801,0.7526736595389012,0.8323004240614413,34.34404395324527,37.670044896181004,41.84089482187165,1.0,4.326000942935735,8.496850868626382,0.11769066157114537,0.5091299129315053,1.0,40,2.5,36
11.49367088607595,fine,0.06,0.03,50,783,0.6882940083788758,0.751135148883975,0.8294334116523991,0.6882940083788758,0.751135148883975,0.8294334116523991,34.61865715253681,37.93996853108257,42.078227464050705,1.0,4.321311378545758,8.459570311513893,0.1182093136147767,0.5108192519736185,1.0,40,2.5,37
11.69620253164557,fine,0.06,0.03,50,790,0.6874302692231187,0.7496245936303805,0.8266450016341209,0.6874302692231187,0.7496245936303805,0.8266450016341209,34.89346470628689,38.20997705530413,42.31709031210358,1.0,4.316512349017238,8.423625605816689,0.11871372812550919,0.5124292734516354,1.0,40,2.5,38
11.89873417721519,fine,0.06,0.03,50,797,0.6865844891842445,0.748141119780626,0.8239318514857461,0.6865844891842445,0.748141119780626,0.8239318514857461,35.168469168605036,38.480062003113865,42.55741389202006,1.0,4.311592834508829,8.388944723415023,0.11920450461532114,0.5139612879405933,1.0,40,2.5,39
12.10126582278481,fine,0.06,0.03,50,803,0.6857920708164675,0.746882845199262,0.8217417179886148,0.6857920708164675,0.746882845199262,0.8217417179886148,35.40047566339028,38.711748361873696,42.76928641423859,1.0,4.311272698483414,8.368810750848311,0.11949129090995804,0.5151595402066415,1.0,40,2.5,40
12.30379746835443,fine,0.06,0.03,50,810,0.6849795528794485,0.745445280970368,0.8191594583338273,0.6849795528794485,0.745445280970368,0.8191594583338273,35.67586907110676,38.981832754477786,43.01215540182493,1.0,4.305963683371026,8.336286330718167,0.11995749190081509,0.5165326036731837,1.0,40,2.5,41
12.50632911392405,fine,0.06,0.03,50,817,0.6841838570986944,0.7440326131601604,0.8166436923040397,0.6841838570986944,0.7440326131601604,0.8166436923040397,35.95146639943864,39.25197567433833,43.256295161425406,1.0,4.300509274899696,8.30482876198677,0.12041187466468235,0.5178323838035261,1.0,40,2.5,42
12.708860759493671,fine,0.06,0.03,50,824,0.6834045966213935,0.7426441340713326,0.8141916816332888,0.6834045966213935,0.7426441340713326,0.8141916816332888,36.22726903425721,39.52217210722283,43.50164670261882,1.0,4.294903072965617,8.274377668361609,0.12085501050111093,0.5190605559845133,1.0,40,2.5,43
12.91139240506329,fine,0.06,0.03,50,830,0.6826718818175146,0.741455412759568,0.8122134965707599,0.6826718818175146,0.741455412759568,0.8122134965707599,36.46004573173182,39.753393052760366,43.71761469828239,1.0,4.293347321028548,8.257568966550572,0.12110101702459401,0.5199287270163734,1.0,40,2.5,44
13.113924050632912,fine,0.06,0.03,50,837,0.6819231605523284,0.740108149235061,0.8098720690740124,0.6819231605523284,0.740108149235061,0.8098720690740124,36.73625499618132,40.023561394284016,43.965048455385165,1.0,4.287306398102693,8.228793459203843,0.12152449869567544,0.5210127607841917,1.0,40,2.5,45
13.316455696202532,fine,0.06,0.03,50,844,0.6811898144148627,0.7387833072466916,0.8075872202461922,0.6811898144148627,0.7387833072466916,0.8075872202461922,37.01267316221577,40.29377444884506,44.21353337242661,1.0,4.281101286629294,8.200860210210841,0.12193842772187558,0.5220307598096747,1.0,40,2.5,46
13.518987341772151,fine,0.06,0.03,50,851,0.6804714856283303,0.7374803066067901,0.8053567027749367,0.6804714856283303,0.7374803066067901,0.8053567027749367,37.2893006401552,40.56402983921037,44.46301972609913,1.0,4.274729199055173,8.17371908594393,0.12234332859807556,0.5229845990677954,1.0,40,2.5,47
13.721518987341772,fine,0.06,0.03,50,857,0.6797938724096386,0.7363545932374045,0.8035562078363694,0.6797938724096386,0.7363545932374045,0.8035562078363694,37.522886299035115,40.794782597119294,44.68222799763293,1.0,4.2718962980841795,8.159341698597814,0.12255890694856553,0.5235589408908204,1.0,40,2.5,48
13.924050632911392,fine,0.06,0.03,50,864,0.6791035286068803,0.7350890337106522,0.8014196688163395,0.6791035286068803,0.7350890337106522,0.8014196688163395,37.79992911760093,41.065003775252904,44.93340641461659,1.0,4.265074657651972,8.13347729701566,0.12294864342547814,0.5243851432666956,1.0,40,2.5,49
14.126582278481013,fine,0.06,0.03,50,871,0.6784272184050613,0.7338438671842047,0.7993315751921097,0.6784272184050613,0.7338438671842047,0.7993315751921097,38.077182033641655,41.33526535698944,45.18545143004419,1.0,4.258083323347783,8.108269396402534,0.12333088000796799,0.525153163415735,1.0,40,2.5,50
14.329113924050633,fine,0.06,0.03,50,878,0.677764612337195,0.7326186112343607,0.7972900780053682,0.677764612337195,0.7326186112343607,0.7972900780053682,38.35464467547561,41.605566920116125,45.438321398299905,1.0,4.250922244640513,8.083676722824293,0.12370608502644545,0.5258649486363077,1.0,40,2.5,51
