z,U1D,U2D_axis,rel_error
-80.0,0.0020038177016658,0.0020038175862282515,9.110669046753444e-12
-79.98,0.0020043204439046,0.002004320500418544,4.4602457749525e-12
-79.96,0.0020048234388279,0.002004823414608836,1.9114393724641823e-12
-79.94,0.002005326686627,0.002005326794460416,8.510528655057384e-12
-79.92,0.0020058301874927,0.0020058301743119955,1.040259749640663e-12
-79.9,0.0020063339416163,0.0020063340198248625,6.172448557502553e-12
-79.88,0.0020068379491892,0.0020068378653377295,6.61780336711381e-12
-79.86,0.0020073422104022,0.0020073421765118837,2.6747229152793788e-12
-79.84,0.0020078467254485,0.0020078467205166817,3.892335374229273e-13
-79.82,0.0020083514945189,0.0020083514973521233,2.236062669818021e-13
-79.8,0.0020088565178064,0.0020088565070182085,8.514356369512606e-13
-79.78,0.0020093617955028,0.0020093617495149374,3.629496642767495e-12
-79.76,0.0020098673278009,0.00200986722484231,8.125793140766007e-12
-79.74,0.0020103731148931,0.00201037316583097,4.020165710020583e-12
-79.72,0.0020108791569732,0.0020108791068196297,3.958266516689948e-12
-79.7,0.0020113854542334,0.002011385513469577,4.675092369839844e-12
-79.68,0.0020118920068673,0.002011891920119524,6.8463882778579325e-12
-79.66,0.002012398815069,0.0020123987924307585,1.786676253350352e-12
-79.64,0.0020129058790312,0.0020129058975726366,1.4633444228559495e-12
-79.62,0.0020134131989487,0.0020134132355451584,2.888299572318593e-12
-79.6,0.0020139207750157,0.002013920806348324,2.472862353038181e-12
-79.58,0.0020144286074257,0.002014428609982133,2.0176116597914443e-13
-79.56,0.0020149366963736,0.0020149366464465857,3.940386039594378e-12
-79.54,0.0020154450420545,0.0020154451485723257,8.406698443495802e-12
-79.52,0.0020159536446628,0.0020159536506980658,4.763208182971164e-13
-79.5,0.0020164625043937,0.002016462618485093,9.004426524877375e-12
-79.48,0.0020169716214427,0.0020169715862721205,2.7757650343084694e-12
-79.46,0.0020174809960053,0.002017481019720435,1.871667861244854e-12
-79.44,0.0020179906282769,0.0020179906859993935,4.555628057241519e-12
-79.42,0.0020185005184537,0.0020185005851089954,5.2606309235388554e-12
-79.4,0.0020190106667316,0.002019010717049241,3.97121544687464e-12
-79.38,0.0020195210733073,0.0020195210818201303,6.71857464501975e-13
-79.36,0.0020200317383765,0.0020200316794216633,4.65288818957231e-12
-79.34,0.0020205426621372,0.0020205427426844835,6.357027279226458e-12
-79.32,0.0020210538447851,0.0020210538059473038,3.0651925054611e-12
-79.3,0.0020215652865172,0.0020215653348714113,3.816255818649153e-12
-79.28,0.0020220769875317,0.0020220770966261625,8.610054159633446e-12
-79.26,0.0020225889480258,0.0020225888583809137,7.075036680360357e-12
-79.24,0.0020231011681966,0.0020231010857969522,6.503221279796329e-12
-79.22,0.0020236136482428,0.0020236135460436344,8.06585716052038e-12
-79.2,0.0020241263883621,0.002024126471951604,6.597128191604696e-12
-79.18,0.002024639388753,0.0020246393978595734,7.187174283642163e-13
-79.16,0.002025152649614,0.0020251525565981865,7.341080119816649e-12
-79.14,0.0020256661711436,0.002025666180998087,7.777449459419961e-13
-79.12,0.0020261799535405,0.002026180038228631,6.68383506956688e-12
-79.1,0.0020266939970048,0.002026693895459175,8.014277790942924e-12
-79.08,0.0020272083017345,0.0020272082183510065,6.580869270057007e-12
