D,n,E,omega2,omega_real,omega_imag,S_z,S_z_physical,z1,z2,has_bound,has_stable_bound,has_turning_points,is_diagnostic_tunnel,is_physical_tunnel
4.0,1,-0.5050527899604221,0.49494721003957787,0.7035248467819583,0.0,2.9235629320852086,2.9235629320852086,-1.8609117598718083,1.8609117598718083,True,True,True,True,True
4.0,2,-0.3900972960954422,0.6099027039045578,0.7809626776642773,0.0,2.626805550323506,2.626805550323506,-1.8543295939207305,1.8543295939207305,True,True,True,True,True
4.0,3,0.005636667361354579,1.0056366673613546,1.0028143733320511,0.0,,,-1.8216576998369458,1.8216576998369491,False,False,True,False,False
4.5,1,-0.494534873194749,0.505465126805251,0.7109607069348144,0.0,3.259335347292937,3.259335347292937,-2.1091513101480297,2.1091513101480315,True,True,True,True,True
4.5,2,-0.4154158275006947,0.5845841724993053,0.7645810437745009,0.0,3.0367517055667284,3.0367517055667284,-2.1053610710342685,2.105361071034271,True,True,True,True,True
4.5,3,0.005640657086089676,1.0056406570860896,1.0028163625939146,0.0,,,-2.070320165097723,2.070320165097723,False,False,True,False,False
5.0,1,-0.4873675878292349,0.512632412170765,0.7159835278627331,0.0,3.603308588888996,3.603308588888996,-2.3600063625766126,2.3600063625766126,True,True,True,True,True
5.0,2,-0.4326184741685237,0.5673815258314763,0.7532473204940567,0.0,3.4203798827394163,3.4203798827394163,-2.356570176449971,2.356570176449971,True,True,True,True,True
5.0,3,0.00564503670636746,1.0056450367063674,1.0028185462516972,0.0,,,-2.320999935870623,2.3209999358706264,False,False,True,False,False
5.5,1,-0.48256707500574403,0.517432924994256,0.7193281066344175,0.0,3.9451070534396906,3.9451070534396906,-2.608307717642483,2.6083077176424854,True,True,True,True,True
5.5,2,-0.4445360437412933,0.5554639562587067,0.745294543290575,0.0,3.8120733387889065,3.8120733387889065,-2.606488666679945,2.606488666679948,True,True,True,True,True
5.5,3,0.005649802227637078,1.005649802227637,1.002820922312472,0.0,,,-2.569626724578024,2.569626724578024,False,False,True,False,False
6.0,1,-0.4794374275180444,0.5205625724819556,0.721500223480184,0.0,4.2815845049986905,4.2815845049986905,-2.8592217504924333,2.8592217504924333,True,True,True,True,True
6.0,2,-0.45294840099174416,0.5470515990082558,0.7396293659720765,0.0,4.180384939914809,4.180384939914809,-2.8575592689000273,2.8575592689000273,True,True,True,True,True
6.0,3,0.005654949939752785,1.0056549499397527,1.0028234889250214,0.0,,,-2.820569548052973,2.8205695480529767,False,False,True,False,False
6.5,1,-0.47748100971494856,0.5225189902850514,0.7228547504755374,0.0,4.63840509774966,4.63840509774966,-3.1078799542455973,3.1078799542455995,True,True,True,True,True
6.5,2,-0.4589963164873142,0.5410036835126858,0.7355295259285556,0.0,4.560923525225735,4.560923525225735,-3.106996778079082,3.1069967780790844,True,True,True,True,True
6.5,3,0.005660476380678763,1.0056604763806787,1.0028262443617433,0.0,,,-3.0691538855588547,3.0691538855588547,False,False,True,False,False
7.0,1,-0.476340921005037,0.523659078994963,0.7236429223000547,0.0,4.978414976402545,4.978414976402545,-3.358822074342594,3.358822074342594,True,True,True,True,True
7.0,2,-0.46342458054596875,0.5365754194540313,0.7325130848346884,0.0,4.920074914661653,4.920074914661653,-3.3580122163400703,3.3580122163400703,True,True,True,True,True
7.0,3,0.005666378320057001,1.005666378320057,1.0028291870104584,0.0,,,-3.3202658024383815,3.3202658024383847,False,False,True,False,False
7.5,1,-0.47576181422129254,0.5242381857787075,0.7240429447061186,0.0,5.337979185875568,5.337979185875568,-3.6076637950044605,3.6076637950044623,True,True,True,True,True
7.5,2,-0.46672763930188094,0.5332723606981191,0.7302549970374178,0.0,5.293803074438286,5.293803074438286,-3.607232497577776,3.6072324975777783,True,True,True,True,True
7.5,3,0.00567265273812681,1.0056726527381268,1.0028323153639032,0.0,,,-3.568810553280189,3.568810553280189,False,False,True,False,False
8.0,1,-0.475562053017093,0.524437946982907,0.7241808800174905,0.0,5.680402024647233,5.680402024647233,-3.8586204671213657,3.8586204671213657,True,True,True,True,True
8.0,2,-0.4692386181949072,0.5307613818050928,0.72853372043104,0.0,5.647415798408105,5.647415798408105,-3.858224275373108,3.858224275373108,True,True,True,True,True
8.0,3,0.005679296811972042,1.005679296811972,1.0028356280128723,0.0,,,-3.8200397654078477,3.8200397654078513,False,False,True,False,False
8.5,1,-0.4756134420176889,0.524386557982311,0.7241453983712878,0.0,6.0417197632691515,6.0417197632691515,-4.107554918177776,4.107554918177778,True,True,True,True,True
8.5,2,-0.4711848880751692,0.5288151119248308,0.7271967491159671,0.0,6.016960638958398,6.016960638958398,-4.107343625364354,4.107343625364357,True,True,True,True,True
8.5,3,0.005686307908013086,1.0056863079080132,1.0028391236424778,0.0,,,-4.068549670425967,4.068549670425967,False,False,True,False,False
