preset,D,z,rel_error
physical_gap,6.0,-37.6,6.877042612176623e-12
physical_gap,6.0,-37.2,8.90511182662982e-12
physical_gap,6.0,-36.8,1.2625347022670638e-11
physical_gap,6.0,-36.4,1.698877282918009e-11
physical_gap,6.0,-36.0,5.923734774189618e-12
physical_gap,6.0,-35.6,6.823765325804508e-12
physical_gap,6.0,-35.2,3.492810045263437e-12
physical_gap,6.0,-34.8,7.628984233725749e-12
physical_gap,6.0,-34.4,1.69713929272679e-11
physical_gap,6.0,-34.0,9.376031053640443e-12
physical_gap,6.0,-33.6,1.5349277693547552e-11
physical_gap,6.0,-33.2,1.4322946392764944e-11
physical_gap,6.0,-32.8,2.6629581149438622e-12
physical_gap,6.0,-32.4,6.740218728719708e-12
physical_gap,6.0,-32.0,1.1103611540051261e-11
physical_gap,6.0,-31.6,1.4908521330150789e-12
physical_gap,6.0,-31.2,1.5612524586312702e-11
physical_gap,6.0,-30.8,1.235603285063667e-12
physical_gap,6.0,-30.4,1.3037948710293487e-11
physical_gap,6.0,-30.0,8.427473083721695e-12
physical_gap,6.0,-29.6,3.95080919575635e-12
physical_gap,6.0,-29.2,1.1770563128164583e-11
physical_gap,6.0,-28.8,8.800271291768205e-12
physical_gap,6.0,-28.4,1.4139766201091835e-11
physical_gap,6.0,-28.0,5.373109123309537e-12
physical_gap,6.0,-27.6,1.0803252465259798e-11
physical_gap,6.0,-27.2,1.2430538289793977e-12
physical_gap,6.0,-26.8,3.2429286639176404e-12
physical_gap,6.0,-26.4,8.585936532866656e-12
physical_gap,6.0,-26.0,1.8170046678734064e-11
physical_gap,6.0,-25.6,1.1947129292672852e-11
physical_gap,6.0,-25.2,9.71729415463706e-13
physical_gap,6.0,-24.8,1.5614990188631327e-11
physical_gap,6.0,-24.4,1.2302814846057211e-11
physical_gap,6.0,-24.0,1.7257098241152694e-12
physical_gap,6.0,-23.6,4.1754589181255364e-12
physical_gap,6.0,-23.2,7.952335402680227e-12
physical_gap,6.0,-22.8,1.0393222142507138e-11
physical_gap,6.0,-22.4,3.129544636986062e-12
physical_gap,6.0,-22.0,9.123731440646368e-12
physical_gap,6.0,-21.6,1.7941753522031864e-11
physical_gap,6.0,-21.2,1.8213302603958067e-11
physical_gap,6.0,-20.8,2.901544932002988e-11
physical_gap,6.0,-20.4,2.938556964765265e-11
physical_gap,6.0,-20.0,2.46773310887881e-11
physical_gap,6.0,-19.6,2.7272214675347622e-11
physical_gap,6.0,-19.2,2.956777408566232e-11
physical_gap,6.0,-18.8,3.195765069118527e-11
physical_gap,6.0,-18.4,2.6130368215105714e-11
physical_gap,6.0,-18.0,2.7458480258427947e-11
physical_gap,6.0,-17.6,2.42561558574706e-12
physical_gap,6.0,-17.199999999999996,1.5664345703754788e-11
physical_gap,6.0,-16.799999999999997,2.4333167424144288e-12
physical_gap,6.0,-16.4,2.9836986260154655e-12
physical_gap,6.0,-16.0,3.5133724484570504e-11
physical_gap,6.0,-15.599999999999994,2.6695898855736638e-11
physical_gap,6.0,-15.200000000000005,3.0642433875315234e-11
physical_gap,6.0,-14.799999999999995,2.2930908370609726e-11
physical_gap,6.0,-14.400000000000006,2.0791409853923943e-11
physical_gap,6.0,-14.0,1.5615624284757634e-11
physical_gap,6.0,-13.599999999999994,1.0555039394039693e-11
physical_gap,6.0,-13.200000000000005,5.780527213720625e-12
physical_gap,6.0,-12.799999999999995,2.1134751788037667e-12
physical_gap,6.0,-12.400000000000006,3.2014751242455424e-11
physical_gap,6.0,-12.0,3.576905375431309e-11
physical_gap,6.0,-11.599999999999994,3.1784056762422246e-11
physical_gap,6.0,-11.200000000000005,3.5934090842334595e-11
physical_gap,6.0,-10.799999999999995,3.069190692720312e-11
physical_gap,6.0,-10.399999999999991,4.5631142660694604e-12
physical_gap,6.0,-10.0,5.4613718676645974e-11
physical_gap,6.0,-9.599999999999994,1.4442185147041322e-11
physical_gap,6.0,-9.200000000000005,4.483350737267631e-11
physical_gap,6.0,-8.799999999999997,3.1686290681212095e-11
physical_gap,6.0,-8.399999999999991,1.7597501140063244e-11
physical_gap,6.0,-8.0,6.280027712666228e-11
physical_gap,6.0,-7.599999999999994,6.024009063939818e-11
physical_gap,6.0,-7.200000000000003,6.344882185506497e-11
physical_gap,6.0,-6.799999999999997,1.179108174771549e-11
physical_gap,6.0,-6.399999999999992,6.835675462368651e-11
physical_gap,6.0,-6.0,2.1689481231282655e-11
physical_gap,6.0,-5.599999999999994,1.0426873363117885e-10
physical_gap,6.0,-5.200000000000003,4.951481748527257e-11
physical_gap,6.0,-4.799999999999997,8.622175958210172e-11
physical_gap,6.0,-4.399999999999992,8.691044972143678e-11
physical_gap,6.0,-4.0,9.15838911001966e-11
physical_gap,6.0,-3.5999999999999943,5.08251271378051e-10
physical_gap,6.0,-3.200000000000003,7.749635537580793e-11
physical_gap,6.0,-2.799999999999997,1.1229846969719496e-10
physical_gap,6.0,-2.3999999999999915,8.509194280775732e-11
physical_gap,6.0,-2.0,2.693994633366526e-10
physical_gap,6.0,-1.5999999999999943,2.573169106757607e-10
physical_gap,6.0,-1.2000000000000028,1.9471188970206377e-10
physical_gap,6.0,-0.7999999999999972,1.4375235658386736e-10
physical_gap,6.0,-0.3999999999999915,1.136144362292234e-10
physical_gap,6.0,0.0,4.968867551236824e-11
physical_gap,6.0,0.4000000000000057,1.136144362292234e-10
physical_gap,6.0,0.7999999999999972,1.4375235658386736e-10
physical_gap,6.0,1.2000000000000028,1.9471188970206377e-10
physical_gap,6.0,1.6000000000000083,2.5731683948284573e-10
physical_gap,6.0,2.0,2.693994633366526e-10
physical_gap,6.0,2.4000000000000057,8.50916908943659e-11
physical_gap,6.0,2.799999999999997,1.1229846969719496e-10
physical_gap,6.0,3.200000000000003,7.749635537580793e-11
physical_gap,6.0,3.6000000000000085,5.082510260363133e-10
physical_gap,6.0,4.0,9.15838911001966e-11
physical_gap,6.0,4.400000000000006,8.691041795844395e-11
physical_gap,6.0,4.799999999999997,8.622175958210172e-11
physical_gap,6.0,5.200000000000003,4.951481748527257e-11
physical_gap,6.0,5.6000000000000085,1.0426877306110099e-10
physical_gap,6.0,6.0,2.1689481231282655e-11
physical_gap,6.0,6.400000000000006,6.835675462368651e-11
physical_gap,6.0,6.799999999999997,1.179108174771549e-11
physical_gap,6.0,7.200000000000003,6.344882185506497e-11
physical_gap,6.0,7.600000000000008,6.024009063939818e-11
physical_gap,6.0,8.0,6.280027712666228e-11
physical_gap,6.0,8.400000000000006,1.7597501140063244e-11
physical_gap,6.0,8.799999999999997,3.1686290681212095e-11
physical_gap,6.0,9.200000000000005,4.483350737267631e-11
physical_gap,6.0,9.600000000000009,1.4442185147041322e-11
physical_gap,6.0,10.0,5.4613718676645974e-11
physical_gap,6.0,10.400000000000006,4.5631142660694604e-12
physical_gap,6.0,10.799999999999995,3.069190692720312e-11
physical_gap,6.0,11.200000000000005,3.5934090842334595e-11
physical_gap,6.0,11.600000000000009,3.1784056762422246e-11
physical_gap,6.0,12.0,3.576905375431309e-11
physical_gap,6.0,12.400000000000006,3.2014751242455424e-11
physical_gap,6.0,12.799999999999995,2.1134751788037667e-12
physical_gap,6.0,13.200000000000005,5.780527213720625e-12
physical_gap,6.0,13.600000000000009,1.0555039394039693e-11
physical_gap,6.0,14.0,1.5615624284757634e-11
physical_gap,6.0,14.400000000000006,2.0791409853923943e-11
physical_gap,6.0,14.799999999999995,2.2930908370609726e-11
physical_gap,6.0,15.200000000000005,3.0642433875315234e-11
physical_gap,6.0,15.600000000000009,2.6695898855736638e-11
physical_gap,6.0,16.0,3.5133724484570504e-11
physical_gap,6.0,16.400000000000006,2.9836986260154655e-12
physical_gap,6.0,16.799999999999997,2.4333167424144288e-12
physical_gap,6.0,17.200000000000003,1.5664345703754788e-11
physical_gap,6.0,17.60000000000001,2.42561558574706e-12
physical_gap,6.0,18.0,2.7458480258427947e-11
physical_gap,6.0,18.40000000000001,2.6130368215105714e-11
physical_gap,6.0,18.8,3.195765069118527e-11
physical_gap,6.0,19.200000000000003,2.956777408566232e-11
physical_gap,6.0,19.60000000000001,2.7272214675347622e-11
physical_gap,6.0,20.0,2.46773310887881e-11
physical_gap,6.0,20.40000000000001,2.938556964765265e-11
physical_gap,6.0,20.8,2.901544932002988e-11
physical_gap,6.0,21.200000000000003,1.8213302603958067e-11
physical_gap,6.0,21.60000000000001,1.7941753522031864e-11
physical_gap,6.0,22.0,9.123731440646368e-12
physical_gap,6.0,22.40000000000001,3.129544636986062e-12
physical_gap,6.0,22.8,1.0393222142507138e-11
physical_gap,6.0,23.200000000000003,7.952335402680227e-12
physical_gap,6.0,23.60000000000001,4.1754589181255364e-12
physical_gap,6.0,24.0,1.7257098241152694e-12
physical_gap,6.0,24.40000000000001,1.2302814846057211e-11
physical_gap,6.0,24.8,1.5614990188631327e-11
physical_gap,6.0,25.200000000000003,9.71729415463706e-13
physical_gap,6.0,25.60000000000001,1.1947129292672852e-11
physical_gap,6.0,26.0,1.8170046678734064e-11
physical_gap,6.0,26.40000000000001,8.585936532866656e-12
physical_gap,6.0,26.8,3.2429286639176404e-12
physical_gap,6.0,27.200000000000003,1.2430538289793977e-12
physical_gap,6.0,27.60000000000001,1.0803252465259798e-11
physical_gap,6.0,28.0,5.373109123309537e-12
physical_gap,6.0,28.40000000000001,1.4139766201091835e-11
physical_gap,6.0,28.8,8.800271291768205e-12
physical_gap,6.0,29.200000000000003,1.1770563128164583e-11
physical_gap,6.0,29.60000000000001,3.95080919575635e-12
physical_gap,6.0,30.0,8.427473083721695e-12
physical_gap,6.0,30.40000000000001,1.3037948710293487e-11
physical_gap,6.0,30.8,1.235603285063667e-12
physical_gap,6.0,31.200000000000003,1.5612524586312702e-11
physical_gap,6.0,31.60000000000001,1.4908521330150789e-12
physical_gap,6.0,32.0,1.1103611540051261e-11
physical_gap,6.0,32.400000000000006,6.740218728719708e-12
physical_gap,6.0,32.8,2.6629581149438622e-12
physical_gap,6.0,33.2,1.4322946392764944e-11
physical_gap,6.0,33.60000000000001,1.5349277693547552e-11
physical_gap,6.0,34.0,9.376031053640443e-12
physical_gap,6.0,34.400000000000006,1.69713929272679e-11
physical_gap,6.0,34.8,7.628984233725749e-12
physical_gap,6.0,35.2,3.492810045263437e-12
physical_gap,6.0,35.60000000000001,6.823765325804508e-12
physical_gap,6.0,36.0,5.923734774189618e-12
physical_gap,6.0,36.400000000000006,1.698877282918009e-11
physical_gap,6.0,36.8,1.2625347022670638e-11
physical_gap,6.0,37.2,8.90511182662982e-12
physical_gap,6.0,37.60000000000001,6.877042612176623e-12
physical_gap,6.0,38.0,6.118946979220921e-12
physical_gap,6.0,38.400000000000006,7.53263331706479e-12
physical_gap,6.0,38.8,8.536596009328174e-12
physical_gap,6.0,39.2,1.7516297063699844e-11
physical_gap,6.0,39.60000000000001,1.5052029064592993e-11
physical_gap,6.0,40.0,4.832313434163863e-12
physical_gap,6.0,40.400000000000006,1.627190884674785e-11
physical_gap,6.0,40.8,1.1117645580324067e-11
physical_gap,6.0,41.2,5.753579531674347e-12
physical_gap,6.0,41.60000000000001,4.514633328524508e-12
physical_gap,6.0,42.0,5.512192081176939e-12
physical_gap,6.0,42.400000000000006,3.478934785727432e-12
physical_gap,6.0,42.8,4.567331385233148e-12
physical_gap,6.0,43.2,8.987505303856292e-12
physical_gap,6.0,43.60000000000001,5.0066253160924605e-12
physical_gap,6.0,44.0,4.353179913860282e-12
physical_gap,6.0,44.400000000000006,6.365837710500194e-14
physical_gap,6.0,44.8,1.8409762533278934e-12
physical_gap,6.0,45.2,1.3592172546932741e-12
physical_gap,6.0,45.60000000000001,7.959183887281384e-12
physical_gap,6.0,46.0,5.250582728138177e-12
physical_gap,6.0,46.400000000000006,8.189497142945843e-12
physical_gap,6.0,46.8,8.577005723957368e-12
physical_gap,6.0,47.2,1.2937680677305237e-12
physical_gap,6.0,47.60000000000001,7.880702494959846e-12
physical_gap,6.0,48.0,6.852742450883134e-12
