z,U
-80.0,0.0020123233671252225
-79.98,0.0020128325240130426
-79.96,0.0020133419400451243
-79.94,0.002013851615420419
-79.92,0.002014361550337879
-79.9,0.0020148717449971227
-79.88,0.0020153821995973235
-79.86,0.00201589291433921
-79.84,0.002016403889421512
-79.82,0.0020169151250454026
-79.8,0.0020174266214111653
-79.78,0.00201793837871864
-79.76,0.002018450397169666
-79.74,0.002018962676964527
-79.72,0.002019475218304618
-79.7,0.0020199880213913326
-79.68,0.0020205010864265105
-79.66,0.002021014413611989
-79.64,0.0020215280031498297
-79.62,0.0020220418552425365
-79.6,0.0020225559700917267
-79.58,0.0020230703479010145
-79.56,0.002023584988872461
-79.54,0.002024099893210125
-79.52,0.0020246150611165107
-79.5,0.0020251304927954555
-79.48,0.002025646188450797
-79.46,0.002026162148286593
-79.44,0.002026678372506459
-79.42,0.00202719486131512
-79.4,0.002027711614917301
-79.38,0.0020282286335172833
-79.36,0.0020287459173206806
-79.34,0.002029263466532661
-79.32,0.0020297812813581725
-79.3,0.0020302993620030505
-79.28,0.002030817708673574
-79.26,0.0020313363215753565
-79.24,0.0020318552009148992
-79.22,0.002032374346898038
-79.2,0.0020328937597326067
-79.18,0.0020334134396246617
-79.16,0.00203393338678226
-79.14,0.0020344536014116803
-79.12,0.0020349740837212003
-79.1,0.0020354948339182106
-79.08,0.002036015852210766
-79.06,0.002036537138807589
-79.04,0.002037058693916957
-79.02,0.0020375805177471483
-79.0,0.002038102610506884
-78.98,0.00203862497240622
-78.96,0.00203914760365321
-78.94,0.002039670504458354
-78.92,0.0020401936750312614
-78.9,0.002040717115581542
-78.88,0.0020412408263196942
-78.86,0.002041764807455773
-78.84,0.0020422890592007195
-78.82,0.002042813581765477
-78.8,0.002043338375360322
-78.78,0.0020438634401979718
-78.76,0.002044388776488482
-78.74,0.002044914384444349
-78.72,0.002045440264277403
-78.7,0.0020459664162001405
-78.68,0.0020464928404243924
-78.66,0.0020470195371626557
-78.64,0.0020475465066285368
-78.62,0.0020480737490343104
-78.6,0.002048601264593806
-78.58,0.0020491290535201855
-78.56,0.002049657116027501
-78.54,0.00205018545232958
-78.52,0.0020507140626402527
-78.5,0.0020512429471744582
-78.48,0.0020517721061464687
-78.46,0.002052301539771668
-78.44,0.00205283124826433
-78.42,0.002053361231840058
-78.4,0.002053891490714903
-78.38,0.0020544220251042483
-78.36,0.00205495283522392
-78.34,0.0020554839212901907
-78.32,0.0020560152835193317
-78.3,0.002056546922128724
-78.28,0.0020570788373346395
-78.26,0.0020576110293542378
-78.24,0.002058143498404901
-78.22,0.002058676244704454
-78.2,0.002059209268470945
-78.18,0.0020597425699215334
-78.16,0.0020602761492749338
-78.14,0.0020608100067498595
-78.12,0.0020613441425648025
-78.1,0.0020618785569391433
-78.08,0.0020624132500911513
-78.06,0.0020629482222413167
-78.04,0.0020634834736083536
-78.02,0.0020640190044129746
-78.0,0.0020645548148747815
-77.98,0.002065090905214265
-77.96,0.0020656272756516924
-77.94,0.002066163926408443
-77.92,0.0020667008577056733
-77.9,0.0020672380697640954
-77.88,0.0020677755628053097
-77.86,0.0020683133370511387
-77.84,0.002068851392723849
-77.82,0.002069389730045264
-77.8,0.0020699283492380933
-77.78,0.002070467250525048
-77.76,0.0020710064341288394
-77.74,0.0020715459002730655
-77.72,0.0020720856491804377
-77.7,0.002072625681075221
-77.68,0.002073165996180792
-77.66,0.00207370659472186
-77.64,0.002074247476922246
-77.62,0.0020747886430071034
-77.6,0.0020753300932006965
-77.58,0.0020758718277281794
-77.56,0.0020764138468149273
-77.54,0.0020769561506865366
-77.52,0.0020774987395690498
-77.5,0.0020780416136880636
-77.48,0.0020785847732698415
-77.46,0.002079128218541535
-77.44,0.002079671949728742
-77.42,0.002080215967059502
-77.4,0.0020807602707607446
-77.38,0.0020813048610596216
-77.36,0.0020818497381843945
-77.34,0.002082394902362659
-77.32,0.002082940353822455
-77.3,0.0020834860927924884
-77.28,0.0020840321195014656
-77.26,0.002084578434178092
-77.24,0.002085125037051962
-77.22,0.0020856719283522257
-77.2,0.0020862191083086986
-77.18,0.0020867665771505317
-77.16,0.002087314335109317
-77.14,0.0020878623824142047
-77.12,0.0020884107192958986
-77.1,0.002088959345986214
-77.08,0.002089508262715633
-77.06,0.0020900574697157483
-77.04,0.0020906069672177075
-77.02,0.002091156755453992
-77.0,0.0020917068346568606
-76.98,0.0020922572050579053
-76.96,0.002092807866890273
-76.94,0.002093358820387111
-76.92,0.002093910065781122
-76.9,0.0020944616033056742
-76.88,0.002095013433194359
-76.86,0.002095565555681656
-76.84,0.0020961179710009326
-76.82,0.0020966706793866694
-76.8,0.0020972236810740115
-76.78,0.002097776976297437
-76.76,0.0020983305652923136
-76.74,0.0020988844482942312
-76.72,0.0020994386255376685
-76.7,0.002099993097259991
-76.68,0.0021005478636965664
-76.66,0.0021011029250840936
-76.64,0.0021016582816586068
-76.62,0.002102213933657693
