preset,D,z,rel_error
diagnostic_deepwell,6.0,-80.0,5.62148271993654e-19
diagnostic_deepwell,6.0,-79.6,6.148701698636678e-20
diagnostic_deepwell,6.0,-79.2,2.699406246815619e-19
diagnostic_deepwell,6.0,-78.8,5.372652033406318e-19
diagnostic_deepwell,6.0,-78.4,5.679523103730045e-19
diagnostic_deepwell,6.0,-78.0,4.020611824082788e-19
diagnostic_deepwell,6.0,-77.6,1.7988188650959497e-19
diagnostic_deepwell,6.0,-77.2,4.057453074782277e-19
diagnostic_deepwell,6.0,-76.8,3.232830969314633e-19
diagnostic_deepwell,6.0,-76.4,4.0015250215493806e-19
diagnostic_deepwell,6.0,-76.0,2.856375479270476e-19
diagnostic_deepwell,6.0,-75.6,3.534609811290864e-19
diagnostic_deepwell,6.0,-75.2,1.1864270268887026e-18
diagnostic_deepwell,6.0,-74.8,1.1281475265084488e-18
diagnostic_deepwell,6.0,-74.4,2.429303927700483e-19
diagnostic_deepwell,6.0,-74.0,8.557479372643053e-19
diagnostic_deepwell,6.0,-73.6,2.2938803791416883e-19
diagnostic_deepwell,6.0,-73.2,2.2083345389894364e-19
diagnostic_deepwell,6.0,-72.8,7.8165313401080665e-19
diagnostic_deepwell,6.0,-72.4,2.8653267281763884e-19
diagnostic_deepwell,6.0,-72.0,1.1337759829999437e-18
diagnostic_deepwell,6.0,-71.6,7.327119008579783e-19
diagnostic_deepwell,6.0,-71.2,9.173446510417303e-19
diagnostic_deepwell,6.0,-70.8,1.0921390562218178e-18
diagnostic_deepwell,6.0,-70.4,5.078076086339676e-19
diagnostic_deepwell,6.0,-70.0,6.668674564687993e-19
diagnostic_deepwell,6.0,-69.6,4.225718684718262e-19
diagnostic_deepwell,6.0,-69.2,1.1507373093844656e-18
diagnostic_deepwell,6.0,-68.8,3.299500548967933e-19
diagnostic_deepwell,6.0,-68.4,1.1808552295466774e-18
diagnostic_deepwell,6.0,-68.0,1.2097584908810452e-19
diagnostic_deepwell,6.0,-67.6,9.14592231096416e-19
diagnostic_deepwell,6.0,-67.2,7.825526268975024e-19
diagnostic_deepwell,6.0,-66.8,1.8823345253698847e-18
diagnostic_deepwell,6.0,-66.4,2.2311092337005438e-18
diagnostic_deepwell,6.0,-66.0,3.6732660929666155e-19
diagnostic_deepwell,6.0,-65.6,1.1228567600269035e-18
diagnostic_deepwell,6.0,-65.2,3.6281203341177654e-19
diagnostic_deepwell,6.0,-64.8,1.1742268624802644e-18
diagnostic_deepwell,6.0,-64.4,1.2868709739321807e-18
diagnostic_deepwell,6.0,-64.0,1.7254667043801417e-18
diagnostic_deepwell,6.0,-63.6,6.319335270905292e-19
diagnostic_deepwell,6.0,-63.2,2.295082155847688e-19
diagnostic_deepwell,6.0,-62.8,7.833895441955604e-19
diagnostic_deepwell,6.0,-62.4,2.3804799093764522e-18
