D,n,E,omega2,omega_real,omega_imag,S_z,S_z_physical,z1,z2,has_bound,has_stable_bound,has_turning_points,is_diagnostic_tunnel,is_physical_tunnel
4.0,1,-19.588656059600318,-19.588656059600318,,4.4259073713308,15.454703410653186,,-1.826392673935982,1.8263926739359824,True,False,True,True,False
4.0,2,-19.588653134788423,-19.588653134788423,,4.425907040911323,15.454702119625507,,-1.8263926549123637,1.8263926549123644,True,False,True,True,False
4.0,3,0.0015694635996906675,0.0015694635996906675,0.03961645617279096,0.0,,,,,False,False,False,False,False
4.5,1,-19.773989129397556,-19.773989129397556,,4.446795377504744,17.725206139792306,,-2.0766324331226627,2.0766324331226627,True,False,True,True,False
4.5,2,-19.77398883315832,-19.77398883315832,,4.446795344195449,17.725205995707988,,-2.0766324310949886,2.0766324310949886,True,False,True,True,False
4.5,3,0.0015750746236831937,0.0015750746236831937,0.039687209824869195,0.0,,,,,False,False,False,False,False
5.0,1,-19.924420940857445,-19.924420940857445,,4.463677961150137,20.047838029137093,,-2.3266785491812594,2.32667854918126,True,False,True,True,False
5.0,2,-19.924420910975684,-19.924420910975684,,4.463677957802924,20.047838012715427,,-2.3266785489889465,2.3266785489889474,True,False,True,True,False
5.0,3,0.0015810360794657073,0.0015810360794657073,0.03976224439673529,0.0,,,,,False,False,False,False,False
5.5,1,-20.048951077251616,-20.048951077251616,,4.477605507104396,22.32350784373745,,-2.576888618209879,2.576888618209879,True,False,True,True,False
5.5,2,-20.048951074246624,-20.048951074246624,,4.477605506768838,22.323507841950317,,-2.5768886181894906,2.5768886181894906,True,False,True,True,False
5.5,3,0.0015873168810453312,0.0015873168810453312,0.039841145578978165,0.0,,,,,False,False,False,False,False
6.0,1,-20.153733407973032,-20.153733407973032,,4.489290969404081,24.65073710525446,,-2.826886328045151,2.8268863280451515,True,False,True,True,False
6.0,2,-20.15373340767166,-20.15373340767166,,4.489290969370515,24.65073710505625,,-2.826886328043225,2.8268863280432255,True,False,True,True,False
6.0,3,0.0015938907501358442,0.0015938907501358442,0.03992356134084037,0.0,,,,,False,False,False,False,False
6.5,1,-20.24311704475123,-20.24311704475123,,4.499235162197151,26.929238930118387,,-3.07707864682668,3.07707864682668,True,False,True,True,False
