z,U
-76.24,-9.848839931810395e-10
-76.22,-9.861436532164432e-10
-76.2,-9.874052518693258e-10
-76.18,-9.886687926299153e-10
-76.16,-9.899342789956414e-10
-76.14,-9.912017144711505e-10
-76.12,-9.92471102568323e-10
-76.1,-9.93742446806292e-10
-76.08,-9.950157507114556e-10
-76.06,-9.962910178174977e-10
-76.04,-9.975682516654065e-10
-76.02,-9.988474558034863e-10
-76.0,-1.000128633787377e-09
-75.98,-1.0014117891800726e-09
-75.96,-1.0026969255519387e-09
-75.94,-1.0039840464807244e-09
-75.92,-1.0052731555515862e-09
-75.9,-1.0065642563571016e-09
-75.88,-1.0078573524972887e-09
-75.86,-1.009152447579619e-09
-75.84,-1.0104495452190404e-09
-75.82,-1.0117486490379922e-09
-75.8,-1.013049762666422e-09
-75.78,-1.0143528897418026e-09
-75.76,-1.0156580339091531e-09
-75.74,-1.0169651988210552e-09
-75.72,-1.0182743881376663e-09
-75.7,-1.0195856055267434e-09
-75.68,-1.0208988546636578e-09
-75.66,-1.0222141392314166e-09
-75.64,-1.0235314629206711e-09
-75.62,-1.024850829429747e-09
-75.6,-1.0261722424646558e-09
-75.58,-1.0274957057391103e-09
-75.56,-1.0288212229745494e-09
-75.54,-1.0301487979001508e-09
-75.52,-1.0314784342528532e-09
-75.5,-1.0328101357773696e-09
-75.48,-1.0341439062262111e-09
-75.46,-1.0354797493597007e-09
-75.44,-1.0368176689459952e-09
-75.42,-1.0381576687610992e-09
-75.4,-1.0394997525888895e-09
-75.38,-1.040843924221129e-09
-75.36,-1.0421901874574843e-09
-75.34,-1.0435385461055504e-09
-75.32,-1.0448890039808642e-09
-75.3,-1.0462415649069212e-09
-75.28,-1.047596232715203e-09
-75.26,-1.0489530112451866e-09
-75.24,-1.0503119043443706e-09
-75.22,-1.0516729158682857e-09
-75.2,-1.0530360496805248e-09
-75.18,-1.0544013096527509e-09
-75.16,-1.0557686996647255e-09
-75.14,-1.057138223604318e-09
-75.12,-1.0585098853675355e-09
-75.1,-1.0598836888585343e-09
-75.08,-1.061259637989639e-09
-75.06,-1.0626377366813688e-09
-75.04,-1.0640179888624506e-09
-75.02,-1.065400398469839e-09
-75.0,-1.0667849694487368e-09
-74.98,-1.0681717057526162e-09
