case,uv_rge_mu_low,uv_rge_gamma_diag,uv_rge_gamma_offdiag,f_chi2_le_4,best_chi2,best_D,best_eta,mu_p50,mu_p90,mu_mean,mu_std
baseline,1.0,2.0,1.0,0.15,2.2079807637329057e-05,4.0,0.26440677966101694,0.05318259450883554,17.625792407064143,5.716780495320452,15.149295217565344
mu_low_minus,0.5,2.0,1.0,0.15,2.207862637940161e-05,4.0,0.26440677966101694,0.05318296529110815,17.62579864503048,5.716785382800127,15.149309020938272
mu_low_plus,2.0,2.0,1.0,0.15,2.208100980939824e-05,4.0,0.26440677966101694,0.053182217195956234,17.62578605906681,5.716775521676702,15.149281170828017
gamma_diag_minus,1.0,1.0,1.0,0.15,2.201192290021241e-05,4.0,0.26440677966101694,0.05320395670136947,17.6261515441422,5.717061963066996,15.150090090584966
gamma_diag_plus,1.0,3.0,1.0,0.15,2.2147661343413494e-05,4.0,0.26440677966101694,0.05316135161801945,17.62543475823172,5.716500334796283,15.148504000745623
gamma_offdiag_minus,1.0,2.0,0.5,0.15,2.2079807637329057e-05,4.0,0.26440677966101694,0.05318259450883554,17.625792407064143,5.716780495320452,15.149295217565344
gamma_offdiag_plus,1.0,2.0,1.5,0.15,2.2079807637329057e-05,4.0,0.26440677966101694,0.05318259450883554,17.625792407064143,5.716780495320452,15.149295217565344
