candidate_id,runtime_direct_b_window_k,runtime_direct_b_window_gap_scale,runtime_direct_b_window_sigma_mult,runtime_direct_b_window_floor,runtime_direct_b_flavor_sigma_power,runtime_direct_b_flavor_sigma_min_scale,runtime_direct_b_flavor_sigma_max_scale,runtime_direct_b_profile_blend,max_abs_delta_mu_mumu,p99_abs_delta_mu_mumu,mean_abs_delta_mu_mumu,frac_acceptance_mismatch,n_acceptance_mismatch,delta_f_chi2_le_4,objective
9,3,1.3537330450593197,2.622343987654014,0.11605176607151511,0.06167514076579421,0.8276960574029787,1.841941251210551,0.9078685368416409,5.3413064919043975,5.340216202762695,0.6348840866532032,0.029036004645760744,25,-0.029036004645760755,8.244906956480472
2,1,1.3710108878605995,2.909910578680871,0.027482271709233914,0.06392278249524226,0.5757838511310751,1.6994809620722757,0.9562056546695611,5.387299255932817,5.386190239461072,0.5134848450499535,0.029036004645760744,25,-0.029036004645760755,8.290899720508891
8,0,0.9300633961500114,2.1030778171420694,0.10003341312491164,0.09361370199638452,0.6473285256611299,1.466507872053771,0.9160462570053627,5.828386412754718,5.827199443836133,0.7051223349550959,0.029036004645760744,25,-0.029036004645760755,8.731986877330792
4,1,1.1238803195163445,3.186040958028445,0.0784430527805509,0.06923518446182647,0.5661432818472125,1.5246440193426154,0.7773543137759436,12.360969822276118,12.360863356145185,1.2512583841661,0.029036004645760744,25,-0.029036004645760755,15.264570286852193
7,2,1.3111511211401599,2.777992133536939,0.04219852772597921,0.14989961033289276,0.8717550780760811,1.2294205571180221,0.7608484749618369,12.630487354644202,12.627831826167094,1.3166230091870939,0.029036004645760744,25,-0.029036004645760755,15.534087819220277
5,1,1.075218999096212,2.6732766119806697,0.11446948240356197,0.09483290686369786,0.620872749794234,1.5840890757840151,0.6495933942877558,18.579487269966947,18.575541253191435,1.7816743349503994,0.11149825783972125,96,0.07897793263646921,29.729313053939073
6,1,1.1787300735308666,1.3047006360281603,0.0484918389130349,0.045701286139291614,0.5509786474465991,1.5489030444359828,0.1442874265986801,34.04016004848775,34.03987820223272,3.5183588184672634,0.018583042973286876,16,0.018583042973286862,35.898464345816436
1,3,0.9005069748713691,1.6712745608228567,0.10141082820986541,0.07780262301269672,0.5086310528601721,1.346399709642253,0.28278092229714324,40.80088923050003,40.800511886914656,3.7188936157827515,0.018583042973286876,16,0.018583042973286862,42.65919352782872
11,0,0.776893023221872,1.3618547322186283,0.10981282890433687,0.09204402051296943,0.5020031160623596,1.9933588902242392,0.15194682048019637,45.3962469618832,45.39580297273479,4.280837114437333,0.012775842044134728,11,-0.012775842044134733,46.67383116629667
3,1,1.2023018470328708,2.7710172057004754,0.07544072161702994,0.0018569166181541473,0.8001988849301774,1.3688015799832198,0.3981171118969331,38.28809214725021,38.28774876491202,3.635600051799479,0.11382113821138211,98,0.1138211382113821,49.67020596838842
10,2,1.37693023480473,1.8108037782268862,0.02208264680561054,0.06884712556577223,0.8883565472068328,1.8691497773655956,0.19741016755947238,45.85532042381306,45.8548692835444,4.476244469191081,0.11382113821138211,98,0.1138211382113821,57.237434244951274
0,1,1.0,2.0,0.05,0.08,0.7,1.5,0.0,49.702319288067464,49.70180967912183,4.754850964321059,0.11382113821138211,98,0.1138211382113821,61.084433109205676
