parameter,window_low_base_high,f_r3_gt_090_low_base_high,f_chi2_le_4_low_base_high,max_abs_drift_f_r3_gt_090,max_abs_drift_f_chi2_le_4
c_eff,0.45 / 0.50 / 0.55,0.8000 / 0.8000 / 0.8000,0.0908 / 0.0908 / 0.0908,0.0000,0.0000
nu,4.80 / 5.00 / 5.20,0.8000 / 0.8000 / 0.8000,0.0908 / 0.0908 / 0.0908,0.0000,0.0000
p_B,0.28 / 0.30 / 0.32,0.9333 / 0.8000 / 0.7333,0.0908 / 0.0908 / 0.0908,0.1333,0.0000
