D,level,rel_omega1_vs_fine,rel_omega2_vs_fine,rel_delta_omega12_vs_fine
6.0,coarse,0.0008557826652984248,0.0008651929699484942,0.0012397025150677967
6.0,mid,0.00021549289088021909,0.00021787826602114296,0.00031281097991151636
6.0,fine,0.0,0.0,0.0
12.0,coarse,0.0008827754546168237,0.0008842235806824441,0.004976377466741746
12.0,mid,0.00022232486442100343,0.00022269054014500871,0.0012560269122684677
12.0,fine,0.0,0.0,0.0
18.0,coarse,0.0008920551431649998,0.0008920956932832135,0.008778100898945148
18.0,mid,0.0002246456088656704,0.0002246558597326913,0.0022181985237377517
18.0,fine,0.0,0.0,0.0
