profile,model,scale,f_r3_ge_90,f_r3_ge_95,f_hmumu_chi2_le_4,best_chi2,best_D,best_eta,chi_at_D6,chi_at_D12,chi_at_D18
linear_interp,linear_interp,1.0,0.9269444444444445,0.21666666666666667,0.16805555555555557,0.00016053697050109759,9.423728813559322,1.2949152542372881,0.0004018269779724134,0.00022141391849283962,0.0002131865283264496
exp_fit,exp_fit,1.0,0.9269444444444445,0.21666666666666667,0.16305555555555556,6.929261049964839e-07,9.152542372881356,1.9389830508474575,0.0003661347268253904,0.0002666866374027715,0.00019425025095506823
linear_interp_x0.8,linear_interp,0.8,0.9269444444444445,0.21666666666666667,0.16666666666666666,1.633944287662001e-05,8.610169491525424,3.0338983050847457,0.0003214615823779307,0.00017713113479427171,0.00017054922266115968
linear_interp_x1.2,linear_interp,1.2,0.9269444444444445,0.21666666666666667,0.1675,3.581034641204612e-06,8.067796610169491,2.2610169491525425,0.00048219237356689605,0.00026569670219140756,0.0002558238339917395
exp_fit_x0.8,exp_fit,0.8,0.9269444444444445,0.21666666666666667,0.16305555555555556,2.144033400813383e-05,8.610169491525424,3.0983050847457627,0.00029290778146031233,0.0002133493099222172,0.0001554002007640546
exp_fit_x1.2,exp_fit,1.2,0.9269444444444445,0.21666666666666667,0.1625,2.8775965159261152e-05,8.881355932203391,2.1322033898305084,0.00043936167219046847,0.00032002396488332575,0.00023310030114608187
