level,dr,dz,Nr,Nz,E1,E2,omega1,M12,chi,overlap12,rel_E1_vs_fine,rel_E2_vs_fine,rel_M12_vs_fine,rel_chi_vs_fine
coarse,0.1,0.05,15,300,2.481476416623654,2.6278431010015866,1.865871489846944,2.7052780037679456e-16,2.8347377315359367e-19,1.3877787807814457e-17,0.0262974888153808,0.025052450019836903,0.09030527524906598,3.133337299850316e-05
mid,0.08,0.04,19,375,2.452887306237098,2.5994394399280463,1.8581946362631385,-1.8374091247509474e-16,2.0146640889541416e-19,-4.510281037539698e-16,0.0375155235262647,0.03559040023595155,0.04487840396387706,3.9534109424321104e-05
fine,0.06,0.03,25,500,2.5484954471408905,2.6953686904029395,1.8837450589559328,-6.325249521138653e-16,5.968075031386252e-19,-2.7755575615628914e-17,0.0,0.0,0.0,0.0
