D,level,rho_max,z_max,dr,dz,Nr,Nz,E1,E2,DeltaE,M_LR,chi_LR,omega1,Gamma_ref,M_sym,norm1,norm2,overlap12,build_s,solve_s
4.0,coarse,3.0,8.0,0.12,0.06,25,267,2.042903892660049,2.5389735102081312,0.4960696175480823,0.24803480877404116,0.0005450386954448269,1.7443921269772027,455.07743000083775,3.507905520171779e-06,1.0,1.0,-3.9898639947466563e-16,0.0035851001739501953,0.02452397346496582
4.0,fine,3.0,8.0,0.06,0.03,50,533,2.0667054238124867,2.5669612895002767,0.50025586568779,0.250127932843895,0.0005265818146994942,1.7512011374518024,475.0029831292905,-2.387347284427377e-06,1.0000000000000002,1.0,-1.2492719532464225e-16,0.0032868385314941406,0.08621692657470703
4.0,mid,3.0,8.0,0.08,0.04,38,400,2.0424031709337758,2.541276243019893,0.4988730720861172,0.2494365360430586,0.0005486152290310655,1.744248597801866,454.6657162317566,-8.894064669922012e-18,0.9999999999999998,0.9999999999999998,3.7470027081099033e-16,0.002302885055541992,0.05669212341308594
5.0,coarse,3.0,8.5,0.12,0.06,25,283,2.3326614851219616,2.8407490047468897,0.5080875196249282,0.2540437598124641,0.0003384986321321506,1.8255578558681622,750.5015846364922,-2.348444597112125e-05,1.0,1.0,-6.938893903907228e-18,0.0021522045135498047,0.022192955017089844
5.0,fine,3.0,8.5,0.06,0.03,50,567,2.3463512759659433,2.8547112471468017,0.5083599711808584,0.2541799855904292,0.00033112955537554746,1.8293034947667768,767.6149152622555,1.3329446381097247e-05,0.9999999999999998,1.0000000000000002,-4.336808689942018e-17,0.006315946578979492,0.11396121978759766
5.0,mid,3.0,8.5,0.08,0.04,38,425,2.325447713031332,2.833768903896411,0.5083211908650793,0.25416059543253966,0.0003427145469376216,1.823581013564062,741.610175884364,4.8298259026174523e-17,1.0000000000000002,0.9999999999999998,-4.5102810375396984e-17,0.0029020309448242188,0.06278491020202637
6.0,coarse,3.0,9.0,0.12,0.06,25,300,2.147646577657748,2.6007287693348013,0.45308219167705355,0.22654109583852677,0.00041326078787383197,1.7741608094132133,548.1795091279977,-2.0816035179677764e-17,1.0,1.0,0.0,0.0016651153564453125,0.025253772735595703
6.0,fine,3.0,9.0,0.06,0.03,50,600,2.166109564691629,2.6210575597591683,0.45494799506753925,0.22747399753376962,0.0004018269779723803,1.7793565029784304,566.0993661540692,-4.6551293328963935e-18,1.0000000000000002,1.0000000000000002,-1.4094628242311558e-16,0.0033457279205322266,0.1455850601196289
6.0,mid,3.0,9.0,0.08,0.04,38,450,2.1436204020131058,2.597975652360793,0.4543552503476871,0.22717762517384354,0.00041734961057484987,1.7730257759020611,544.3341012369298,-3.730111864784388e-18,1.0,1.0,1.603535013106061e-16,0.005426883697509766,0.07539677619934082
7.0,coarse,3.0,9.5,0.12,0.06,25,317,2.397989737582848,2.8573199556959104,0.4593302181130623,0.22966510905653115,0.00027502595145712725,1.8433637019272262,835.0670467267986,2.609542555027012e-05,1.0000000000000002,1.0,6.938893903907228e-17,0.004759073257446289,0.0351717472076416
7.0,fine,3.0,9.5,0.06,0.03,50,633,2.422733906649744,2.885242719183569,0.4625088125338248,0.2312544062669124,0.000266095642195199,1.8500632169333415,869.0649886602495,1.4333432886242046e-05,0.9999999999999999,1.0,-1.5785983631388945e-16,0.007957220077514648,0.19041800498962402
7.0,mid,3.0,9.5,0.08,0.04,38,475,2.3981632016516743,2.8596543262584397,0.46149112460676545,0.23074556230338272,0.0002762422342072207,1.8434107522881802,835.3015351385081,2.0355309550268937e-16,1.0,1.0000000000000002,7.014788055981214e-17,0.006340980529785156,0.21390509605407715
8.0,coarse,3.0,10.0,0.12,0.06,25,333,2.234227979263778,2.650961615487998,0.4167336362242202,0.2083668181121101,0.00032740860962441617,1.79839594618754,636.4121528481985,1.6957531066680046e-05,1.0000000000000002,1.0000000000000002,-3.176712365382528e-17,0.0017189979553222656,0.03733181953430176
8.0,fine,3.0,10.0,0.06,0.03,50,667,2.2477798029572384,2.664789498336367,0.4170096953791287,0.20850484768956434,0.00032017689209556173,1.8021597606641977,651.2176638510591,-9.18607316063634e-06,1.0000000000000002,1.0,1.6529339745899319e-16,0.004418134689331055,0.1300349235534668
8.0,mid,3.0,10.0,0.08,0.04,38,500,2.2269543182381097,2.6439065928192695,0.4169522745811598,0.2084761372905799,0.0003316621072758123,1.796372544389974,628.5799092424202,-7.0259841015667e-17,1.0,1.0,6.852157730108388e-17,0.0025877952575683594,0.05913233757019043
9.0,coarse,3.0,10.5,0.12,0.06,25,350,2.4618193101342527,2.883295826986189,0.4214765168519361,0.21073825842596805,0.00022780812422355885,1.8605964930995256,925.0691086818338,9.5223673937252e-15,0.9999999999999999,1.0,1.0625181290357943e-17,0.0017406940460205078,0.030033111572265625
9.0,fine,3.0,10.5,0.06,0.03,50,700,2.1011083876604943,2.4807140479055376,0.3796056602450433,0.18980283012252164,0.00037580234243571054,1.7609964189800313,505.0602635745723,-5.888843599811642e-17,0.9999999999999998,0.9999999999999999,-1.612208630485945e-16,0.0070307254791259766,0.1490490436553955
9.0,mid,3.0,10.5,0.08,0.04,38,525,2.4581287987447684,2.88061613377223,0.4224873350274616,0.2112436675137308,0.0002296980421338727,1.8596044737375657,919.6581109324985,-2.0886184934843965e-15,0.9999999999999998,1.0,-7.589415207398531e-18,0.0026700496673583984,0.06733107566833496
10.0,coarse,3.0,11.0,0.12,0.06,25,367,2.2979649376167464,2.6814952110600982,0.3835302734433519,0.19176513672167594,0.0002706552568989464,1.8160299935895183,708.5217516882541,-1.9637471434903155e-05,0.9999999999999999,1.0,-4.5232914636095245e-16,0.005506038665771484,0.02367091178894043
10.0,fine,3.0,11.0,0.06,0.03,50,733,2.3205460481841964,2.7064418707199516,0.38589582253575516,0.19294791126787758,0.000262293659017286,1.8222365511053158,735.6179024334008,-1.0268139025512826e-05,1.0,1.0,-2.0274580625478933e-16,0.006276130676269531,0.16763591766357422
