D,level,rel_E1_vs_fine,rel_E2_vs_fine,rel_M12_vs_fine,rel_chi_vs_fine
6.0,coarse,0.025452226169255694,0.022983898698127607,0.004283102515554595,1.9730979090688423e-06
6.0,mid,0.03610736594741818,0.03196321447637739,0.0038122402683234418,6.13017238019991e-06
6.0,fine,0.0,0.0,0.0,0.0
12.0,coarse,0.02629748881538045,0.025052450019836737,0.0901823278845112,2.561740238167034e-05
12.0,mid,0.037515523526264874,0.03559040023595204,0.0686116051585768,4.7817156485091174e-05
12.0,fine,0.0,0.0,0.0,0.0
18.0,coarse,0.004009485139032727,0.019838959655719978,0.010622521502466396,1.1374642687365224e-05
18.0,mid,0.007351942433936136,0.008861356113207139,0.1092114844343029,1.4043612245524558e-05
18.0,fine,0.0,0.0,0.0,0.0
