D,level,rel_DeltaE_vs_fine,rel_M_LR_vs_fine,rel_chi_LR_vs_fine,abs_M_sym,abs_M_sym_tol,pass_abs_M_sym,abs_overlap12
6.0,coarse,0.004101135537982009,0.004101135537982009,0.028454560117185026,5.287390651199959e-17,1e-12,True,1.214306433183765e-16
6.0,fine,0.0,0.0,0.0,1.5640229071441437e-18,1e-12,True,2.553296116203363e-16
6.0,mid,0.0013028845632846097,0.0013028845632846097,0.03863014046684384,2.4374206027099385e-19,1e-12,True,2.54679090316845e-16
12.0,coarse,0.003138658469696586,0.003138658469696586,0.026407402919723853,2.8869741533360814e-17,1e-12,True,1.465841337200402e-16
12.0,fine,0.0,0.0,0.0,1.0273135175267455e-17,1e-12,True,5.637851296924623e-17
12.0,mid,0.0009566714449896392,0.0009566714449896392,0.03599503206524011,6.95829765352722e-17,1e-12,True,1.1449174941446927e-16
18.0,coarse,0.0028028455708240807,0.0028028455708240807,0.02578152038889813,1.9423067698285568e-17,1e-12,True,1.960237527853792e-16
18.0,fine,0.0,0.0,0.0,2.191769879635023e-16,1e-12,True,1.5405835244661215e-16
18.0,mid,0.000872015679988925,0.000872015679988925,0.03689732943317547,1.5376268273471052e-15,1e-12,True,1.3660947373317356e-16
