D,level,rel_DeltaE_vs_fine,rel_M_LR_vs_fine,rel_chi_LR_vs_fine,abs_M_sym,abs_M_sym_tol,pass_abs_M_sym,abs_overlap12
4.0,coarse,0.00836821400175312,0.00836821400175312,0.03505035728563004,3.507905520171779e-06,1e-12,False,3.9898639947466563e-16
4.0,fine,0.0,0.0,0.0,2.387347284427377e-06,1e-12,False,1.2492719532464225e-16
4.0,mid,0.0027641726894529176,0.0027641726894529176,0.04184233810684322,8.894064669922012e-18,1e-12,True,3.7470027081099033e-16
5.0,coarse,0.0005359421893454383,0.0005359421893454383,0.02225436128238563,2.348444597112125e-05,1e-12,False,6.938893903907228e-18
5.0,fine,0.0,0.0,0.0,1.3329446381097247e-05,1e-12,False,4.336808689942018e-17
5.0,mid,7.628514827594239e-05,7.628514827594239e-05,0.034986280668710214,4.8298259026174523e-17,1e-12,True,4.5102810375396984e-17
6.0,coarse,0.004101135537939256,0.004101135537939256,0.02845456011725914,2.0816035179677764e-17,1e-12,True,0.0
6.0,fine,0.0,0.0,0.0,4.6551293328963935e-18,1e-12,True,1.4094628242311558e-16
6.0,mid,0.0013028845632436746,0.0013028845632436746,0.03863014046691636,3.730111864784388e-18,1e-12,True,1.603535013106061e-16
7.0,coarse,0.006872505635835974,0.006872505635835974,0.03356052428463785,2.609542555027012e-05,1e-12,False,6.938893903907228e-17
7.0,fine,0.0,0.0,0.0,1.4333432886242046e-05,1e-12,False,1.5785983631388945e-16
7.0,mid,0.0022003644027538097,0.0022003644027538097,0.038131372345355796,2.0355309550268937e-16,1e-12,True,7.014788055981214e-17
8.0,coarse,0.0006619969702562625,0.0006619969702562625,0.022586631663274487,1.6957531066680046e-05,1e-12,False,3.176712365382528e-17
8.0,fine,0.0,0.0,0.0,9.18607316063634e-06,1e-12,False,1.6529339745899319e-16
8.0,mid,0.00013769655383355815,0.00013769655383355815,0.03587146812838267,7.0259841015667e-17,1e-12,True,6.852157730108388e-17
9.0,coarse,0.11030092802057884,0.11030092802057884,0.39380866349301547,9.5223673937252e-15,1e-12,True,1.0625181290357943e-17
9.0,fine,0.0,0.0,0.0,5.888843599811642e-17,1e-12,True,1.612208630485945e-16
9.0,mid,0.11296373914640084,0.11296373914640084,0.3887796423909526,2.0886184934843965e-15,1e-12,True,7.589415207398531e-18
10.0,coarse,0.006130019954243206,0.006130019954243206,0.031878764866021335,1.9637471434903155e-05,1e-12,False,4.5232914636095245e-16
10.0,fine,0.0,0.0,0.0,1.0268139025512826e-05,1e-12,False,2.0274580625478933e-16
10.0,mid,0.0019631528742890306,0.0019631528742890306,0.0383542368135672,1.3423933881710722e-17,1e-12,True,1.0755285551056204e-16
11.0,coarse,0.0007831384451082384,0.0007831384451082384,0.022806341141352476,7.9894663220165e-06,1e-12,False,6.010816844259637e-16
11.0,fine,0.0,0.0,0.0,4.059772602043765e-06,1e-12,False,1.48318857196017e-16
11.0,mid,0.00020124898797069127,0.00020124898797069127,0.03652557403489185,3.521177642164614e-16,1e-12,True,6.245004513516506e-17
12.0,coarse,0.003138658469696602,0.003138658469696602,0.026407402919721098,2.523036874746994e-17,1e-12,True,9.8879238130678e-17
12.0,fine,0.0,0.0,0.0,1.0524445637689399e-16,1e-12,True,1.6707555478001623e-16
12.0,mid,0.0009566714449884037,0.0009566714449884037,0.03599503206523872,8.601955683213788e-17,1e-12,True,0.0
13.0,coarse,0.005600899779164802,0.005600899779164802,0.030642783713199846,1.1280209076673784e-05,1e-12,False,3.8163916471489756e-17
13.0,fine,0.0,0.0,0.0,5.445680133424801e-06,1e-12,False,1.275394449339745e-16
