D,level,rho_max,z_max,dr,dz,Nr,Nz,E1,E2,DeltaE,M_LR,chi_LR,omega1,Gamma_ref,M_sym,norm1,norm2,overlap12,build_s,solve_s
6.0,coarse,3.0,9.0,0.12,0.06,25,300,2.1476465776577447,2.6007287693348005,0.45308219167705577,0.22654109583852788,0.0004132607878738362,1.7741608094132124,548.1795091279947,5.287390651199959e-17,1.0000000000000002,1.0,-1.214306433183765e-16,0.0039021968841552734,0.019459009170532227
6.0,fine,3.0,9.0,0.06,0.03,50,600,2.166109564691609,2.62105755975917,0.454947995067561,0.2274739975337805,0.0004018269779724134,1.7793565029784248,566.0993661540497,1.5640229071441437e-18,1.0000000000000002,1.0,2.553296116203363e-16,0.0034029483795166016,0.13966107368469238
6.0,mid,3.0,9.0,0.08,0.04,38,450,2.1436204020131027,2.597975652360793,0.4543552503476902,0.2271776251738451,0.00041734961057485507,1.7730257759020602,544.3341012369267,2.4374206027099385e-19,0.9999999999999999,0.9999999999999998,2.54679090316845e-16,0.005686044692993164,0.05984687805175781
12.0,coarse,3.0,12.0,0.12,0.06,25,400,2.3603202294241714,2.717303903357731,0.3569836739335597,0.17849183696677984,0.00022726088505051493,1.833117625637856,785.4050067925466,2.8869741533360814e-17,0.9999999999999999,1.0,1.465841337200402e-16,0.0018970966339111328,0.039485931396484375
12.0,fine,3.0,12.0,0.06,0.03,50,800,2.378213039996396,2.7363206915435474,0.3581076515471513,0.17905382577357565,0.00022141391849283962,1.8379915777816818,808.6836951913035,-1.0273135175267455e-17,1.0,0.9999999999999998,-5.637851296924623e-17,0.004261016845703125,0.1862630844116211
12.0,mid,3.0,12.0,0.08,0.04,38,600,2.3559783648226693,2.713743425005353,0.35776506018268384,0.17888253009134192,0.00022938371958867984,1.8319329586048365,779.8396957382403,-6.95829765352722e-17,1.0000000000000002,1.0000000000000002,1.1449174941446927e-16,0.002783060073852539,0.09493589401245117
18.0,coarse,3.0,15.0,0.12,0.06,25,500,2.2220362794406054,2.4946589500599434,0.272622670619338,0.136311335309669,0.00021868280115313636,1.7950031419027115,623.3290162321208,1.9423067698285568e-17,1.0,1.0,1.960237527853792e-16,0.0021042823791503906,0.047461748123168945
18.0,fine,3.0,15.0,0.06,0.03,50,1000,2.2386352126594224,2.512024150251603,0.2733889375921805,0.13669446879609026,0.0002131865283264496,1.799620852474049,641.1965609138862,-2.191769879635023e-16,1.0000000000000002,1.0000000000000002,-1.5405835244661215e-16,0.005093097686767578,0.16927886009216309
18.0,mid,3.0,15.0,0.08,0.04,38,750,2.216859553897606,2.4900100920494705,0.27315053815186463,0.13657526907593232,0.0002210525418928256,1.793560579935232,617.8407536347129,1.5376268273471052e-15,1.0,1.0,-1.3660947373317356e-16,0.0032510757446289062,0.09767007827758789
