D,level,rho_max,z_max,dr,dz,Nr,Nz,E1,E2,omega1,omega2,M12,chi,norm1,norm2,overlap12,build_s,solve_s
12.0,coarse,2.0,8.5,0.12,0.06,17,283,1.3808143717913695,1.499579996199152,1.5429887788935372,1.5810060076417016,6.397894310678141e-05,5.420590708310044e-07,1.0,0.9999999999999999,1.2281842209915794e-15,0.0018219947814941406,1.97347092628479
12.0,fine,2.0,8.5,0.06,0.03,33,567,1.5028853316809208,1.622272297090835,1.5820509889636682,1.619343168414538,-3.2803344746544365e-05,2.1110226164003294e-07,1.0,1.0,8.45672273527831e-15,0.005628108978271484,4619.1864359378815
12.0,mid,2.0,8.5,0.09,0.045,22,378,1.4807906563630007,1.5998535257485595,1.5750525884436368,1.6124061292827436,3.25625233066016e-05,2.2002519025462537e-07,0.9999999999999999,1.0000000000000002,-1.1509890263106115e-15,0.0017948150634765625,4.661957025527954
