lambda,max_abs_det_split_residual,max_abs_action_split_residual,mean_abs_det_split_residual,mean_abs_action_split_residual,mean_mixing_penalty,p90_abs_mixing_penalty
-0.6,4.440892098500626e-16,3.3306690738754696e-16,5.639228061588096e-17,6.470007195661344e-17,-0.04273112174107626,0.053050764782110384
-0.4,4.440892098500626e-16,3.3306690738754696e-16,6.243431068186822e-17,6.57070769676113e-17,-0.018741349128313115,0.023231384644296475
-0.2,4.440892098500626e-16,3.3306690738754696e-16,6.847634074785546e-17,6.57070769676113e-17,-0.0046488557278664445,0.005757445728289432
-0.1,4.440892098500626e-16,2.220446049250313e-16,5.941329564887459e-17,6.545532571486183e-17,-0.0011599637362533965,0.0014362567731543566
0.0,0.0,2.220446049250313e-16,0.0,4.531522549490435e-17,0.0,0.0
0.1,4.440892098500626e-16,2.220446049250313e-16,5.941329564887459e-17,6.545532571486183e-17,-0.0011599637362533965,0.0014362567731543566
0.2,4.440892098500626e-16,3.3306690738754696e-16,6.847634074785546e-17,6.57070769676113e-17,-0.0046488557278664445,0.005757445728289432
0.4,4.440892098500626e-16,3.3306690738754696e-16,6.243431068186822e-17,6.57070769676113e-17,-0.018741349128313115,0.023231384644296475
0.6,4.440892098500626e-16,3.3306690738754696e-16,5.639228061588096e-17,6.470007195661344e-17,-0.04273112174107626,0.053050764782110384
