r_part,r_tree,mean_objective,max_objective,max_abs_det_ratio_residual,max_abs_schur_residual,max_abs_weight_residual,mean_abs_xi_residual,max_abs_xi_residual,"corr(xi_gen, xi_target)",part_anchor_leak,tree_anchor_leak,part_onset_residual,tree_onset_residual
1.0,1.0,0.0328883508855363,0.11980197819140737,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0
1.0,1.05,0.03288029765823619,0.11980197819140737,0.0010817624243038004,0.0007020414135576747,0.00024817216177697166,0.0046609750201957265,0.016050610166524815,0.9953481345019404,0.0,0.0,0.045273863863531494,0.09776545883388052
1.05,1.0,0.03287856259360265,0.11980197819140737,0.0021247276417111216,0.0019624837301592812,0.00031892973930103263,0.005994233224681255,0.023789252292848735,0.9928707554176902,0.0,0.0,0.1127137229911245,0.04870564955004214
1.0,1.1,0.032872415029864994,0.11980197819140737,0.0021635248486071568,0.0014040828271153494,0.00048300145476687373,0.009250920680152304,0.03157236520014497,0.9785249504063933,0.0,0.0,0.11435377715880284,0.24703413865510404
1.05,1.05,0.03287233340571653,0.11980197819140737,0.0027727407973014984,0.002022839442379354,0.00032873112589748565,0.009803068914228174,0.02452088499035628,0.9906218756630749,0.0,0.0,0.11725814779711702,0.10559469094141194
1.05,1.1,0.03286623609739163,0.11980197819140737,0.0034208800941404327,0.0024896197792454444,0.00048826384894240515,0.01355383732269298,0.032061648626018874,0.9767513227925008,0.0,0.0,0.12191625137489484,0.24703413865510404
1.0,1.15,0.032865808100906654,0.11980197819140737,0.003245287272910291,0.002106124240673024,0.0006601349048150906,0.013351110985718968,0.044163348977514325,0.9523423769958992,0.0,0.0,0.1406841615840858,0.30464636971901116
1.05,1.15,0.03286114840421681,0.11980197819140737,0.004288720616380193,0.002961263124317881,0.0006701921914541442,0.016900018968805622,0.045267854019030516,0.9532527896819015,0.0,0.0,0.1406841615840858,0.30464636971901116
1.1,1.0,0.032869080342306435,0.11980197819140737,0.004249455283422687,0.0036252574829189754,0.0005703354998315424,0.011863823133501993,0.043945416495606134,0.9655394036137281,0.0,0.0,0.30997236523555033,0.13680106166154804
1.1,1.05,0.03286462987921466,0.11980197819140737,0.004797468439012853,0.0037484130568734564,0.0005863455903802883,0.014833899617109778,0.04543830990157453,0.9663614692561298,0.0,0.0,0.30997236523555033,0.13680106166154804
1.1,1.1,0.032860273425654896,0.11980197819140737,0.005345481594603907,0.0038904337730181204,0.0006055830446505261,0.01775887089879249,0.047159886796841285,0.9566316506370178,0.0,0.0,0.30997236523555033,0.24703413865510404
1.1,1.15,0.03285666128605751,0.11980197819140737,0.005893542638424343,0.004289276955028232,0.0006866516475139139,0.02036442401016078,0.05199478721538962,0.9371758630371473,0.0,0.0,0.30997236523555033,0.30464636971901116
